Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P13489	P13489	5	5	5	Ribonuclease inhibitor	RNH1	sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	1	5	5	5	14.1	14.1	14.1	49.973	461	461	0.0	36.628	4155800	6	300	1254;1316;1321;3021;5425	True;True;True;True;True	1276;1340;1345;3075;5534	1361;1426;1431;3266;5838	1452;1521;1522;1527;3536;6284	1452;1521;1527;3536;6284		
P13639	P13639	32	32	31	Elongation factor 2	EEF2	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	1	32	32	31	42.5	42.5	41.4	95.337	858	858	0.0	236.45	189070000	47	301	295;438;439;574;591;608;799;800;919;1093;1173;1434;1731;1878;1956;2242;2672;2836;2877;3949;4086;4194;4419;4602;4603;4686;4815;5218;5243;5413;5718;5892	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	298;442;443;582;599;616;814;815;938;1112;1192;1459;1762;1910;1990;2277;2715;2716;2884;2925;4032;4172;4282;4510;4695;4696;4779;4910;5320;5321;5347;5522;5829;6007	318;319;470;471;472;617;618;636;654;865;866;867;868;1002;1184;1185;1267;1546;1859;2014;2102;2404;2881;2882;3054;3104;4259;4406;4523;4758;4951;4952;5041;5182;5620;5621;5647;5826;6146;6331	335;336;496;497;498;499;500;655;656;676;697;917;918;919;920;1068;1258;1259;1343;1647;1980;2147;2247;2567;3103;3104;3291;3360;4575;4729;4851;5099;5302;5303;5304;5305;5306;5399;5557;5558;5559;6045;6046;6047;6076;6077;6271;6272;6613;6614;6811	336;496;498;655;676;697;917;919;1068;1258;1343;1647;1980;2147;2247;2567;3103;3291;3360;4575;4729;4851;5099;5303;5305;5399;5558;6047;6076;6271;6613;6811	47	305
P13667	P13667	12	11	11	Protein disulfide-isomerase A4	PDIA4	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	1	12	11	11	22.5	22.5	22.5	72.932	645	645	0.0	75.031	18225000	12	302	813;953;1166;1464;1517;1552;1890;2465;2872;5129;5183;5184	True;False;True;True;True;True;True;True;True;True;True;True	828;972;1185;1490;1543;1580;1923;2504;2920;5230;5285;5286	881;1038;1260;1577;1632;1670;1671;2030;2652;3098;5523;5584;5585	934;1104;1336;1681;1740;1780;1781;2164;2854;3353;5943;6008;6009	934;1104;1336;1681;1740;1780;2164;2854;3353;5943;6008;6009		
P13674	P13674	5	5	5	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	sp|P13674|P4HA1_HUMAN Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2	1	5	5	5	10.3	10.3	10.3	61.049	534	534	0.0	32.71	3601400	5	303	848;1607;2219;3278;3399	True;True;True;True;True	864;1636;2254;3333;3458	921;1730;2378;3532;3661	978;1844;2541;3813;3946	978;1844;2541;3813;3946		
P13693;Q56UQ5	P13693;Q56UQ5	4;2	4;2	4;2	Translationally-controlled tumor protein;TPT1-like protein	TPT1	sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;sp|Q56UQ5|TPT1L_HUMAN TPT1-like protein OS=Homo sapiens OX=9606 PE=2 SV=2	2	4	4	4	27.3	27.3	27.3	19.595	172	172;140	0.0	25.575	7007800	5	304	816;1193;2338;5313	True;True;True;True	831;1213;2373;5418	884;885;1291;2510;5721	937;938;1371;2689;6163	937;1371;2689;6163		
P13797;Q14651;P13796	P13797	10;3;2	10;3;2	10;3;2	Plastin-3	PLS3	sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4	3	10	10	10	22.1	22.1	22.1	70.81	630	630;629;627	0.0	73.464	11265000	11	305	354;566;2477;3390;3534;4203;5153;5588;5677;5828	True;True;True;True;True;True;True;True;True;True	358;574;2516;3449;3593;4291;5254;5699;5788;5943	384;609;2664;3652;3800;4532;5551;6011;6104;6264	407;645;2867;3937;4093;4860;4861;5972;6475;6570;6741	407;645;2867;3937;4093;4861;5972;6475;6570;6741		
P13798	P13798	1	1	1	Acylamino-acid-releasing enzyme	APEH	sp|P13798|ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4	1	1	1	1	1.6	1.6	1.6	81.224	732	732	0.0	8.1733	832330	1	306	4391	True	4481	4728	5069	5069		
P13804	P13804	3	3	3	Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA	sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1	1	3	3	3	13.8	13.8	13.8	35.079	333	333	0.0	20.649	2010900	3	307	2076;3121;3364	True;True;True	2110;3175;3420	2231;3369;3621	2389;3640;3904	2389;3640;3904		
P13807	P13807	2	2	2	Glycogen [starch] synthase, muscle	GYS1	sp|P13807|GYS1_HUMAN Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2	1	2	2	2	4.9	4.9	4.9	83.785	737	737	0.0	11.13	1337900	2	308	4077;5276	True;True	4163;5380	4397;5682	4720;6116	4720;6116		
P13984	P13984	1	1	1	General transcription factor IIF subunit 2	GTF2F2	sp|P13984|T2FB_HUMAN General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2	1	1	1	1	4.0	4.0	4.0	28.38	249	249	0.00088028	6.286	404170	1	309	3527	True	3586	3793	4086	4086		
P13987	P13987	1	1	1	CD59 glycoprotein	CD59	sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1	1	1	1	1	9.4	9.4	9.4	14.177	128	128	0.00085985	6.1322	720740	1	310	1564	True	1593	1684	1796	1796		
P13995	P13995	1	1	1	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase	MTHFD2	sp|P13995|MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2	1	1	1	1	3.1	3.1	3.1	37.895	350	350	0.0	6.9125	1005500	1	311	3624	True	3684	3894	4192	4192		
P14174	P14174	2	2	2	Macrophage migration inhibitory factor	MIF	sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4	1	2	2	2	17.4	17.4	17.4	12.476	115	115	0.0	30.112	29661000	7	312	3261;4115	True;True	3316;4201;4202	3515;4437;4438;4439	3795;3796;4760;4761;4762;4763;4764	3796;4762	48	3
P14314	P14314	5	5	5	Glucosidase 2 subunit beta	PRKCSH	sp|P14314|GLU2B_HUMAN Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	1	5	5	5	16.1	16.1	16.1	59.425	528	528	0.0	35.517	7184900	5	313	429;1399;2244;3690;5714	True;True;True;True;True	433;1424;2279;3750;5825	461;1510;2406;3962;6142	487;1608;2569;4263;6609	487;1608;2569;4263;6609		
P14324	P14324	4	4	4	Farnesyl pyrophosphate synthase	FDPS	sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4	1	4	4	4	12.4	12.4	12.4	48.275	419	419	0.0	25.641	3205600	4	314	624;1456;4165;5391	True;True;True;True	633;1482;4253;5496	671;1569;4492;5799	714;1673;4818;6241	714;1673;4818;6241		
P14550	P14550	2	2	2	Alcohol dehydrogenase [NADP(+)]	AKR1A1	sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3	1	2	2	2	9.8	9.8	9.8	36.573	325	325	0.0	13.071	2440700	2	315	560;3774	True;True	568;3852	603;4066	639;4372	639;4372		
P14618;P30613	P14618	29;1	29;1	29;1	Pyruvate kinase PKM	PKM	sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	2	29	29	29	61.4	61.4	61.4	57.936	531	531;574	0.0	245.59	384450000	51	316	112;179;377;581;582;882;1024;1025;1538;1792;1847;1863;1996;1997;2176;2238;2790;2888;2984;3033;3383;4011;4097;4131;4132;4354;4764;4765;5410	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	113;181;381;589;590;899;1043;1044;1565;1566;1824;1879;1895;2030;2031;2211;2273;2838;2936;3034;3087;3442;4096;4183;4219;4220;4442;4443;4858;4859;5518;5519	122;123;193;408;625;626;960;1112;1113;1114;1115;1654;1655;1924;1982;1999;2144;2145;2334;2400;3008;3118;3222;3223;3278;3645;4325;4418;4419;4456;4457;4687;4688;5127;5128;5822;5823	128;129;130;203;434;664;665;666;1021;1182;1183;1184;1185;1186;1187;1188;1763;1764;1765;2052;2053;2112;2113;2132;2293;2294;2496;2497;2563;3244;3375;3487;3488;3548;3549;3929;3930;4645;4646;4741;4742;4781;4782;5024;5025;5492;5493;5494;6266;6267;6268	130;203;434;664;666;1021;1183;1187;1765;2053;2112;2132;2293;2294;2496;2563;3244;3375;3487;3548;3929;4645;4741;4781;4782;5025;5492;5493;6266	49;50	291;494
P14625;Q58FF3	P14625	20;1	19;1	19;1	Endoplasmin	HSP90B1	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	2	20	19	19	31.5	30.0	30.0	92.468	803	803;399	0.0	132.07	47126000	21	317	771;1027;1105;1109;1145;1289;1509;1699;2251;2277;2840;3213;3226;3529;3562;4509;4777;4819;5062;5063	True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True	785;1046;1124;1128;1164;1312;1535;1729;2286;2312;2888;3268;3281;3588;3622;4602;4871;4914;5163;5164	834;1117;1198;1202;1239;1398;1623;1824;1825;2413;2442;3064;3463;3476;3795;3830;4853;5142;5186;5454;5455	885;1190;1272;1276;1313;1492;1493;1729;1943;1944;2576;2609;3318;3738;3752;4088;4126;5196;5513;5563;5867;5868;5869	885;1190;1272;1276;1313;1493;1729;1944;2576;2609;3318;3738;3752;4088;4126;5196;5513;5563;5867;5868		
P14854	P14854	1	1	1	Cytochrome c oxidase subunit 6B1	COX6B1	sp|P14854|CX6B1_HUMAN Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2	1	1	1	1	12.8	12.8	12.8	10.192	86	86	0.0056589	5.8146	1073900	1	318	3825	True	3906	4126	4435	4435		
P14866;Q8WVV9	P14866	4;1	4;1	4;1	Heterogeneous nuclear ribonucleoprotein L	HNRNPL	sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	2	4	4	4	7.5	7.5	7.5	64.132	589	589;542	0.0	24.63	3214900	4	319	3011;3401;3969;4408	True;True;True;True	3064;3460;4052;4498	3254;3663;4279;4745	3523;3948;4595;5086	3523;3948;4595;5086		
P14868	P14868	8	8	8	Aspartate--tRNA ligase, cytoplasmic	DARS	sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	1	8	8	8	17.2	17.2	17.2	57.136	501	501	0.0	51.225	7953100	8	320	70;1398;1636;2563;2859;3124;3438;5244	True;True;True;True;True;True;True;True	70;1423;1665;2603;2907;3178;3497;5348	78;1509;1759;2757;3085;3372;3701;5648	82;1607;1874;2968;3340;3643;3990;6078	82;1607;1874;2968;3340;3643;3990;6078		
P14923;P35222	P14923;P35222	1;1	1;1	1;1	Junction plakoglobin;Catenin beta-1	JUP;CTNNB1	sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3;sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1	2	1	1	1	1.7	1.7	1.7	81.744	745	745;781	0.005668	5.8175	565890	1	321	5081	True	5182	5473	5889	5889		
P14927	P14927	2	2	2	Cytochrome b-c1 complex subunit 7	UQCRB	sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2	1	2	2	2	20.7	20.7	20.7	13.53	111	111	0.0	14.371	1959000	2	322	5670;5705	True;True	5781;5816	6097;6133	6563;6600	6563;6600		
P15121;C9JRZ8	P15121	5;1	5;1	5;1	Aldose reductase	AKR1B1	sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3	2	5	5	5	24.1	24.1	24.1	35.853	316	316;316	0.0	29.448	9659400	5	323	215;3058;4350;5000;5764	True;True;True;True;True	217;3112;4438;5100;5875	231;3305;3306;4683;5388;6194	241;3576;3577;5020;5793;6665	241;3576;5020;5793;6665		
P15170	P15170	4	4	3	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	GSPT1	sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1	1	4	4	3	13.8	13.8	12.2	55.755	499	499	0.0	26.147	4815800	4	324	1990;2351;2366;4816	True;True;True;True	2024;2386;2402;4911	2138;2525;2543;5183	2287;2711;2734;5560	2287;2711;2734;5560		
P15311	P15311	8	5	4	Ezrin	EZR	sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	1	8	5	4	13.7	10.2	9.0	69.412	586	586	0.0	34.783	6543400	6	325	369;855;1351;2441;2556;2862;4246;4627	False;True;True;True;False;False;True;True	373;872;1376;2479;2480;2596;2910;4334;4720	399;932;1462;2625;2626;2750;3088;4576;4979	422;423;990;1559;2826;2827;2960;3343;4908;5334	423;990;1559;2827;2960;3343;4908;5334	51	200
P15531	P15531	7	7	4	Nucleoside diphosphate kinase A	NME1	sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1	1	7	7	4	59.9	59.9	34.9	17.149	152	152	0.0	63.877	52744000	13	326	899;1664;1837;3890;4822;5406;5816	True;True;True;True;True;True;True	916;1693;1694;1869;3971;4917;5511;5512;5928;5929	977;1788;1789;1971;4195;5189;5814;5815;5816;6248;6249;6250	1041;1905;1906;2100;4507;5566;6257;6258;6259;6722;6723;6724;6725	1041;1905;2100;4507;5566;6258;6725	52;53;54;55	41;68;76;90
P15559	P15559	8	8	8	NAD(P)H dehydrogenase [quinone] 1	NQO1	sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	1	8	8	8	30.3	30.3	30.3	30.867	274	274	0.0	49.936	28587000	10	327	868;1172;1599;2731;3244;4515;4989;5231	True;True;True;True;True;True;True;True	885;1191;1628;2778;3299;4608;5089;5334	946;1266;1721;2948;3497;4860;5377;5634	1006;1342;1834;3177;3178;3776;5203;5204;5782;6061	1006;1342;1834;3177;3776;5203;5782;6061		
P15880	P15880	5	5	5	40S ribosomal protein S2	RPS2	sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2	1	5	5	5	18.4	18.4	18.4	31.324	293	293	0.0	39.101	38178000	6	328	2198;3524;4544;4625;5078	True;True;True;True;True	2233;3583;4637;4718;5179	2356;3790;4889;4976;5470	2519;4083;5236;5237;5331;5885;5886	2519;4083;5237;5331;5886		
P16152;O75828	P16152	10;2	10;2	10;2	Carbonyl reductase [NADPH] 1	CBR1	sp|P16152|CBR1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3	2	10	10	10	52.3	52.3	52.3	30.375	277	277;277	0.0	74.938	18110000	11	329	936;1612;1998;2145;2646;3155;4465;4610;4655;5564	True;True;True;True;True;True;True;True;True;True	955;1641;2032;2180;2688;3209;4556;4703;4748;5674	1020;1735;2146;2301;2302;2854;3403;4804;4960;5009;5984	1086;1849;2295;2463;2464;3074;3676;5145;5315;5366;6447	1086;1849;2295;2463;3074;3676;5145;5315;5366;6447		
P48454;Q08209;P16298	P48454;Q08209;P16298	1;1;1	1;1;1	1;1;1	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	PPP3CC;PPP3CA;PPP3CB	sp|P48454|PP2BC_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform OS=Homo sapiens OX=9606 GN=PPP3CC PE=1 SV=3;sp|Q08209|PP2BA_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens OX=9606 	3	1	1	1	2.0	2.0	2.0	58.129	512	512;521;524	0.0	6.751	792920	1	330	5783	True	5894	6214	6685	6685		
P16401	P16401	4	4	4	Histone H1.5	HIST1H1B	sp|P16401|H15_HUMAN Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3	1	4	4	4	21.2	21.2	21.2	22.58	226	226	0.0	27.761	16411000	4	331	245;478;3875;4461	True;True;True;True	248;483;3956;4552	264;514;4180;4800	279;544;4491;5141	279;544;4491;5141		
P16403;P10412;P16402;P22492;Q02539	P16403;P10412;P16402	3;2;2;1;1	3;2;2;1;1	3;2;2;1;1	Histone H1.2;Histone H1.4;Histone H1.3	HIST1H1C;HIST1H1E;HIST1H1D	sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2;sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2	5	3	3	3	18.3	18.3	18.3	21.364	213	213;219;221;207;215	0.0	21.132	49761000	5	332	244;447;4460	True;True;True	247;451;4551	263;480;4799	276;277;278;508;5140	276;508;5140		
P16422	P16422	1	1	1	Epithelial cell adhesion molecule	EPCAM	sp|P16422|EPCAM_HUMAN Epithelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=EPCAM PE=1 SV=2	1	1	1	1	5.1	5.1	5.1	34.932	314	314	0.00085911	6.131	788780	1	333	4976	True	5076	5364	5768	5768		
P16520	P16520	2	1	1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	GNB3	sp|P16520|GBB3_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 OS=Homo sapiens OX=9606 GN=GNB3 PE=1 SV=1	1	2	1	1	5.0	2.1	2.1	37.221	340	340	0.00089767	6.4216	7169300	1	334	1886;3360	True;False	1918;3416	2024;3617	2157;3900	2157;3900	56	4
P16615;O14983;Q93084	P16615	11;3;1	11;3;1	11;3;1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1	3	11	11	11	15.7	15.7	15.7	114.76	1042	1042;1001;999	0.0	68.389	8920100	11	335	602;678;775;776;1144;1164;2522;3768;4762;5026;5162	True;True;True;True;True;True;True;True;True;True;True	610;688;789;790;1163;1183;2561;3845;4856;5126;5263	648;731;838;839;1238;1258;2712;4059;5125;5415;5561	691;779;890;891;1312;1334;2917;4364;5490;5822;5983	691;779;890;891;1312;1334;2917;4364;5490;5822;5983		
P16949;Q93045	P16949;Q93045	2;1	2;1	2;1	Stathmin;Stathmin-2	STMN1;STMN2	sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;sp|Q93045|STMN2_HUMAN Stathmin-2 OS=Homo sapiens OX=9606 GN=STMN2 PE=1 SV=3	2	2	2	2	14.8	14.8	14.8	17.302	149	149;179	0.0	14.04	10144000	3	336	448;838	True;True	452;853	481;482;909	509;510;962	509;962		
P17096	P17096	2	2	2	High mobility group protein HMG-I/HMG-Y	HMGA1	sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3	1	2	2	2	15.0	15.0	15.0	11.676	107	107	0.0	11.177	1751400	2	337	2929;4272	True;True	2977;4360	3160;4603	3419;4936	3419;4936		
P17174	P17174	7	7	7	Aspartate aminotransferase, cytoplasmic	GOT1	sp|P17174|AATC_HUMAN Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3	1	7	7	7	26.2	26.2	26.2	46.247	413	413	0.0	40.733	7426400	7	338	1355;2345;2437;3864;4017;4957;5421	True;True;True;True;True;True;True	1380;2380;2475;3945;4102;5057;5530	1466;2517;2621;4168;4332;5343;5834	1563;2696;2822;4479;4653;5747;6280	1563;2696;2822;4479;4653;5747;6280		
P22694;P17612	P22694;P17612	2;2	2;2	2;2	cAMP-dependent protein kinase catalytic subunit beta;cAMP-dependent protein kinase catalytic subunit alpha	PRKACB;PRKACA	sp|P22694|KAPCB_HUMAN cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens OX=9606 GN=PRKACB PE=1 SV=2;sp|P17612|KAPCA_HUMAN cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2	2	2	2	2	5.4	5.4	5.4	40.622	351	351;351	0.0	11.345	943950	2	339	1686;3928	True;True	1716;4009	1811;4235	1930;4548	1930;4548		
P17655	P17655	8	8	8	Calpain-2 catalytic subunit	CAPN2	sp|P17655|CAN2_HUMAN Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6	1	8	8	8	15.7	15.7	15.7	79.994	700	700	0.0	50.029	12772000	8	340	1167;3076;3443;3860;3976;4372;4424;5798	True;True;True;True;True;True;True;True	1186;3130;3502;3941;4059;4461;4515;5909	1261;3324;3708;4164;4286;4707;4763;6229	1337;3595;3997;4475;4602;5046;5104;6700	1337;3595;3997;4475;4602;5046;5104;6700		
P17693	P17693	1	1	1	HLA class I histocompatibility antigen, alpha chain G	HLA-G	sp|P17693|HLAG_HUMAN HLA class I histocompatibility antigen, alpha chain G OS=Homo sapiens OX=9606 GN=HLA-G PE=1 SV=1	1	1	1	1	3.0	3.0	3.0	38.224	338	338	0.0	7.9069	0	1	341	995	True	1014	1081	1149	1149		
P17706	P17706	1	1	1	Tyrosine-protein phosphatase non-receptor type 2	PTPN2	sp|P17706|PTN2_HUMAN Tyrosine-protein phosphatase non-receptor type 2 OS=Homo sapiens OX=9606 GN=PTPN2 PE=1 SV=2	1	1	1	1	2.2	2.2	2.2	48.473	415	415	0.0056497	5.8122	540260	1	342	5651	True	5762	6076	6542	6542		
P17812	P17812	1	1	1	CTP synthase 1	CTPS1	sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2	1	1	1	1	3.0	3.0	3.0	66.69	591	591	0.0093023	5.6565	496970	0	343	4099	True	4185	4421	4744	4744		
P17844	P17844	15	15	9	Probable ATP-dependent RNA helicase DDX5	DDX5	sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	1	15	15	9	25.6	25.6	14.5	69.147	614	614	0.0	100.05	25691000	15	344	378;978;1761;1839;2225;2298;3205;3338;3758;3873;4294;4320;4671;4880;5018	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	382;997;1792;1871;2260;2333;3260;3394;3832;3954;4382;4408;4764;4977;5118	409;1063;1890;1973;2385;2464;3455;3594;4046;4178;4625;4652;5026;5256;5407	435;1130;2014;2103;2548;2632;3730;3877;4351;4489;4958;4985;5384;5648;5813	435;1130;2014;2103;2548;2632;3730;3877;4351;4489;4958;4985;5384;5648;5813	3	253
P17858	P17858	5	4	4	ATP-dependent 6-phosphofructokinase, liver type	PFKL	sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6	1	5	4	4	9.1	7.9	7.9	85.018	780	780	0.0	24.732	2919000	4	345	596;1384;2164;4834;4942	True;True;True;False;True	604;1409;2199;4929;4930;5042	641;1495;2322;5202;5203;5328	681;1593;2484;5581;5582;5583;5731	681;1593;2484;5581;5731		
P17931	P17931	3	3	3	Galectin-3	LGALS3	sp|P17931|LEG3_HUMAN Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5	1	3	3	3	11.6	11.6	11.6	26.152	250	250	0.0	17.379	3587300	3	346	2105;2434;2739	True;True;True	2139;2472;2786	2260;2618;2956	2418;2819;3186	2418;2819;3186		
P17980	P17980	8	8	8	26S protease regulatory subunit 6A	PSMC3	sp|P17980|PRS6A_HUMAN 26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3	1	8	8	8	22.8	22.8	22.8	49.203	439	439	0.0	62.075	13925000	8	347	350;389;920;1234;3271;3770;4301;5148	True;True;True;True;True;True;True;True	353;393;939;1255;3326;3847;4389;5249	379;420;1003;1338;3525;4061;4632;5546	402;446;1069;1427;3806;4366;4965;5967	402;446;1069;1427;3806;4366;4965;5967		
P17987	P17987	9	9	9	T-complex protein 1 subunit alpha	TCP1	sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	1	9	9	9	17.6	17.6	17.6	60.343	556	556	0.0	54.165	10471000	8	348	2421;2452;2568;4151;4983;5328;5627;5754;5837	True;True;True;True;True;True;True;True;True	2459;2491;2608;4239;5083;5433;5738;5865;5952	2604;2638;2763;4477;5371;5736;6050;6183;6273	2804;2839;2976;4803;5775;6178;6515;6652;6751	2804;2839;2976;4803;5775;6178;6515;6652;6751		
P18031	P18031	2	2	2	Tyrosine-protein phosphatase non-receptor type 1	PTPN1	sp|P18031|PTN1_HUMAN Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1	1	2	2	2	4.6	4.6	4.6	49.966	435	435	0.0	12.749	2354900	2	349	1732;3579	True;True	1763;3639	1860;3847	1981;4143	1981;4143		
P18077	P18077	3	3	3	60S ribosomal protein L35a	RPL35A	sp|P18077|RL35A_HUMAN 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2	1	3	3	3	20.9	20.9	20.9	12.538	110	110	0.0	16.622	6782300	3	350	210;695;2510	True;True;True	212;706;2549	226;750;2700	236;800;2905	236;800;2905		
