Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P04179	P04179	2	2	2	Superoxide dismutase [Mn], mitochondrial	SOD2	sp|P04179|SODM_HUMAN Superoxide dismutase [Mn], mitochondrial OS=Homo sapiens OX=9606 GN=SOD2 PE=1 SV=3	1	2	2	2	12.6	12.6	12.6	24.75	222	222	0.0	13.747	8453200	2	172	230;1788	True;True	231;1820	239;1909	248;2028	248;2028		
P04181	P04181	6	6	6	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	OAT	sp|P04181|OAT_HUMAN Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1	1	6	6	6	18.9	18.9	18.9	48.534	439	439	0.0	37.469	6105700	6	173	156;1957;1999;3321;4963;5494	True;True;True;True;True;True	157;1992;2034;3377;5064;5607	165;2094;2140;3575;5348;5911	172;2227;2276;3826;5730;6337	172;2227;2276;3826;5730;6337		
P04350;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	P04350	15;5;2;2	1;0;0;0	0;0;0;0	Tubulin beta-4A chain	TUBB4A	sp|P04350|TBB4A_HUMAN Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	4	15	1	0	50.9	4.1	0.0	49.585	444	444;444;536;451	0.0	9.7192	5060500	1	174	320;518;1178;1612;1706;1910;2587;2664;2904;3067;3478;3826;4353;4645;5659	False;False;False;False;False;True;False;False;False;False;False;False;False;False;False	322;523;1197;1640;1737;1945;2630;2631;2709;2710;2955;2956;3120;3121;3535;3909;3910;4445;4738;5772	337;338;546;1266;1267;1721;1822;1823;2041;2775;2776;2857;2858;3130;3131;3132;3305;3306;3307;3738;4132;4133;4688;5002;6082	353;354;577;1345;1346;1823;1824;1825;1936;1937;1938;2169;2970;2971;2972;3057;3058;3059;3060;3361;3362;3363;3364;3542;3543;3544;3545;4000;4001;4421;4422;4997;4998;5336;5337;5338;5339;5340;5341;5342;6511;6512	354;577;1346;1824;1937;2169;2970;3057;3362;3545;4001;4421;4998;5337;6512	5;6;7;8;9;10	164;257;267;299;300;388
P04406;O14556	P04406	13;1	13;1	13;1	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	2	13	13	13	63.3	63.3	63.3	36.053	335	335;408	0.0	140.29	253030000	33	175	1739;1935;2517;3108;3441;3516;5128;5155;5158;5163;5322;5401;5481	True;True;True;True;True;True;True;True;True;True;True;True;True	1771;1970;2557;3162;3498;3573;5232;5259;5262;5263;5268;5431;5511;5593	1859;2069;2070;2699;3351;3697;3698;3777;3778;5522;5551;5552;5555;5556;5561;5730;5731;5813;5897	1975;1976;2200;2201;2202;2203;2891;3591;3592;3593;3956;3957;3958;3959;4043;4044;4045;4046;5916;5949;5950;5951;5952;5955;5956;5957;5962;5963;6141;6142;6143;6229;6321	1976;2203;2891;3592;3956;4044;5916;5950;5956;5962;6143;6229;6321	11;12	130;231
P04439	P04439	1	1	1	HLA class I histocompatibility antigen, A-3 alpha chain	HLA-A	sp|P04439|HLAA_HUMAN HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2	1	1	1	1	3.8	3.8	3.8	40.84	365	365	0.0	9.7994	3557500	1	176	1548	True	1575	1655	1755	1755		
P04632;Q96L46	P04632	3;1	3;1	3;1	Calpain small subunit 1	CAPNS1	sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1	2	3	3	3	17.2	17.2	17.2	28.315	268	268;248	0.0	18.78	3214400	3	177	2556;4729;5662	True;True;True	2597;4824;5775	2742;5097;6085	2935;5456;6515	2935;5456;6515		
P04792	P04792	3	3	3	Heat shock protein beta-1	HSPB1	sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2	1	3	3	3	17.1	17.1	17.1	22.782	205	205	0.0	20.377	4738100	3	178	2060;2899;3013	True;True;True	2096;2950;3066	2202;3125;3247	2342;3356;3483	2342;3356;3483		
P04843	P04843	13	13	13	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	sp|P04843|RPN1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1	1	13	13	13	33.1	33.1	33.1	68.569	607	607	0.0	93.936	17811000	13	179	318;353;926;1613;1675;1795;2684;3325;4070;4304;4728;4747;5359	True;True;True;True;True;True;True;True;True;True;True;True;True	320;357;940;1641;1705;1827;2730;3381;4158;4395;4823;4843;5468	335;376;996;1722;1789;1916;2879;3579;4395;4638;5096;5118;5769	351;395;1052;1826;1899;2035;3081;3830;4698;4947;5455;5481;6183	351;395;1052;1826;1899;2035;3081;3830;4698;4947;5455;5481;6183		
P04844	P04844	8	8	8	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	RPN2	sp|P04844|RPN2_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3	1	8	8	8	20.4	20.4	20.4	69.283	631	631	0.0	54.996	7587900	8	180	1086;1507;3732;3850;4389;4858;5597;5599	True;True;True;True;True;True;True;True	1102;1533;3813;3934;4481;4958;5710;5712	1164;1610;4031;4157;4727;5238;6018;6020	1229;1709;4314;4446;5039;5611;6445;6447	1229;1709;4314;4446;5039;5611;6445;6447		
P63096;P09471;P08754;P04899;P11488;P19087;A8MTJ3;P38405;Q5JWF2	P63096;P09471;P08754;P04899;P11488;P19087;A8MTJ3;P38405;Q5JWF2	2;2;2;2;1;1;1;1;1	2;2;2;2;1;1;1;1;1	2;2;2;2;1;1;1;1;1	Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAI1;GNAO1;GNAI3;GNAI2;GNAT1;GNAT2;GNAT3;GNAL;GNAS	sp|P63096|GNAI1_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P09471|GNAO_HUMAN Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4;sp|P08754|GNAI3_H	9	2	2	2	6.5	6.5	6.5	40.361	354	354;354;354;355;350;354;354;381;1037	0.0	12.598	1933700	2	181	3195;4873	True;True	3250;4973	3441;5253	3688;5626	3688;5626		
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;Q96QV6;P16104;Q8IUE6	Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;Q96QV6;P16104	3;3;3;3;3;3;3;3;3;3;2;2;1	1;1;1;1;1;1;1;1;1;1;0;0;0	1;1;1;1;1;1;1;1;1;1;0;0;0	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-B/E;Histone H2A type 1-A;Histone H2AX	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST1H2AA;H2AFX	sp|Q99878|H2A1J_HUMAN Histone H2A type 1-J OS=Homo sapiens OX=9606 GN=H2AC14 PE=1 SV=3;sp|Q96KK5|H2A1H_HUMAN Histone H2A type 1-H OS=Homo sapiens OX=9606 GN=H2AC12 PE=1 SV=3;sp|Q9BTM1|H2AJ_HUMAN Histone H2A.J OS=Homo sapiens OX=9606 GN=H2AJ PE=1 SV=1;sp|Q1	13	3	1	1	27.3	14.8	14.8	13.936	128	128;128;129;129;130;130;130;130;130;130;131;143;130	0.00088028	6.1286	3568700	1	182	162;2283;5375	False;False;True	163;2320;5484	171;2445;5785	178;2604;2605;6199	178;2604;6199		
P05023;P13637;P50993	P05023	7;2;1	7;2;1	7;2;1	Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1	3	7	7	7	8.4	8.4	8.4	112.89	1023	1023;1013;1020	0.0	45.727	6221800	7	183	475;500;2150;2722;3258;4852;5594	True;True;True;True;True;True;True	480;505;2186;2769;3314;4951;5707	501;527;2298;2918;3508;5231;6015	529;558;2440;3121;3757;5604;6442	529;558;2440;3121;3757;5604;6442		
P05141;Q9H0C2	P05141	7;1	7;1	4;0	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	SLC25A5	sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	2	7	7	4	26.5	26.5	16.1	32.852	298	298;315	0.0	47.261	27058000	9	184	50;678;1321;2116;3199;4080;5583	True;True;True;True;True;True;True	50;685;1343;2152;3254;4168;5696	54;715;1415;2262;3445;3446;4405;6004	55;759;1501;1502;2403;3692;3693;4708;6431	55;759;1501;2403;3693;4708;6431		
P05161	P05161	2	2	2	Ubiquitin-like protein ISG15	ISG15	sp|P05161|ISG15_HUMAN Ubiquitin-like protein ISG15 OS=Homo sapiens OX=9606 GN=ISG15 PE=1 SV=5	1	2	2	2	20.0	20.0	20.0	17.887	165	165	0.0	15.084	1592400	2	185	2903;5314	True;True	2954;5423	3129;5721	3360;6132	3360;6132		
P05198	P05198	9	9	9	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3	1	9	9	9	31.1	31.1	31.1	36.112	315	315	0.0	61.146	6912000	9	186	666;2231;2232;2320;3713;4649;4675;4928;5432	True;True;True;True;True;True;True;True;True	673;2267;2268;2358;3794;4742;4768;5029;5544	703;2383;2384;2488;4011;5007;5034;5313;5848	747;2529;2530;2659;4294;5347;5375;5693;6270	747;2529;2530;2659;4294;5347;5375;5693;6270		
P05362	P05362	6	6	6	Intercellular adhesion molecule 1	ICAM1	sp|P05362|ICAM1_HUMAN Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2	1	6	6	6	14.1	14.1	14.1	57.825	532	532	0.0	39.415	6514500	6	187	766;1308;3174;4699;5060;5380	True;True;True;True;True;True	775;1330;3228;4793;5162;5489	816;1402;3418;5059;5451;5790	862;1488;3663;5402;5840;6204	862;1488;3663;5402;5840;6204		
P05386	P05386	1	1	1	60S acidic ribosomal protein P1	RPLP1	sp|P05386|RLA1_HUMAN 60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1	1	1	1	1	37.7	37.7	37.7	11.514	114	114	0.0096696	5.6798	6356100	2	188	245	True	246	254;255	265;266	266		
P05387	P05387	5	5	5	60S acidic ribosomal protein P2	RPLP2	sp|P05387|RLA2_HUMAN 60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1	1	5	5	5	76.5	76.5	76.5	11.665	115	115	0.0	45.744	38552000	7	189	2542;2891;3758;5168;5733	True;True;True;True;True	2583;2942;3839;5273;5851	2728;3117;4058;5567;6164;6165	2920;3348;4342;4343;5969;6598;6599	2920;3348;4343;5969;6598		
P05388;Q8NHW5	P05388;Q8NHW5	8;5	8;5	8;5	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	RPLP0;RPLP0P6	sp|P05388|RLA0_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1;sp|Q8NHW5|RLA0L_HUMAN 60S acidic ribosomal protein P0-like OS=Homo sapiens OX=9606 GN=RPLP0P6 PE=5 SV=1	2	8	8	8	33.4	33.4	33.4	34.273	317	317;317	0.0	58.093	27588000	9	190	570;1041;2039;2122;2515;3905;4854;5184	True;True;True;True;True;True;True;True	575;1055;2075;2158;2555;3991;4953;5290	600;1115;2181;2268;2697;4217;5233;5584	637;1178;2321;2409;2888;2889;4510;5606;5986	637;1178;2321;2409;2888;4510;5606;5986		
P05455	P05455	11	11	11	Lupus La protein	SSB	sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2	1	11	11	11	31.1	31.1	31.1	46.836	408	408	0.0	77.962	21877000	11	191	631;1368;1411;1639;2098;2378;2490;2923;3473;4497;5617	True;True;True;True;True;True;True;True;True;True;True	636;1390;1434;1668;2134;2416;2529;2975;3530;4589;5730	664;1462;1506;1750;2244;2548;2669;3152;3733;4842;6039	704;1551;1599;1854;2385;2722;2856;3386;3995;5165;6467	704;1551;1599;1854;2385;2722;2856;3386;3995;5165;6467		
P05556	P05556	11	11	11	Integrin beta-1	ITGB1	sp|P05556|ITB1_HUMAN Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2	1	11	11	11	17.9	17.9	17.9	88.414	798	798	0.0	73.42	15692000	11	192	743;826;1469;1822;3129;3230;3391;3393;4268;4423;5473	True;True;True;True;True;True;True;True;True;True;True	751;837;1492;1855;3183;3285;3447;3449;4358;4515;5585	789;884;1568;1945;3373;3478;3645;3647;4600;4762;5889	834;936;1662;2066;3616;3727;3899;3901;4909;5077;6312	834;936;1662;2066;3616;3727;3899;3901;4909;5077;6312		
P05783;CON__P05784;CON__H-INV:HIT000015463	P05783	12;4;1	11;3;1	11;3;1	Keratin, type I cytoskeletal 18	KRT18	sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	3	12	11	11	37.9	35.8	35.8	48.057	430	430;423;295	0.0	76.581	24074000	13	193	395;2006;2734;2892;2960;3152;3354;4013;4030;4422;4549;4913	True;True;False;True;True;True;True;True;True;True;True;True	399;2041;2781;2943;3012;3206;3410;4101;4118;4514;4641;5014	418;2147;2930;3118;3191;3396;3608;4332;4333;4351;4761;4898;5297	440;2283;3133;3349;3426;3641;3859;4631;4632;4650;5076;5225;5226;5676	440;2283;3133;3349;3426;3641;3859;4631;4650;5076;5226;5676		
P06276	P06276	1	1	1	Cholinesterase	BCHE	sp|P06276|CHLE_HUMAN Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1	1	1	1	1	3.3	3.3	3.3	68.417	602	602	0.00087413	6.0716	762540	1	194	1346	True	1368	1440	1528	1528		
P06454	P06454	1	1	1	Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1	PTMA	sp|P06454|PTMA_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2	1	1	1	1	12.6	12.6	12.6	12.203	111	111	0.0	9.6473	5707300	1	195	4281	True	4371	4613	4922	4922		
P06493;Q00535;P11802;Q00534;P50750;Q96Q40;O94921;Q07002;Q00536;Q00537;Q9NYV4;Q14004	P06493	6;1;1;1;1;1;1;1;1;1;1;1	6;1;1;1;1;1;1;1;1;1;1;1	5;0;0;0;0;0;0;0;0;0;0;0	Cyclin-dependent kinase 1	CDK1	sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3	12	6	6	5	23.9	23.9	21.2	34.095	297	297;292;303;326;372;435;469;474;496;523;1490;1512	0.0	40.499	4633400	7	196	2823;2860;3004;3785;4482;5462	True;True;True;True;True;True	2871;2908;3057;3867;4574;5574	3036;3079;3237;3238;4087;4826;5878	3263;3306;3472;3473;4373;5148;6301	3263;3306;3472;4373;5148;6301		
P06576	P06576	15	15	15	ATP synthase subunit beta, mitochondrial	ATP5B	sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	1	15	15	15	49.5	49.5	49.5	56.559	529	529	0.0	110.46	38470000	22	197	184;1126;1589;1671;1868;2099;2584;2588;3521;4064;4732;4906;4967;5199;5400	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	185;1143;1616;1701;1903;2135;2626;2632;2633;3578;4152;4827;4828;5006;5007;5068;5305;5510	193;1205;1697;1785;1997;2245;2771;2777;2778;3783;4389;5101;5102;5289;5290;5352;5599;5812	200;1273;1798;1895;2124;2386;2966;2973;2974;2975;4051;4690;5461;5462;5463;5665;5666;5667;5668;5734;6002;6228	200;1273;1798;1895;2124;2386;2966;2975;4051;4690;5463;5668;5734;6002;6228	13;14;15	113;145;217
P06703	P06703	2	2	2	Protein S100-A6	S100A6	sp|P06703|S10A6_HUMAN Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1	1	2	2	2	16.7	16.7	16.7	10.18	90	90	0.0	15.848	20981000	2	198	3243;3336	True;True	3298;3392	3491;3590	3740;3841	3740;3841		
P06730	P06730	3	3	3	Eukaryotic translation initiation factor 4E	EIF4E	sp|P06730|IF4E_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2	1	3	3	3	14.7	14.7	14.7	25.097	217	217	0.0	18.372	2107900	3	199	2353;2729;5496	True;True;True	2391;2776;5609	2523;2925;5913	2696;3128;6339	2696;3128;6339		
P06733;P13929	P06733	15;1	15;1	14;0	Alpha-enolase	ENO1	sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	2	15	15	14	53.0	53.0	48.8	47.168	434	434;434	0.0	239.6	267470000	39	200	48;634;959;1661;2037;2265;2416;2465;2877;2883;3245;4276;5296;5416;5610	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	48;639;973;1691;2072;2301;2454;2504;2925;2926;2927;2933;2934;3300;3301;4366;5405;5526;5527;5723	51;52;667;668;1029;1030;1774;1775;2178;2422;2587;2640;2641;3098;3099;3100;3101;3108;3109;3493;3494;4608;5702;5828;5829;5830;6031	52;53;707;708;1088;1089;1882;1883;1884;1885;2315;2316;2574;2764;2823;2824;3325;3326;3327;3328;3329;3330;3331;3338;3339;3340;3742;3743;4917;6112;6245;6246;6247;6248;6249;6250;6251;6458;6459	52;707;1088;1882;2316;2574;2764;2824;3329;3338;3743;4917;6112;6247;6459	16;17;18;19;20;21	94;97;165;169;244;368
P06737;P11217;P11216	P06737	18;2;1	18;2;1	18;2;1	Glycogen phosphorylase, liver form	PYGL	sp|P06737|PYGL_HUMAN Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4	3	18	18	18	26.8	26.8	26.8	97.147	847	847;842;843	0.0	119.8	28741000	21	201	722;964;1427;1446;1653;1730;1953;2276;2386;2717;3074;3510;4519;4689;5086;5147;5497;5572	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	730;978;1450;1469;1683;1762;1988;2312;2424;2764;3128;3567;4611;4783;5188;5251;5610;5685	765;766;1035;1036;1523;1543;1766;1850;2090;2435;2436;2557;2913;3314;3771;4867;5049;5477;5543;5914;5915;5993	809;810;1094;1095;1616;1636;1874;1966;2223;2589;2590;2731;3116;3552;4035;5192;5392;5867;5940;6340;6341;6420	810;1094;1616;1636;1874;1966;2223;2590;2731;3116;3552;4035;5192;5392;5867;5940;6340;6420		
P06744	P06744	11	11	9	Glucose-6-phosphate isomerase	GPI	sp|P06744|G6PI_HUMAN Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4	1	11	11	9	32.1	32.1	26.7	63.146	558	558	0.0	72.807	31191000	19	202	922;2258;3628;3818;4474;4707;4753;4762;5007;5095;5448	True;True;True;True;True;True;True;True;True;True;True	935;936;2294;3696;3697;3900;3901;4566;4801;4849;4858;5108;5198;5560	991;992;2414;3906;3907;4122;4123;4124;4817;5069;5124;5133;5395;5488;5864	1046;1047;2565;2566;4179;4180;4181;4182;4411;4412;4413;5136;5417;5488;5499;5781;5879;5880;6287	1047;2566;4179;4413;5136;5417;5488;5499;5781;5880;6287	22	401
P06748	P06748	5	5	5	Nucleophosmin	NPM1	sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	1	5	5	5	25.9	25.9	25.9	32.575	294	294	0.0	56.588	56814000	13	203	664;3662;3663;4915;5026	True;True;True;True;True	670;671;3738;3739;3740;5016;5127	700;701;3948;3949;3950;3951;3952;5299;5414	744;745;4224;4225;4226;4227;4228;4229;4230;5678;5679;5800;5801	744;4227;4229;5679;5801	23;24	65;81
P06753	P06753	4	3	3	Tropomyosin alpha-3 chain	TPM3	sp|P06753|TPM3_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2	1	4	3	3	15.1	11.6	11.6	32.95	285	285	0.0	19.229	9343000	3	204	8;2650;2818;3613	True;False;True;True	8;2695;2866;3676	9;2843;3030;3885	10;3041;3042;3257;4156	10;3041;3257;4156		
Q16778;P33778;P23527;P06899;Q8N257;Q6DRA6;Q6DN03	Q16778;P33778;P23527;P06899;Q8N257	3;3;3;3;2;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B	HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST3H2BB	sp|Q16778|H2B2E_HUMAN Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3;sp|P33778|H2B1B_HUMAN Histone H2B type 1-B OS=Homo sapiens OX=9606 GN=H2BC3 PE=1 SV=2;sp|P23527|H2B1O_HUMAN Histone H2B type 1-O OS=Homo sapiens OX=9606 GN=H2BC17 PE=1 S	7	3	1	1	24.6	7.1	7.1	13.92	126	126;126;126;126;126;164;193	0.0042194	5.9048	5197300	1	205	338;1171;1360	False;False;True	340;341;1189;1382	357;358;359;1257;1454	374;375;376;377;1331;1543	376;1331;1543	3	60
P07099	P07099	4	4	4	Epoxide hydrolase 1	EPHX1	sp|P07099|HYEP_HUMAN Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1	1	4	4	4	14.3	14.3	14.3	52.948	455	455	0.0	24.069	2664200	4	206	1590;1655;3750;5465	True;True;True;True	1617;1685;3831;5577	1698;1768;4050;5881	1799;1876;4334;6304	1799;1876;4334;6304		
P07108	P07108	1	1	1	Acyl-CoA-binding protein	DBI	sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2	1	1	1	1	18.4	18.4	18.4	10.044	87	87	0.00090171	6.2568	5142500	2	207	4758	True	4854	5129	5494;5495	5494		
P07195;Q6ZMR3;P07864	P07195	8;1;1	7;0;0	7;0;0	L-lactate dehydrogenase B chain	LDHB	sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2	3	8	7	7	27.8	24.3	24.3	36.638	334	334;332;332	0.0	42.527	13923000	7	208	1816;3080;3120;3668;4250;4394;4395;5153	True;True;True;True;True;True;True;False	1848;3134;3174;3746;3747;4339;4486;4487;5257	1938;3321;3364;3960;3961;4581;4733;4734;5549	2058;3559;3606;4241;4242;4888;5047;5048;5946;5947	2058;3559;3606;4242;4888;5047;5048;5947		
P07237	P07237	18	18	18	Protein disulfide-isomerase	P4HB	sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	1	18	18	18	37.0	37.0	37.0	57.116	508	508	0.0	130.18	58394000	24	209	698;2292;2449;2545;2551;3111;3610;3730;3835;3911;4106;4464;4719;4902;4996;5136;5618;5697	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	706;2329;2488;2586;2592;3165;3672;3811;3919;3997;4194;4556;4814;5002;5097;5240;5731;5815	739;2455;2623;2731;2737;3354;3881;4029;4142;4224;4431;4806;4807;5083;5285;5383;5384;5531;6040;6041;6126	783;2616;2617;2806;2923;2924;2930;3596;4152;4312;4431;4518;4734;5123;5124;5433;5434;5660;5768;5769;5928;6468;6469;6559	783;2617;2806;2923;2930;3596;4152;4312;4431;4518;4734;5124;5434;5660;5768;5928;6468;6559		
P07305	P07305	1	1	1	Histone H1.0;Histone H1.0, N-terminally processed	H1F0	sp|P07305|H10_HUMAN Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3	1	1	1	1	6.7	6.7	6.7	20.863	194	194	0.0	6.8784	641250	1	210	5709	True	5827	6138	6571	6571		
P07339	P07339	2	2	2	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	1	2	2	2	5.8	5.8	5.8	44.552	412	412	0.0	15.147	1438600	2	211	3144;3494	True;True	3198;3551	3388;3755	3633;4019	3633;4019		
P07355;A6NMY6	P07355;A6NMY6	16;12	16;12	16;12	Annexin A2;Putative annexin A2-like protein	ANXA2;ANXA2P2	sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2	2	16	16	16	51.0	51.0	51.0	38.604	339	339;339	0.0	229.94	226650000	35	212	93;556;723;724;1986;2144;3405;4040;4221;4260;4456;4568;4625;4809;4819;5487	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	93;561;731;732;2021;2180;3461;4128;4309;4350;4548;4660;4717;4718;4908;4918;5599;5600	99;586;767;768;769;2125;2126;2291;2292;3659;4363;4549;4592;4797;4918;4978;4979;5186;5196;5903;5904	101;621;622;811;812;813;814;2259;2260;2261;2262;2433;2434;3914;3915;4662;4663;4855;4900;4901;5113;5114;5246;5247;5310;5311;5312;5557;5558;5568;5569;6327;6328;6329;6330	101;621;812;814;2260;2434;3915;4662;4855;4901;5113;5246;5311;5557;5568;6327		
