Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
O00754,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide,MAN2B1,11,13.2,113.61,1010,0,38.475,266230000
O00757,"Fructose-1,6-bisphosphatase isozyme 2",FBP2,2,9.1,36.743,339,0,2.6275,54014000
O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,10,46.3,45.997,428,0,210.4,1224600000
O14594,Neurocan core protein,NCAN,4,5.2,143.09,1321,0,12.273,45791000
O14638,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase,ENPP3,6,8.1,100.12,875,0,24.154,64291000
O14672,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,3,5.6,84.141,748,0,30.339,107560000
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,4,15.4,38.868,358,0,8.527,94326000
O14773,Tripeptidyl-peptidase 1,TPP1,6,18.3,61.247,563,0,40.038,126920000
O14791,Apolipoprotein L1,APOL1,20,45.2,43.974,398,0,196.22,8833800000
O14793,Growth/differentiation factor 8,MSTN,11,39.5,42.75,375,0,104.07,1168800000
O14798,Tumor necrosis factor receptor superfamily member 10C,TNFRSF10C,3,9.3,27.407,259,0,4.8558,29590000
O14818,Proteasome subunit alpha type-7,PSMA7,7,31,27.887,248,0,87.999,364720000
O15031,Plexin-B2,PLXNB2,33,26,205.12,1838,0,323.31,2580200000
O15117,FYN-binding protein,FYB,2,2.8,85.386,783,0.0041176,1.7472,4798800
O15143,Actin-related protein 2/3 complex subunit 1B,ARPC1B,8,22.8,40.949,372,0,23.656,883010000
O15144,Actin-related protein 2/3 complex subunit 2,ARPC2,11,40.3,34.333,300,0,70.428,2620000000
O15145,Actin-related protein 2/3 complex subunit 3,ARPC3,9,55.6,20.546,178,0,34.559,499140000
O15197,Ephrin type-B receptor 6,EPHB6,2,3.9,57.497,540,0,4.6407,10840000
O15204,ADAM DEC1,ADAMDEC1,6,19.1,52.775,470,0,64.105,1119800000
O15230,Laminin subunit alpha-5,LAMA5,6,2.6,399.73,3695,0,8.8172,82556000
O15240,Neurosecretory protein VGF;Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;Antimicrobial peptide VGF[554-577],VGF,3,5.9,67.257,615,0,7.3924,37386000
O15335,Chondroadherin,CHAD,12,46.2,40.475,359,0,323.31,774230000
O15394,Neural cell adhesion molecule 2,NCAM2,25,34.3,93.045,837,0,207.83,5045700000
O15400,Syntaxin-7,STX7,2,7.9,27.4,239,0.00061312,2.1678,14712000
O15467,C-C motif chemokine 16,CCL16,2,33.3,13.6,120,0,35.347,90488000
O15511,Actin-related protein 2/3 complex subunit 5,ARPC5,2,16.6,16.32,151,0,7.8895,512500000
O43157,Plexin-B1,PLXNB1,15,13,214.41,1952,0,174.68,1154400000
O43278,Kunitz-type protease inhibitor 1,SPINT1,15,31.2,56.885,513,0,30.521,1271000000
O43280,Trehalase,TREH,16,43.6,66.567,583,0,170.28,973540000
O43505,"Beta-1,4-glucuronyltransferase 1",B4GAT1,13,46.7,47.119,415,0,323.31,3212600000
O43665,Regulator of G-protein signaling 10,RGS10,5,43.1,19.608,167,0,34.02,73503000
O43707,Alpha-actinin-4,ACTN4,21,48.3,104.85,911,0,119.46,841920000
O43747,AP-1 complex subunit gamma-1,AP1G1,2,3.9,91.35,822,0,4.5303,9214300
O43852,Calumenin,CALU,12,45.1,37.106,315,0,130,382900000
O43866,CD5 antigen-like,CD5L,21,64.8,38.087,347,0,323.31,72978000000
O43895,Xaa-Pro aminopeptidase 2,XPNPEP2,24,47.2,75.624,674,0,323.31,4353700000
O43915,Vascular endothelial growth factor D,FIGF,2,5.9,40.444,354,0,4.3531,30471000
O60279,Sushi domain-containing protein 5,SUSD5,5,13,68.02,629,0,58.738,302650000
O60449,Lymphocyte antigen 75,LY75,5,3.7,198.31,1722,0,14.309,58690000
O60462,Neuropilin-2,NRP2,31,41.4,101.41,901,0,323.31,3488200000
O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MAN1A2,4,8.4,73.003,641,0,3.9913,26441000
O60493,Sorting nexin-3,SNX3,3,26.2,14.766,130,0,5.7805,19143000
O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,9,14.9,84.784,738,0,17.1,139770000
O60613,15 kDa selenoprotein,15-Sep,4,27.2,17.79,162,0,63.421,146400000
O60664,Perilipin-3,PLIN3,3,19.9,28.157,251,0,30.906,36387000
O60667,Fas apoptotic inhibitory molecule 3,FAIM3,3,19.3,33.827,306,0,49.969,208640000
O60888,Protein CutA,CUTA,5,55.8,16.832,156,0,60.303,1215800000
O75023,Leukocyte immunoglobulin-like receptor subfamily B member 5,LILRB5,13,27.1,64.125,590,0,109.67,1813700000
O75051,Plexin-A2,PLXNA2,5,2.9,211.1,1894,0,4.853,80081000
O75063,Glycosaminoglycan xylosylkinase,FAM20B,6,20,46.432,409,0,13.779,77330000
O75083,WD repeat-containing protein 1,WDR1,24,53.1,66.193,606,0,323.31,4884700000
O75095,Multiple epidermal growth factor-like domains protein 6,MEGF6,2,1.9,128.61,1229,0,2.5931,15996000
O75223,Gamma-glutamylcyclotransferase,GGCT,4,57.4,10.504,94,0,20.944,51147000
O75326,Semaphorin-7A,SEMA7A,16,32.1,74.823,666,0,229.19,919440000
O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,CILP,15,16.8,132.56,1184,0,135.73,1705900000
O75340,Programmed cell death protein 6,PDCD6,4,27,21.664,189,0,12.963,120700000
O75356,Ectonucleoside triphosphate diphosphohydrolase 5,ENTPD5,14,42.1,47.517,428,0,112.66,500680000
O75368,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,8,82.5,12.774,114,0,61.828,2300200000
O75503,Ceroid-lipofuscinosis neuronal protein 5,CLN5,9,22.6,41.496,358,0,11.267,300610000
O75509,Tumor necrosis factor receptor superfamily member 21,TNFRSF21,2,3.4,71.844,655,0,5.5865,49809000
O75594,Peptidoglycan recognition protein 1,PGLYRP1,2,15.8,21.731,196,0,8.7079,17287000
O75629,Protein CREG1,CREG1,3,20,24.074,220,0,16.028,38857000
O75636,Ficolin-3,FCN3,11,46.8,32.903,299,0,323.31,6894500000
O75752,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",B3GALNT1,4,14.8,39.511,331,0,20.249,48110000
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,9,21.5,46.659,414,0,31.315,156030000
O75882,Attractin,ATRN,49,39.1,141.43,1272,0,323.31,97818000000
O75976,Carboxypeptidase D,CPD,8,6.4,152.93,1380,0,16.663,346390000
O76061,Stanniocalcin-2,STC2,7,39.1,33.248,302,0,194.93,943160000
O94769,Extracellular matrix protein 2,ECM2,16,27.9,79.788,699,0,86.271,1022700000
O94856,Neurofascin,NFASC,3,6.3,69.565,619,0,4.9403,27628000
O94898,Leucine-rich repeats and immunoglobulin-like domains protein 2,LRIG2,8,10.1,118.96,1065,0,47.286,99582000
O94919,Endonuclease domain-containing 1 protein,ENDOD1,8,28.4,55.016,500,0,188.72,397610000
O94933,SLIT and NTRK-like protein 3,SLITRK3,6,6.4,108.93,977,0,18.222,151830000
O94985,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,CLSTN1,24,25.3,109.79,981,0,178.66,3849200000
O95185,Netrin receptor UNC5C,UNC5C,3,4.5,66.078,597,0,3.7549,18872000
O95274,Ly6/PLAUR domain-containing protein 3,LYPD3,5,18.2,35.97,346,0,135.22,169610000
O95302,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,3,5.8,63.083,570,0,3.4904,33999000
O95336,6-phosphogluconolactonase,PGLS,6,34.1,27.547,258,0,21.39,112940000
O95393,Bone morphogenetic protein 10,BMP10,3,6.4,48.047,424,0,7.5042,36746000
O95428,Papilin,PAPLN,28,30.1,136.07,1262,0,307.58,3229300000
O95445,Apolipoprotein M,APOM,3,22.4,13.051,116,0,11.579,118140000
O95497,Pantetheinase,VNN1,18,50.3,57.011,513,0,323.31,29997000000
O95502,Neuronal pentraxin receptor,NPTXR,3,5.4,52.846,500,0.0041128,1.7371,64845000
O95633,Follistatin-related protein 3,FSTL3,6,32.1,24.96,237,0,45.673,327440000
O95810,Serum deprivation-response protein,SDPR,10,30.1,47.173,425,0,81.846,485510000
O95865,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,6,28.1,29.644,285,0,73.133,103230000
O95881,Thioredoxin domain-containing protein 12,TXNDC12,3,22.7,19.206,172,0,10.287,24633000
O95897,Noelin-2,OLFM2,8,18.3,51.386,454,0,14.815,465020000
O95969,Secretoglobin family 1D member 2,SCGB1D2,2,22.2,9.925,90,0,3.5562,38770000
O95980,Reversion-inducing cysteine-rich protein with Kazal motifs,RECK,28,32.5,106.46,971,0,237.82,3341700000
O95998,Interleukin-18-binding protein,IL18BP,4,23.7,21.099,194,0,8.0945,791030000
P00338,L-lactate dehydrogenase A chain,LDHA,17,61.4,36.688,332,0,158.76,9391700000
P00352,Retinal dehydrogenase 1,ALDH1A1,9,21.6,54.861,501,0,25.916,228260000
P00367,"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial",GLUD1;GLUD2,12,24.6,61.397,558,0,44.431,495710000
P00390,"Glutathione reductase, mitochondrial",GSR,16,48.2,51.7,479,0,323.31,3046800000
P00441,Superoxide dismutase [Cu-Zn],SOD1,5,34.4,15.936,154,0,18.144,1841500000
P00450,Ceruloplasmin,CP,88,84.3,122.2,1065,0,323.31,4.1963E+12
P00451,"Coagulation factor VIII;Factor VIIIa heavy chain, 200 kDa isoform;Factor VIIIa heavy chain, 92 kDa isoform;Factor VIII B chain;Factor VIIIa light chain",F8,22,10,267.01,2351,0,136.83,964030000
P00480,"Ornithine carbamoyltransferase, mitochondrial",OTC,5,15.3,39.935,354,0,9.0718,78291000
P00488,Coagulation factor XIII A chain,F13A1,44,66.9,83.266,732,0,323.31,36016000000
P00491,Purine nucleoside phosphorylase,PNP,16,69.9,32.118,289,0,103.3,4699300000
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,8,46.8,24.579,218,0,61.842,377130000
P00533,Epidermal growth factor receptor;Receptor protein-tyrosine kinase,EGFR,24,51.4,69.227,628,0,323.31,4826300000
P00558,Phosphoglycerate kinase 1,PGK1,27,72.4,44.614,417,0,247.91,7269200000
P00736,Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,C1R,37,59.7,80.118,705,0,323.31,1.6415E+11
P00738,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,HP,24,61.3,45.205,406,0,323.31,13173000000
P00739,Haptoglobin-related protein,HPR,9,73.6,39.029,348,0,323.31,4084700000
P00740,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,F9,19,50.8,51.778,461,0,323.31,1.6838E+11
P00742,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,F10,34,55.7,54.731,488,0,323.31,3.0334E+11
P00747,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",PLG,8,7.5,90.568,810,0,45.67,1397400000
P00748,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,F12,32,60.2,67.791,615,0,323.31,1.6086E+11
P00915,Carbonic anhydrase 1,CA1,12,62.8,28.87,261,0,323.31,22386000000
P00918,Carbonic anhydrase 2,CA2,13,61.2,29.246,260,0,286.65,8021900000
P00966,Argininosuccinate synthase,ASS1,2,7.8,46.53,412,0,4.2265,11570000
P00995,Pancreatic secretory trypsin inhibitor,SPINK1,5,55.7,8.5067,79,0,67.548,788390000
P01008,Antithrombin-III,SERPINC1,13,27.4,52.602,464,0,98.045,5072100000
P01009,Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,40,80.4,46.736,418,0,323.31,4.4169E+11
P01011,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3,12,35.2,47.65,423,0,90.997,700090000
P01019,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,AGT,24,65.2,53.154,485,0,323.31,9.5908E+11
P01023,Alpha-2-macroglobulin,A2M,89,70.5,163.29,1474,0,323.31,9.0126E+11
P01024,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,40,29.5,187.15,1663,0,323.31,46352000000
P01031,Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,C5,59,43.7,188.3,1676,0,323.31,5163300000
P01034,Cystatin-C,CST3,9,63,15.799,146,0,316.48,53505000000
P01042,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,KNG1,28,39.6,71.957,644,0,323.31,1.0094E+11
P01137,Transforming growth factor beta-1;Latency-associated peptide,TGFB1,4,12.6,44.341,390,0,18.418,78255000
P01178,Oxytocin-neurophysin 1;Oxytocin;Neurophysin 1,OXT,3,32,12.722,125,0,19.123,76984000
P01236,Prolactin,PRL,4,19.4,25.876,227,0,13.882,151390000
P01266,Thyroglobulin,TG,4,2.2,304.79,2768,0,3.3908,113040000
P01344,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,IGF2,5,32.8,20.14,180,0,158.55,22039000000
P01591,Immunoglobulin J chain,IGJ,7,63.5,18.098,159,0,134.87,27996000000
P01596,Ig kappa chain V-I region CAR,,4,43.9,11.346,107,0,158.93,8055300000
P01597,Ig kappa chain V-I region DEE,,2,10.2,11.418,108,0,4.5675,898500000
P01598,Ig kappa chain V-I region EU,,2,32.4,11.788,108,0,15.881,5832400000
P01605,Ig kappa chain V-I region Lay,,3,31.5,11.834,108,0,263.79,9749400000
P01608,Ig kappa chain V-I region Roy,,2,31.5,11.782,108,0.0052174,1.6009,1155500000
P01609,Ig kappa chain V-I region Scw,,2,42.6,11.764,108,0,12.824,588140000
P01610,Ig kappa chain V-I region WEA;Ig kappa chain V-I region WAT;Ig kappa chain V-I region Hau,,4,37,11.84,108,0,196.85,19788000000
P01612,Ig kappa chain V-I region Mev,,2,31.2,11.87,109,0,36.79,862000000
P01613,Ig kappa chain V-I region Ni,,3,33,11.745,112,0,139.04,3836300000
P01615,Ig kappa chain V-II region FR,,2,17.7,12.059,113,0,10.338,352200000
P01617,Ig kappa chain V-II region TEW,,6,41.6,12.059,113,0,199.29,17122000000
P01619,Ig kappa chain V-III region B6,,2,21.3,11.12,108,0,22.365,1681400000
P01620,Ig kappa chain V-III region SIE,,6,66.1,11.775,109,0,323.31,50730000000
P01625,Ig kappa chain V-IV region Len;Ig kappa chain V-IV region B17,,6,53.5,12.64,114,0,156.15,14732000000
P01700,Ig lambda chain V-I region HA;Ig lambda chain V-II region WIN,,2,23.2,11.896,112,0.0046566,1.6396,1735900000
P01701,Ig lambda chain V-I region NEW,,5,41.4,11.453,111,0,7.313,5613700000
P01702,Ig lambda chain V-I region NIG-64;Ig lambda chain V-I region BL2;Ig lambda chain V-I region EPS,,3,18.9,11.453,111,0,3.7818,2494400000
P01703,Ig lambda chain V-I region NEWM,,2,36.9,10.904,103,0,62.805,68302000
P01708,Ig lambda chain V-II region BUR,,3,32.1,11.506,109,0,12.518,1028600000
P01714,Ig lambda chain V-III region SH,,4,42.6,11.392,108,0,83.5,7168300000
P01715,Ig lambda chain V-IV region Bau,,2,31.1,11.305,106,0,2.5093,19216000000
P01719,Ig lambda chain V-V region DEL,,3,38.9,11.342,108,0,10.564,1386400000
P01743,Ig heavy chain V-I region HG3,,2,22.2,12.946,117,0,63.813,3782700000
P01764,Ig heavy chain V-III region 23,IGHV3-23,3,22.2,12.582,117,0,41.541,16329000000
P01765,Ig heavy chain V-III region TIL,,2,33.9,11.612,115,0,52.995,16195000000
P01766,Ig heavy chain V-III region BRO,,4,37.5,13.227,120,0,79.031,47458000000
P01767,Ig heavy chain V-III region BUT,,2,35.7,11.906,115,0,43.459,3005900000
P01771,Ig heavy chain V-III region HIL,,2,15.7,13.437,121,0,53.102,2761100000
P01772,Ig heavy chain V-III region KOL,,2,11.9,13.718,126,0,7.4287,1294300000
P01780,Ig heavy chain V-III region JON,,2,16.5,12.32,115,0,26.556,2959600000
P01781,Ig heavy chain V-III region GAL,,4,36.2,11.771,116,0,117.58,12877000000
P01824,Ig heavy chain V-II region WAH,,2,13.2,14.117,129,0,3.8993,1714000000
P01833,Polymeric immunoglobulin receptor;Secretory component,PIGR,23,42,83.283,764,0,323.31,4491500000
P01834,Ig kappa chain C region,IGKC,9,90.6,11.609,106,0,323.31,2.9809E+11
P01854,Ig epsilon chain C region,IGHE,14,40,47.019,428,0,262.37,2355800000
P01857,Ig gamma-1 chain C region,IGHG1,17,73.3,36.105,330,0,323.31,6.6046E+11
P01859,Ig gamma-2 chain C region,IGHG2,25,74.8,35.9,326,0,323.31,6.5037E+11
P01860,Ig gamma-3 chain C region,IGHG3,9,59.7,41.287,377,0,283.78,82605000000
P01861,Ig gamma-4 chain C region,IGHG4,13,75.2,35.94,327,0,323.31,1.0345E+11
P01871,Ig mu chain C region,IGHM,28,65.5,49.306,452,0,323.31,5.1465E+11
P01876,Ig alpha-1 chain C region,IGHA1,14,54.4,37.654,353,0,323.31,23962000000
P01877,Ig alpha-2 chain C region,IGHA2,2,43.5,36.526,340,0,69.881,1954400000
P01880,Ig delta chain C region,IGHD,17,54.9,42.253,384,0,256.01,18837000000
P01911,"HLA class II histocompatibility antigen, DRB1-15 beta chain;HLA class II histocompatibility antigen, DRB1-13 beta chain;HLA class II histocompatibility antigen, DRB1-10 beta chain;HLA class II histocompatibility antigen, DR beta 5 chain;HLA class II histocompatibility antigen, DRB1-16 beta chain;HLA class II histocompatibility antigen, DRB1-4 beta chain;HLA class II histocompatibility antigen, DRB1-1 beta chain",HLA-DRB1;HLA-DRB5,3,12,29.966,266,0,5.9137,41091000
P02144,Myoglobin,MB,7,59.1,17.184,154,0,171.62,1825200000
P02452,Collagen alpha-1(I) chain,COL1A1,17,14.9,138.94,1464,0,136.1,6604400000
P02461,Collagen alpha-1(III) chain,COL3A1,13,11.1,138.56,1466,0,118.72,1372100000
P02462,Collagen alpha-1(IV) chain;Arresten;Collagen alpha-5(IV) chain,COL4A1;COL4A5,2,1.9,127.98,1318,0,3.1192,9610000
P02545,Prelamin-A/C;Lamin-A/C,LMNA,7,12.4,65.134,572,0,11.823,77871000
P02647,Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,APOA1,26,70.4,30.777,267,0,323.31,30274000000
P02649,Apolipoprotein E,APOE,27,72.9,36.154,317,0,266.28,23569000000
P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,FGA,36,48.2,94.972,866,0,323.31,1.7172E+11
P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,FGB,19,51.1,55.928,491,0,178.21,2781100000
P02679,Fibrinogen gamma chain,FGG,17,49,49.496,437,0,323.31,5214900000
P02741,C-reactive protein;C-reactive protein(1-205),CRP,10,33,25.038,224,0,96.573,97512000000
P02743,Serum amyloid P-component;Serum amyloid P-component(1-203),APCS,14,40.8,25.387,223,0,323.31,3.7752E+11
P02745,Complement C1q subcomponent subunit A,C1QA,2,13.5,26.016,245,0,4.3863,55948000
P02747,Complement C1q subcomponent subunit C,C1QC,3,15.9,25.773,245,0,19.737,325490000
P02748,Complement component C9;Complement component C9a;Complement component C9b,C9,23,44.4,63.173,559,0,323.31,6375000000
P02750,Leucine-rich alpha-2-glycoprotein,LRG1,17,63.4,38.177,347,0,323.31,4.5062E+11
P02751,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,7,3.9,240.51,2184,0,34.793,294410000
P02760,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,AMBP,16,52,38.999,352,0,323.31,17741000000
P02763,Alpha-1-acid glycoprotein 1,ORM1,8,54.7,23.511,201,0,193.73,58933000000
P02766,Transthyretin,TTR,10,69.4,15.887,147,0,323.31,24407000000
P02775,Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63),PPBP,8,45.3,13.894,128,0,114.43,82717000000
P02776,"Platelet factor 4;Platelet factor 4, short form",PF4,2,43.6,10.845,101,0,7.06,1454500000
P02787,Serotransferrin,TF,64,75.2,77.063,698,0,323.31,2.8546E+11
P02790,Hemopexin,HPX,3,10,51.676,462,0,30.094,28754000
P02792,Ferritin light chain,FTL,4,26.3,20.019,175,0,7.9623,204510000
P02818,Osteocalcin,BGLAP,2,27,10.962,100,0,7.1469,71754000
P03950,Angiogenin,ANG,7,49.7,16.55,147,0,32.763,1522200000
P03951,Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain,F11,42,73.1,70.108,625,0,323.31,1.0689E+11
P03952,Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,KLKB1,27,46.6,71.369,638,0,200.87,3641000000
P03971,Muellerian-inhibiting factor,AMH,2,5.2,59.194,560,0,28.771,17948000
P04003,C4b-binding protein alpha chain,C4BPA,2,5.5,67.033,597,0,5.9902,22110000
P04004,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,VTN,9,22.6,54.305,478,0,47.247,999180000
P04040,Catalase,CAT,30,59.2,59.755,527,0,323.31,13130000000
P04062,Glucosylceramidase,GBA,4,8.9,50.316,449,0,3.3796,28847000
P04066,Tissue alpha-L-fucosidase,FUCA1,20,51.1,53.688,466,0,321.23,8892100000
P04075,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,30,83.2,39.42,364,0,323.31,30726000000
P04080,Cystatin-B,CSTB,2,24.5,11.139,98,0,10.318,21781000
P04083,Annexin A1,ANXA1,11,36.7,38.714,346,0,81.443,20283000000
P04114,Apolipoprotein B-100;Apolipoprotein B-48,APOB,185,47.4,515.6,4563,0,323.31,42445000000
P04155,Trefoil factor 1,TFF1,2,29.8,9.1494,84,0,8.9785,137110000
P04156,Major prion protein,PRNP,3,12.6,26.885,246,0,70.327,153370000
P04179,"Superoxide dismutase [Mn], mitochondrial",SOD2,7,49.4,19.73,176,0,174.47,3376900000
P04180,Phosphatidylcholine-sterol acyltransferase,LCAT,20,56.8,49.577,440,0,323.31,45085000000
P04196,Histidine-rich glycoprotein,HRG,8,19.8,59.578,525,0,15.354,461390000
P04206,Ig kappa chain V-III region GOL,,3,77.1,11.83,109,0,24.355,443480000
P04207,Ig kappa chain V-III region CLL,,2,24.8,14.275,129,0,100.63,7247000000
P04208,Ig lambda chain V-I region WAH,,5,42.2,11.725,109,0,25.176,6024200000
P04209,Ig lambda chain V-II region NIG-84,,3,21.4,11.581,112,0,3.8071,13062000000
P04211,Ig lambda chain V region 4A,,3,21.4,12.38,117,0,11.25,8482200000
P04216,Thy-1 membrane glycoprotein,THY1,3,24.8,17.935,161,0,13.065,158630000
P04217,Alpha-1B-glycoprotein,A1BG,3,9.7,54.253,495,0,13.264,61849000
P04220,Ig mu heavy chain disease protein,,3,60.6,43.057,391,0,323.31,22708000000
P04222,"HLA class I histocompatibility antigen, Cw-3 alpha chain",HLA-C,2,35.5,40.86,366,0,29.831,94072000
P04275,von Willebrand factor;von Willebrand antigen 2,VWF,124,57,309.26,2813,0,323.31,70051000000
P04406,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,14,46,36.053,335,0,47.315,3549800000
P04424,Argininosuccinate lyase,ASL,9,23.7,51.657,464,0,43.909,406340000
P04431,Ig kappa chain V-I region Walker,,2,14,14.069,129,0,75.883,228590000
P04438,Ig heavy chain V-II region SESS,,4,25.2,16.323,147,0,2.869,733600000
P04745,Alpha-amylase 1,AMY1A,21,53.6,57.767,511,0,323.31,10997000000
P04746,Pancreatic alpha-amylase,AMY2A,3,53.6,57.706,511,0,34.901,1068300000
P04792,Heat shock protein beta-1,HSPB1,2,13.7,22.782,205,0,10.961,46228000
P05019,Insulin-like growth factor I,IGF1,5,30.7,15.177,137,0,105.44,10424000000
P05026,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,3,16.6,34.893,301,0,20.571,43402000
P05060,Secretogranin-1;PE-11;GAWK peptide;CCB peptide,CHGB,14,27.2,78.275,677,0,85.271,1006600000
P05062,Fructose-bisphosphate aldolase B,ALDOB,23,74.7,39.473,364,0,323.31,16896000000
P05067,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31,APP,17,30.8,84.52,746,0,101.81,2780000000
P05090,Apolipoprotein D,APOD,5,26.5,21.275,189,0,51.13,1449200000
P05109,"Protein S100-A8;Protein S100-A8, N-terminally processed",S100A8,14,72,10.834,93,0,57.089,23069000000
P05121,Plasminogen activator inhibitor 1,SERPINE1,12,33.8,45.059,402,0,100.87,585320000
P05154,Plasma serine protease inhibitor,SERPINA5,9,23.9,45.674,406,0,21.359,253980000
P05155,Plasma protease C1 inhibitor,SERPING1,16,34.6,55.154,500,0,199.82,8919500000
P05160,Coagulation factor XIII B chain,F13B,19,34.6,75.51,661,0,241.56,916820000
P05164,Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain,MPO,8,16.9,73.853,650,0,48.587,142380000
P05186,"Alkaline phosphatase, tissue-nonspecific isozyme",ALPL,12,28.8,57.304,524,0,72.883,622350000
P05362,Intercellular adhesion molecule 1,ICAM1,15,35,57.825,532,0,317.86,13481000000
P05387,60S acidic ribosomal protein P2,RPLP2,2,27,11.665,115,0,5.9715,33175000
P05413,"Fatty acid-binding protein, heart",FABP3,3,23.3,14.858,133,0,4.4409,115370000
P05451,Lithostathine-1-alpha,REG1A,6,44.6,18.731,166,0,81.225,1591700000
P05543,Thyroxine-binding globulin,SERPINA7,24,58.3,46.324,415,0,323.31,5.169E+11
P05546,Heparin cofactor 2,SERPIND1,36,70.1,57.07,499,0,323.31,8.1009E+11
P05556,Integrin beta-1,ITGB1,23,36.1,88.414,798,0,322.1,3113100000
P05997,Collagen alpha-2(V) chain,COL5A2,2,2.5,144.91,1499,0,12.224,49421000
P06132,Uroporphyrinogen decarboxylase,UROD,6,28.3,40.786,367,0,119.31,160880000
P06276,Cholinesterase;Carboxylic ester hydrolase,BCHE,21,38,68.417,602,0,323.31,78849000000
P06280,Alpha-galactosidase A,GLA,3,8.4,48.766,429,0,11.79,18857000
