Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P09234	P09234	1	1	1	U1 small nuclear ribonucleoprotein C	SNRPC	sp|P09234|RU1C_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1	1	1	1	1	7.5	7.5	7.5	17.394	159	159	0.00096993	6.2638	415090	1				223	4873	True	4931	5650	9004	9004		
P09382	P09382	4	4	4	Galectin-1	LGALS1	sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2	1	4	4	4	50.4	50.4	50.4	14.716	135	135	0	37.36	4343600	11				224	44;815;2838;2855	True;True;True;True	44;831;2878;2895	52;53;941;942;3279;3280;3298	79;80;81;82;1524;1525;1526;1527;5183;5184;5185;5209	80;1524;5183;5209		
P09429;B2RPK0;P26583;P23497	P09429;B2RPK0	8;4;1;1	8;4;1;1	8;4;1;1	High mobility group protein B1;Putative high mobility group protein B1-like 1	HMGB1;HMGB1P1	sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3;sp|B2RPK0|HGB1A_HUMAN Putative high mobility group protein B1-like 1 OS=Homo sapiens OX=9606 GN=HMGB1P1 PE=5 SV=1	4	8	8	8	38.6	38.6	38.6	24.893	215	215;211;209;879	0	56.229	8407800	16				225	1513;1639;1955;2162;2416;2636;3230;3767	True;True;True;True;True;True;True;True	1535;1665;1983;2192;2449;2671;3273;3274;3815	1717;1718;1892;2259;2498;2790;3046;3713;3714;4331;4332	2703;2704;2705;3006;3615;4004;4005;4435;4436;4844;4845;5840;5841;5842;6806;6807;6808	2704;3006;3615;4004;4435;4844;5842;6808	33	13
P09493	P09493	2	1	1	Tropomyosin alpha-1 chain	TPM1	sp|P09493|TPM1_HUMAN Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2	1	2	1	1	7	3.5	3.5	32.708	284	284	0.0011236	7.6336	845620	2				226	2271;3015	False;True	2302;3055	2621;3476	4195;4196;5489;5490	4196;5490		
P09496	P09496	2	2	2	Clathrin light chain A	CLTA	sp|P09496|CLCA_HUMAN Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1	1	2	2	2	6.9	6.9	6.9	27.076	248	248	0	11.315	589290	3				227	965;2548	True;True	983;2583	1117;2946	1792;1793;4685	1793;4685		
P09525	P09525	6	6	6	Annexin A4	ANXA4	sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4	1	6	6	6	26.6	26.6	26.6	35.882	319	319	0	44.173	1991000	5				228	30;1448;1652;1653;3335;3851	True;True;True;True;True;True	30;1470;1678;1679;3382;3899	34;1651;1908;1909;3844;4425	49;2612;3031;3032;6043;6941	49;2612;3031;3032;6043;6941		
P09651;Q32P51	P09651;Q32P51	7;6	7;6	3;3	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	HNRNPA1;HNRNPA1L2	sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;sp|Q32P51|RA1L2_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens OX=9606 GN=HNRNPA1L2 PE=2 SV=2	2	7	7	3	26.6	26.6	12.4	38.746	372	372;320	0	105.37	74738000	80				229	775;1523;1553;2082;2607;3877;4012	True;True;True;True;True;True;True	791;1546;1577;1578;2110;2111;2642;3926;3927;4063	893;1730;1731;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;2405;2406;3009;3010;3011;3012;3013;4453;4454;4455;4614	1423;1424;2722;2723;2724;2725;2726;2727;2792;2793;2794;2795;2796;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806;2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;3844;3845;3846;3847;3848;3849;3850;3851;4770;4771;4772;4773;4774;4775;4776;4777;4778;4779;4780;4781;4782;4783;4784;4785;4786;6980;6981;6982;6983;6984;6985;6986;7258	1423;2726;2803;3847;4773;6986;7258	0;1;34	46;72;137
P09661	P09661	1	1	1	U2 small nuclear ribonucleoprotein A	SNRPA1	sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2	1	1	1	1	3.5	3.5	3.5	28.415	255	255	0.00097276	6.2887	172230	1				230	3942	True	3992	4533	7112	7112		
P09874	P09874	14	14	14	Poly [ADP-ribose] polymerase 1	PARP1	sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	1	14	14	14	18.8	18.8	18.8	113.08	1014	1014	0	93.965	5263800	14				231	102;265;325;1434;1436;1637;3091;3159;3480;3804;3938;4320;4385;4520	True;True;True;True;True;True;True;True;True;True;True;True;True;True	103;270;331;1456;1458;1663;3131;3201;3528;3852;3988;4372;4437;4574	117;317;382;1636;1638;1890;3560;3634;4013;4375;4528;5008;5082;5240	180;519;625;2589;2592;3003;3004;5627;5734;6328;6329;6872;7103;7929;8051;8282	180;519;625;2589;2592;3003;5627;5734;6329;6872;7103;7929;8051;8282		
P09936	P09936	6	6	6	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1	sp|P09936|UCHL1_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2	1	6	6	6	45.3	45.3	45.3	24.824	223	223	0	45.529	11868000	13				232	1349;3211;3215;3296;3704;4680	True;True;True;True;True;True	1370;3253;3257;3343;3752;4736	1542;3690;3694;3799;3800;4261;5424	2439;2440;5805;5806;5807;5813;5814;5979;5980;5981;6695;6696;8557	2440;5806;5814;5980;6696;8557		
P09960	P09960	7	7	7	Leukotriene A-4 hydrolase	LTA4H	sp|P09960|LKHA4_HUMAN Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2	1	7	7	7	19.3	19.3	19.3	69.284	611	611	0	59.701	4359200	9				233	823;3049;3527;3794;3940;4002;4362	True;True;True;True;True;True;True	839;3089;3575;3842;3990;4053;4414	952;3517;4062;4363;4530;4604;5057;5058	1547;5559;6404;6857;7105;7241;8013;8014;8015	1547;5559;6404;6857;7105;7241;8015		
P09972	P09972	4	1	1	Fructose-bisphosphate aldolase C	ALDOC	sp|P09972|ALDOC_HUMAN Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2	1	4	1	1	15.9	6.3	6.3	39.455	364	364	0	13.591	873000	2				234	1819;4581;4922;4923	True;False;False;False	1846;4636;4980;4981	2095;2096;5314;5703;5704	3334;3335;8400;9089;9090;9091;9092;9093	3334;8400;9090;9092		
P0DMV9;P0DMV8	P0DMV9;P0DMV8	17;17	16;16	8;8	Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	HSPA1B;HSPA1A	sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1	2	17	16	8	40.7	38.7	19	70.051	641	641;641	0	122.15	19589000	31				235	5;133;298;339;494;908;1201;1232;1999;2142;2783;3029;3273;3453;3708;3893;4323	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False	5;135;303;346;504;925;1222;1253;2027;2171;2821;3069;3319;3501;3756;3943;4375	6;158;159;352;399;578;1048;1049;1379;1413;2312;2472;3213;3492;3764;3983;4265;4266;4473;5011	7;254;255;256;580;649;937;938;1686;1687;1688;1689;2189;2190;2247;3706;3707;3708;3963;3964;3965;5086;5521;5915;6283;6701;6702;6703;6704;6705;6706;7010;7935;7936;7937	7;255;580;649;938;1687;2190;2247;3707;3963;5086;5521;5915;6283;6705;7010;7936		
P0DP25;P0DP24;P0DP23;P27482	P0DP25;P0DP24;P0DP23;P27482	2;2;2;1	2;2;2;1	2;2;2;1	Calmodulin-like protein 3	CALML3	sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;sp|P27482|CALL3_HUMAN 	4	2	2	2	14.1	14.1	14.1	16.837	149	149;149;149;149	0	14.76	3787300	3				236	70;799	True;True	71;815	80;925	121;1501;1502	121;1502		
P0DPD6;P0DPD8	P0DPD6;P0DPD8	1;1	1;1	1;1			sp|P0DPD6|ECE2_HUMAN Endothelin-converting enzyme 2 OS=Homo sapiens OX=9606 GN=ECE2 PE=1 SV=1;sp|P0DPD8|EFCE2_HUMAN EEF1AKMT4-ECE2 readthrough transcript protein OS=Homo sapiens OX=9606 GN=EEF1AKMT4-ECE2 PE=1 SV=1	2	1	1	1	3.3	3.3	3.3	91.21	811	811;883	1	-2	76918	0	+			237	910	True	927	1051	1691	1691	35	508
P10155	P10155	4	4	4	60 kDa SS-A/Ro ribonucleoprotein	TROVE2	sp|P10155|RO60_HUMAN RNA-binding protein RO60 OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2	1	4	4	4	10.6	10.6	10.6	60.67	538	538	0	23.037	1168300	3				238	533;3129;4264;4299	True;True;True;True	544;3169;4316;4351	624;3602;4950;4985	1022;5687;7844;7893;7894	1022;5687;7844;7894		
P10321	P10321	4	4	2	HLA class I histocompatibility antigen, Cw-7 alpha chain	HLA-C	sp|P10321|HLAC_HUMAN HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3	1	4	4	2	17.5	17.5	7.1	40.648	366	366	0	33.048	2482500	6				239	292;421;558;1264	True;True;True;True	297;430;570;1285	346;493;652;1454	570;793;794;795;1069;2305	570;794;1069;2305		
P10412;P16402;P22492;Q02539	P10412;P16402	3;2;1;1	3;2;1;1	1;0;0;0	Histone H1.4;Histone H1.3	HIST1H1E;HIST1H1D	sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2	4	3	3	1	17.8	17.8	7.3	21.865	219	219;221;207;215	0	21.862	8984500	6				240	183;318;3849	True;True;True	187;324;3897	219;374;4423	349;350;611;612;613;6939	349;612;6939		
P10515	P10515	1	1	1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	DLAT	sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3	1	1	1	1	3.4	3.4	3.4	68.996	647	647	0.0028355	5.9425	439860	1				241	2910	True	2950	3358	5296	5296		
P10586;P23468;Q13332	P10586;P23468;Q13332	1;1;1	1;1;1	1;1;1	Receptor-type tyrosine-protein phosphatase F;Receptor-type tyrosine-protein phosphatase delta;Receptor-type tyrosine-protein phosphatase S	PTPRF;PTPRD;PTPRS	sp|P10586|PTPRF_HUMAN Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens OX=9606 GN=PTPRF PE=1 SV=2;sp|P23468|PTPRD_HUMAN Receptor-type tyrosine-protein phosphatase delta OS=Homo sapiens OX=9606 GN=PTPRD PE=1 SV=2;sp|Q13332|PTPRS_HUMAN Receptor-t	3	1	1	1	1	1	1	212.88	1907	1907;1912;1948	0.001073	7.0029	300340	1				242	5080	True	5141	5882	9402	9402		
P10599	P10599	8	8	8	Thioredoxin	TXN	sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	1	8	8	8	88.6	88.6	88.6	11.737	105	105	0	62.241	12106000	24				243	458;940;2549;3056;3161;4102;4526;5095	True;True;True;True;True;True;True;True	467;958;2584;3096;3203;4154;4580;5156	537;1089;2947;3524;3636;3637;4725;5246;5898;5899;5900	875;876;1750;1751;4686;4687;5569;5570;5571;5572;5573;5737;5738;5739;7437;7438;7439;8292;9425;9426;9427;9428;9429;9430	876;1751;4686;5570;5739;7438;8292;9430		
P10620	P10620	1	1	1	Microsomal glutathione S-transferase 1	MGST1	sp|P10620|MGST1_HUMAN Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1 PE=1 SV=1	1	1	1	1	10.3	10.3	10.3	17.598	155	155	0.0010081	6.5462	315000	1				244	2373	True	2406	2734	4362	4362		
P10768	P10768	3	3	3	S-formylglutathione hydrolase	ESD	sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2	1	3	3	3	18.8	18.8	18.8	31.462	282	282	0	19.803	1320500	4				245	123;3266;4067	True;True;True	124;3312;4118	141;3757;4681	215;5906;7358;7359	215;5906;7359		
P10809	P10809	26	26	26	60 kDa heat shock protein, mitochondrial	HSPD1	sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1	26	26	26	65.8	65.8	65.8	61.054	573	573	0	269.81	193780000	79				246	33;229;434;445;516;657;917;1806;1807;1848;2113;2216;2242;2267;2295;2439;2930;3036;3271;3695;4105;4106;4232;4343;4529;4744	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	33;233;443;454;526;670;934;1833;1834;1875;2142;2247;2273;2298;2327;2472;2970;3076;3317;3743;4157;4158;4284;4395;4583;4801	37;38;273;274;507;508;520;605;762;763;1058;2078;2079;2080;2081;2134;2439;2558;2559;2589;2616;2617;2647;2813;2814;2815;2816;3378;3500;3501;3762;4251;4728;4729;4730;4731;4732;4910;5033;5250;5499	52;53;54;440;441;826;827;828;829;849;850;990;1228;1229;1230;1231;1232;1699;3290;3291;3292;3293;3294;3295;3396;3903;4099;4100;4101;4143;4184;4185;4186;4187;4188;4189;4237;4238;4239;4472;4473;4474;4475;4476;4477;4478;5329;5330;5532;5533;5534;5911;5912;5913;6683;7443;7444;7445;7446;7447;7448;7449;7450;7451;7452;7453;7454;7455;7456;7457;7458;7770;7771;7772;7971;7972;7973;8299;8725	53;441;827;850;990;1228;1699;3291;3295;3396;3903;4101;4143;4185;4238;4477;5330;5534;5912;6683;7455;7458;7771;7972;8299;8725		
P11021	P11021	22	21	21	78 kDa glucose-regulated protein	HSPA5	sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	1	22	21	21	41.1	41.1	41.1	72.332	654	654	0	180.77	31480000	46				247	181;493;668;964;1068;1203;2076;2083;2140;2141;2321;2444;3073;3449;3808;3992;4148;4207;4368;4596;4661;4751	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True	185;503;681;982;1086;1224;2104;2112;2169;2170;2354;2477;3113;3497;3856;4043;4200;4259;4420;4651;4717;4808	216;217;577;774;1116;1225;1381;2397;2398;2399;2407;2408;2469;2470;2471;2677;2824;3541;3978;4380;4590;4591;4788;4789;4881;5064;5329;5403;5506	345;346;347;935;936;1245;1790;1791;1945;2194;2195;2196;3831;3832;3833;3834;3835;3852;3853;3957;3958;3959;3960;3961;3962;4281;4282;4489;5596;5597;5598;6273;6274;6275;6877;6878;6879;7215;7216;7217;7545;7546;7547;7548;7726;7727;8022;8023;8425;8529;8735;8736;8737	346;936;1245;1791;1945;2195;3831;3852;3958;3962;4281;4489;5597;6274;6878;7216;7548;7727;8023;8425;8529;8737		
P11142;P54652	P11142	25;6	25;6	22;3	Heat shock cognate 71 kDa protein	HSPA8	sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	2	25	25	22	61.3	61.3	55.4	70.897	646	646;639	0	231.61	82747000	101				248	492;676;907;1174;1202;1702;1773;1810;1998;2140;2782;3079;3251;3454;3461;3709;3755;3844;3868;3894;3993;4027;4241;4323;4356	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	502;689;924;1193;1223;1728;1800;1837;2026;2169;2820;3119;3296;3502;3509;3757;3803;3892;3916;3917;3944;4044;4078;4293;4375;4408	576;782;1047;1342;1380;1966;2043;2084;2311;2469;2470;3212;3547;3738;3739;3984;3992;4267;4268;4316;4317;4417;4443;4444;4474;4475;4592;4593;4631;4632;4919;4920;5011;5050;5051	933;934;1255;1684;1685;2120;2121;2122;2191;2192;2193;3116;3117;3230;3300;3301;3302;3303;3304;3305;3306;3307;3308;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;3319;3320;3703;3704;3705;3957;3958;3959;3960;3961;5084;5085;5606;5607;5608;5876;5877;5878;5879;5880;6284;6285;6286;6294;6295;6707;6708;6709;6710;6711;6712;6713;6714;6781;6782;6783;6930;6962;6963;6964;6965;7011;7012;7013;7014;7218;7219;7220;7221;7222;7223;7280;7281;7282;7784;7785;7786;7787;7788;7789;7935;7936;7937;8001;8002;8003;8004;8005;8006	934;1255;1685;2121;2192;3116;3230;3300;3705;3958;5085;5608;5880;6286;6294;6712;6781;6930;6963;7013;7219;7282;7787;7936;8003	36	122
P11166	P11166	1	1	1	Solute carrier family 2, facilitated glucose transporter member 1	SLC2A1	sp|P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2	1	1	1	1	1.6	1.6	1.6	54.083	492	492	0.0010695	6.9871	1090200	3				249	4753	True	4810	5509	8744;8745;8746	8744		
P11177	P11177	1	1	1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHB	sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3	1	1	1	1	4.5	4.5	4.5	39.233	359	359	0.0010132	6.5791	527350	0				250	4514	True	4568	5233	8269	8269		
P11279	P11279	1	1	1	Lysosome-associated membrane glycoprotein 1	LAMP1	sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3	1	1	1	1	2.2	2.2	2.2	44.882	417	417	0.0088574	5.5511	144060	1				251	4337	True	4389	5027	7962	7962		
P11310	P11310	1	1	1	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1	1	1	1	1	2.4	2.4	2.4	46.588	421	421	1	-2	32004	0	+			252	4468	True	4520	5174	8185	8185	37	335
P11387;Q969P6	P11387	4;1	4;1	4;1	DNA topoisomerase 1	TOP1	sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2	2	4	4	4	8	8	8	90.725	765	765;601	0	22.909	1992000	4				253	359;3872;4465;4905	True;True;True;True	366;3921;4517;4963	421;4448;5171;5685	684;6972;8178;9061	684;6972;8178;9061		
P11388;Q02880	P11388;Q02880	4;2	4;2	4;2	DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta	TOP2A;TOP2B	sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3;sp|Q02880|TOP2B_HUMAN DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3	2	4	4	4	3.3	3.3	3.3	174.38	1531	1531;1626	0	30.627	820410	3				254	980;1273;2090;3219	True;True;True;True	998;1294;2119;3261	1135;1463;2415;3699	1817;2321;3861;5820	1817;2321;3861;5820		
P11413	P11413	16	16	16	Glucose-6-phosphate 1-dehydrogenase	G6PD	sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4	1	16	16	16	40	40	40	59.256	515	515	0	119.25	10653000	22				255	446;669;1582;1724;1850;2094;2437;2552;2631;2684;2704;2846;2901;2991;3341;3474	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	455;682;1608;1751;1877;2123;2470;2587;2666;2721;2741;2886;2941;3031;3388;3522	521;775;1817;1992;2136;2419;2811;2950;3039;3040;3102;3126;3288;3349;3447;3850;4007	851;1246;2875;2876;3157;3398;3867;4468;4691;4833;4834;4835;4924;4925;4967;5195;5283;5284;5440;6051;6318;6319	851;1246;2876;3157;3398;3867;4468;4691;4833;4924;4967;5195;5283;5440;6051;6319		
P11586	P11586	16	16	16	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	MTHFD1	sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4	1	16	16	16	21.4	21.4	21.4	101.53	935	935	0	102.61	6811600	21				256	28;419;1491;1520;1811;2313;2476;2525;3143;4127;4129;4290;4625;4781;4875;5121	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	28;428;1513;1543;1838;2345;2509;2560;3183;4179;4181;4342;4680;4838;4933;5182	32;491;1695;1727;2085;2667;2860;2922;3616;4758;4760;4976;5360;5542;5652;5933	45;791;2674;2718;3321;4269;4533;4534;4648;5705;5706;7498;7499;7502;7503;7882;8468;8800;8801;9007;9008;9481	45;791;2674;2718;3321;4269;4533;4648;5706;7499;7502;7882;8468;8801;9008;9481		
P60891;P21108;P11908	P60891;P21108;P11908	1;1;1	1;1;1	1;1;1	Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase 3;Ribose-phosphate pyrophosphokinase 2	PRPS1;PRPS1L1;PRPS2	sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;sp|P21108|PRPS3_HUMAN Ribose-phosphate pyrophosphokinase 3 OS=Homo sapiens OX=9606 GN=PRPS1L1 PE=1 SV=2;sp|P11908|PRPS2_HUMAN Ribose-phosphate pyrophospho	3	1	1	1	5	5	5	34.834	318	318;318;318	0.0088889	5.5627	429840	1				257	4175	True	4227	4845	7663	7663		
P11940;Q9H361;Q4VXU2;Q5JQF8	P11940;Q9H361	13;7;4;1	13;7;4;1	8;5;2;1	Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	PABPC1;PABPC3	sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;sp|Q9H361|PABP3_HUMAN Polyadenylate-binding protein 3 OS=Homo sapiens OX=9606 GN=PABPC3 PE=1 SV=2	4	13	13	8	24.7	24.7	14.2	70.67	636	636;631;614;200	0	91.117	8872500	19				258	196;877;1365;1545;1548;1844;2311;2328;3317;3363;3552;3930;5071	True;True;True;True;True;True;True;True;True;True;True;True;True	200;894;1386;1569;1572;1871;2343;2361;3364;3410;3600;3980;5132	234;1009;1559;1760;1763;2129;2665;2684;3823;3875;4089;4519;5873	370;371;1628;2465;2772;2779;2780;2781;3387;3388;4266;4290;6014;6087;6441;7091;7092;9390;9391	370;1628;2465;2772;2780;3388;4266;4290;6014;6087;6441;7091;9390	38	596
P12004	P12004	4	4	4	Proliferating cell nuclear antigen	PCNA	sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1	1	4	4	4	32.2	32.2	32.2	28.768	261	261	0	37.94	2833000	6				259	80;646;2803;2951	True;True;True;True	81;658;2841;2991	91;748;3234;3401	140;141;1202;5112;5367;5368	140;1202;5112;5367		
P12236;P12235	P12236;P12235	7;5	7;5	4;3	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed;ADP/ATP translocase 1	SLC25A6;SLC25A4	sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4;sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4	2	7	7	4	32.2	32.2	21.8	32.866	298	298;298	0	55.967	9851800	13				260	40;544;1036;1441;2776;4956;4963	True;True;True;True;True;True;True	40;556;1054;1463;2813;5014;5021	47;637;1191;1644;3204;3205;5741;5742;5750	70;1044;1896;2602;2603;5073;5074;5075;9180;9181;9182;9183;9192;9193	70;1044;1896;2603;5074;9183;9193		
P12268	P12268	3	3	3	Inosine-5-monophosphate dehydrogenase 2	IMPDH2	sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2	1	3	3	3	8.6	8.6	8.6	55.804	514	514	0	21.519	3980100	7				261	581;2869;3010	True;True;True	593;2909;3050	677;678;3314;3315;3471	1103;1104;5233;5234;5235;5236;5479	1103;5233;5479		
P12270	P12270	1	1	1	Nucleoprotein TPR	TPR	sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1	1	1	1	0.4	0.4	0.4	267.29	2363	2363	0.00098912	6.3931	333230	1				262	4624	True	4679	5359	8467	8467		
P12277	P12277	15	15	15	Creatine kinase B-type	CKB	sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1	1	15	15	15	68	68	68	42.644	381	381	0	145.29	40486000	41				263	625;772;1172;1317;1531;1768;2502;2584;2757;3907;3954;4044;4126;4156;4653	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	637;787;788;1191;1338;1554;1795;2536;2619;2794;3957;4004;4005;4095;4178;4208;4709	726;889;890;1340;1508;1742;2038;2896;2984;3183;4491;4492;4546;4547;4548;4652;4653;4654;4757;4797;4798;5394	1171;1416;1417;1418;1419;2117;2118;2384;2742;3222;3223;4599;4600;4733;4734;4735;5042;5043;5044;7049;7050;7051;7133;7134;7135;7136;7310;7311;7312;7313;7314;7315;7496;7497;7561;7562;7563;7564;7565;8515;8516	1171;1418;2118;2384;2742;3223;4600;4735;5043;7051;7136;7311;7497;7565;8515	39;40	179;272
