Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1,Reporter intensity 2,Reporter intensity 3,Reporter intensity 4,Reporter intensity 5,Reporter intensity 6,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
B0BN68,Mitochondrial ribosomal protein S9 (Mrps9 protein),Mrps9 rCG_22229,8,24.6,45.01,390,0.0,35.733,254490.0,232050.0,270330.0,232420.0,249430.0,333530.0,466270000.0,1009,1776;18392;26389;27418;32045;32376;32656;37429,9280;9281;9282;9283;9284;9285;9286;9287;96661;136286;141307;165333;166826;166827;166828;168280;168281;168282;168283;168284;190224;190225;190226;190227,9821
B0BN70,Small integral membrane protein 7,Smim7,2,25.3,8.5832,75,0.0002281,3.3304,35042.0,34766.0,41253.0,35323.0,36941.0,48172.0,92380000.0,1010,7665;11313,40456;40457;40458;59577,42761
B0BN83,Armadillo repeat-containing protein 1,Armc1 Armc1_predicted rCG_41576,7,25.2,31.204,282,0.0,29.027,74063.0,68621.0,67651.0,69420.0,76398.0,79932.0,366900000.0,1011,890;25904;29252;30384;39980;40248;40249,4546;4547;4548;4549;133936;157104;203675;203676;203677;205300;205301;205302;205303;205304,4825
B0BN85,Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog),Sugt1,14,50.6,38.09,336,0.0,49.685,546650.0,556330.0,590960.0,535020.0,643230.0,708850.0,1003600000.0,1012,10;2255;4772;8036;15930;20925;24167;24538;24563;24930;24931;26148;35259;35971,12;13;11776;11777;11778;24811;24812;24813;42400;83272;110361;125321;125322;125323;125324;127202;127203;127204;127205;127316;127317;127318;127319;127320;127321;127322;129079;129080;129081;135139;135140;179459;179460;183074;183075;183076;183077;183078;183079,13
B0BN86,"Transmembrane protein 11, mitochondrial",Tmem11,4,17.4,21.341,190,0.00028377,8.1404,242780.0,243040.0,251220.0,231170.0,249020.0,291330.0,574480000.0,1013,19746;25259;45385;45890,103862;103863;130753;232790;232791;232792;235315;235316;235317;235318;235319;235320,110149
B0BN93,26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5),Psmd13,20,57.4,42.817,376,0.0,181.24,2599300.0,2590600.0,2643700.0,2429100.0,2665300.0,2962300.0,7874999999.999999,1015,2578;6724;7329;7886;11955;13700;14565;17160;24507;24613;26592;28515;33046;33100;33778;34706;36788;37697;41232;42187,13361;13362;13363;13364;35528;35529;35530;35531;35532;35533;35534;38884;38885;41615;41616;41617;62497;62498;62499;71896;71897;71898;71899;71900;76139;89754;89755;89756;89757;89758;89759;89760;89761;127025;127026;127027;127028;127029;127030;127544;127545;127546;137404;137405;146852;146853;146854;146855;146856;146857;146858;146859;169927;169928;169929;169930;169931;169932;169933;170130;170131;170132;170133;173030;173031;173032;173033;173034;173035;173036;173037;176812;176813;176814;176815;176816;176817;176818;176819;176820;176821;186981;186982;186983;186984;186985;186986;186987;186988;191650;191651;191652;210701;210702;210703;210704;216069;216070;216071;216072;216073,14097
B0BN94,Protein FAM136A,Fam136a,2,21.7,15.625,138,0.00027886,7.7677,96599.0,106250.0,107060.0,95043.0,105210.0,136540.0,96043000.0,1016,4800;11720,24923;61317;61318;61319,26343
B0BNA5,Coactosin-like protein,Cotl1 Clp,10,74.6,15.932,142,0.0,49.388,661330.0,698930.0,820910.0,601360.0,684600.0,818620.0,3543499999.9999995,1018,1485;5291;9444;10467;12490;12794;14385;19290;22131;44849,7688;7689;7690;7691;27384;27385;27386;27387;27388;27389;27390;27391;27392;49941;49942;55267;55268;55269;55270;55271;65610;65611;67309;67310;67311;67312;67313;67314;75149;75150;75151;101337;101338;101339;116283;116284;116285;229867;229868;229869;229870;229871,8131
B0BNA7,Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (eIF-3-beta) (eIF3 p36),Eif3i Eif3s2,14,47.7,36.46,325,0.0,36.178,1176900.0,1166300.0,1324100.0,1134900.0,1181200.0,1524700.0,2014500000.0,1019,6900;7092;7135;9495;13221;18858;20837;24801;28421;29090;32721;35378;37588;37848,36716;36717;37767;37768;37769;37770;38005;50169;50170;50171;50172;50173;50174;50175;50176;50177;50178;50179;50180;69576;69577;69578;69579;98941;98942;109933;128477;128478;128479;146491;146492;146493;146494;146495;146496;146497;150088;150089;150090;150091;150092;168538;180185;180186;180187;180188;191039;191040;191041;191042;191043;191044;191045;191046;192444;192445;192446;192447;192448,38807
B0BNA9,CCR4-NOT transcription complex subunit 11,Cnot11,2,7.5,54.835,504,0.00025297,5.2676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,3369;38945,17705;198546,18685
B0BNB5,LOC683983 protein (Nucleoporin 43),Nup43 LOC683983,3,5.8,41.806,378,0.0013324,2.9367,19088.0,21105.0,21287.0,18065.0,18788.0,22989.0,58983000.0,1021,28836;39412;42922,200911;220142;220143,212970
B0BNB9,"HtrA serine peptidase 2 (RCG56292, isoform CRA_d)",Htra2 rCG_56292,10,27.1,49.094,458,0.0,33.896,366580.0,352500.0,362860.0,355090.0,363940.0,429490.0,927310000.0,1022,1549;11286;11311;16752;26894;29071;31160;34068;36750;39623,8029;8030;8031;59358;59359;59360;59568;59569;59570;87795;87796;87797;87798;87799;138905;138906;138907;149975;149976;149977;161124;161125;174258;186802;186803;186804;186805;186806;186807;186808;186809;186810;186811;201858;201859;201860,8487
B0BNC9,Quinone oxidoreductase-like protein 2 (EC 1.-.-.-),,9,41.4,37.548,350,0.0,71.108,557610.0,569870.0,582150.0,517690.0,600000.0,659390.0,1117300000.0,1023,473;14833;17039;20860;28163;31738;33197;41825;42686,2228;2229;2230;2231;2232;77575;77576;77577;77578;77579;89225;89226;89227;89228;110045;110046;110047;110048;110049;110050;110051;110052;145040;163947;170559;214063;219026,2379
B0BND5,"RNA, U3 small nucleolar interacting protein 2 (Predicted), isoform CRA_a (Ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (Yeast)) (Ribosomal RNA-processing 9, U3 small nucleolar RNA-binding protein)",Rrp9 Rnu3ip2_predicted rCG_25833,3,9.0,52.502,478,0.0,10.849,25539.0,24284.0,24449.0,22387.0,25345.0,28812.0,22935000.0,1024,2057;10109;23227,10723;53622;121036,11337
B0BNE2,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog)",Polr2e,3,18.6,24.57,210,0.0,11.996,50746.0,47649.0,55765.0,46852.0,47681.0,70742.0,153810000.0,1025,3115;9257;17927,16392;16393;16394;16395;48823;48824;94208;94209;94210;94211;94212;94213,17311
B0BNE3,Trafficking protein particle complex subunit 5,Trappc5 RGD1563971_predicted rCG_58957,3,17.6,20.795,188,0.0002656,6.3966,67942.0,64690.0,72346.0,62132.0,69205.0,79060.0,209790000.0,1026,8249;11281;42162,43629;43630;59347;59348;215906;215907;215908,46110
B0BNE5,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D),Esd,15,80.9,31.363,282,0.0,209.09,2291500.0,2307300.0,2226300.0,2113800.0,2223500.0,2466300.0,18728000000.0,1027,1327;4288;4519;4739;5267;12784;15204;21868;22571;27045;29516;35333;37384;37585;41393,6792;6793;6794;6795;6796;6797;6798;6799;6800;6801;6802;6803;22392;22393;22394;22395;22396;22397;22398;22399;23629;23630;23631;23632;23633;23634;23635;23636;24651;24652;24653;24654;24655;24656;24657;27250;27251;27252;27253;27254;67245;67246;67247;67248;67249;67250;67251;67252;67253;67254;67255;67256;67257;67258;67259;79400;79401;115179;115180;115181;115182;118358;118359;118360;118361;118362;139562;139563;139564;139565;139566;139567;139568;152750;152751;152752;152753;152754;152755;152756;152757;152758;152759;152760;152761;152762;152763;152764;152765;179869;179870;179871;179872;179873;179874;179875;179876;179877;179878;179879;179880;179881;179882;179883;179884;179885;179886;179887;189876;189877;189878;189879;189880;189881;191026;191027;191028;191029;191030;191031;191032;191033;211636;211637;211638;211639;211640;211641,7161
B0BNF1,Septin-8,Septin8 Sept8,2,4.8,51.251,442,0.0,11.933,11230.0,10972.0,10468.0,10217.0,10253.0,13237.0,64511000.0,1028,10469;21250;33837;35929,55273;55274;55275;55276;112079;112080;173312;173313;173314;182863,58467
B0BNF9,2-Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX) (Glyoxylate oxidase) (EC 1.2.3.5),Hao1,26,75.4,40.968,370,0.0,262.41,4327300.0,3782500.0,3544700.0,4085300.0,3528000.0,3587200.0,39647000000.0,1029,608;1139;1836;2096;3973;12455;13602;14981;16642;17703;17704;18266;22409;22900;23792;27969;28062;29945;30844;31282;31742;32842;33874;35322;37461;41330,3012;3013;3014;3015;3016;3017;3018;3019;5742;9598;9599;9600;9601;9602;9603;9604;9605;9606;9607;9608;9609;10927;10928;10929;10930;10931;10932;10933;10934;20876;65475;71428;71429;71430;71431;71432;78327;78328;78329;78330;78331;78332;78333;78334;78335;78336;78337;87201;87202;87203;87204;87205;87206;87207;87208;92769;92770;92771;92772;92773;92774;92775;92776;92777;92778;92779;92780;92781;92782;92783;92784;92785;92786;92787;92788;92789;96001;96002;96003;96004;96005;96006;96007;96008;96009;96010;117575;117576;117577;117578;119663;123418;123419;123420;123421;123422;123423;123424;123425;123426;123427;123428;123429;123430;123431;123432;123433;123434;123435;123436;123437;143859;143860;144427;144428;144429;144430;144431;144432;144433;144434;144435;144436;144437;144438;144439;155110;155111;155112;155113;155114;155115;155116;155117;155118;155119;155120;155121;155122;155123;155124;155125;155126;155127;155128;155129;155130;159560;159561;161726;161727;161728;161729;161730;161731;161732;161733;161734;161735;163957;163958;163959;163960;163961;163962;169071;169072;169073;169074;169075;169076;169077;169078;169079;169080;169081;173472;173473;173474;173475;179821;179822;179823;179824;179825;179826;179827;179828;179829;179830;179831;179832;179833;190373;190374;190375;190376;190377;190378;211307;211308;211309;211310;211311;211312;211313,3217
B0BNG0,ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35),Emc2 Ttc35,10,46.1,34.869,297,0.0,36.643,529830.0,539720.0,497440.0,499100.0,491320.0,567890.0,1821700000.0,1030,3920;4354;5317;10735;20565;23487;31062;44702;44814;46092,20565;22778;22779;22780;27553;27554;56629;108284;108285;122089;122090;160615;160616;160617;160618;160619;160620;228905;228906;228907;228908;229708;229709;229710;236441;236442;236443;236444;236445;236446;236447;236448,21693
B0BNG2,Transmembrane 6 superfamily member 2,Tm6sf2,4,10.8,42.574,378,0.0,34.804,137440.0,140490.0,126390.0,132290.0,118040.0,134960.0,493260000.0,1031,350;9534;19668;19669,1746;1747;1748;1749;1750;50419;103462;103463;103464;103465;103466;103467;103468,1864
B0BNJ4,"ETHE1, persulfide dioxygenase (Ethylmalonic encephalopathy 1) (Ethylmalonic encephalopathy 1 (Predicted))",Ethe1 Ethe1_predicted rCG_54549,9,48.0,27.676,254,0.0,171.84,897990.0,931300.0,915490.0,849320.0,808090.0,926590.0,6373399999.999999,1032,8374;19702;27485;27888;34773;36097;37936;39232;42628,44258;44259;44260;44261;44262;44263;44264;44265;103594;103595;103596;103597;103598;141596;141597;141598;141599;141600;141601;141602;141603;141604;141605;143475;143476;143477;143478;143479;177190;177191;177192;183717;183718;183719;183720;183721;192965;192966;192967;192968;192969;192970;192971;192972;192973;192974;192975;192976;199904;218528;218529;218530;218531;218532;218533;218534;218535,46799
B0BNK1,"RAB5C, member RAS oncogene family (RCG32615, isoform CRA_a) (Rab5c protein)",Rab5c rCG_32615,9,37.5,23.425,216,0.0,99.223,694830.0,688010.0,765190.0,661420.0,676180.0,809530.0,3320499999.9999995,1033,3929;13135;14823;17546;28215;29883;31816;32111;37736,20598;20599;20600;20601;20602;20603;20604;20605;20606;20607;20608;69087;69088;69089;69090;69091;69092;69093;69094;69095;69096;77524;77525;77526;77527;77528;91928;91929;91930;91931;91932;91933;91934;91935;145290;145291;145292;145293;145294;145295;145296;145297;145298;145299;145300;145301;154790;154791;154792;154793;154794;164285;165647;165648;165649;165650;191835;191836;191837;191838;191839;191840;191841;191842,21728
B0BNM1,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase),Naxe Aibp Apoa1bp,8,28.0,30.89,282,0.0,42.735,522340.0,546310.0,556210.0,505450.0,549490.0,628140.0,2547100000.0,1034,4351;14484;16694;23515;24849;34674;45304;45860,22771;22772;75749;75750;75751;87465;87466;87467;87468;87469;87470;87471;87472;87473;87474;87475;87476;87477;122180;122181;128675;128676;128677;128678;128679;128680;176652;232324;232325;232326;232327;235203;235204;235205;235206;235207;235208;235209;235210;235211,24036
B0BNM6,Adaptor-related protein complex 3 subunit sigma 2 (LOC683402 protein),Ap3s2 LOC683402,2,10.4,22.017,193,0.00023861,4.0745,47558.0,51009.0,63556.0,49287.0,59309.0,66769.0,82850000.0,1035,30265;35026,156570;156571;178476;178477;178478,165824
B0BNN3,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I),Ca1 Car1,7,28.0,28.299,261,0.0,17.304,294360.0,317030.0,334390.0,269200.0,399830.0,436370.0,596610000.0,1036,696;3289;11687;30096;41665;42161;46001,3471;3472;3473;3474;17297;17298;61145;61146;155764;155765;213248;213249;213250;213251;213252;213253;215904;215905;235970;235971;235972;235973;235974;235975,3693
B0K014,D-aminoacyl-tRNA deacylase (EC 3.1.1.96),Dtd1,2,11.0,23.394,209,0.0,8.4126,37376.0,37645.0,38319.0,37353.0,42356.0,46297.0,36572000.0,1038,3559;41383,18635;18636;211588,19668
B0K017,ADP-ribosylhydrolase like 2 (ADP-ribosylhydrolase like 2 (Predicted)) (ADP-ribosylserine hydrolase),Adprs Adprhl2 Adprhl2_predicted rCG_30707,9,27.0,39.375,370,0.0,27.772,160850.0,152130.0,174600.0,152740.0,158060.0,193740.0,668540000.0,1040,1;4709;7986;8303;10580;17883;38219;40570;41573,24510;42180;42181;43880;43881;43882;55838;55839;93952;93953;93954;194422;194423;194424;207099;207100;207101;207102;212673;212674,25890
B0K019,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),Bag1,3,9.2,40.159,358,0.00027601,7.5495,77679.0,80280.0,78491.0,74586.0,76011.0,95419.0,139490000.0,1041,10845;27264;36382,57118;57119;57120;57121;57122;140534;140535;185071;185072,60385
B0K020,CDGSH iron-sulfur domain-containing protein 1 (MitoNEET),Cisd1,6,52.8,12.097,108,0.0,53.544,1218900.0,1246500.0,1288000.0,1137700.0,1344200.0,1517100.0,13634000000.0,1042,2758;13984;16510;18558;22238;43768,14547;14548;14549;14550;14551;14552;14553;14554;14555;14556;14557;14558;14559;14560;14561;14562;73356;73357;73358;73359;73360;86385;86386;86387;86388;86389;97450;97451;97452;97453;97454;97455;97456;97457;97458;97459;116707;116708;116709;116710;224515;224516;224517;224518;224519;224520;224521;224522,15359
B0K025,Oligosaccharyltransferase complex subunit OSTC,Ostc Dc2,2,13.4,16.815,149,0.0002574,5.6612,172760.0,161870.0,185790.0,163910.0,176080.0,233460.0,2175300000.0,1043,36317;42895,184764;184765;184766;184767;220000;220001;220002;220003;220004;220005;220006;220007;220008;220009;220010,195744
B0K026,LETM1 domain-containing 1 (Letmd1 protein),Letmd1,9,29.1,43.121,371,0.0,22.72,315450.0,304080.0,307620.0,286830.0,294430.0,364900.0,927400000.0,1044,2567;3303;5200;13449;25315;33262;35580;35599;44323,13306;17398;17399;17400;17401;17402;17403;17404;17405;17406;26933;26934;70745;70746;70747;131028;170778;170779;170780;181256;181257;181258;181343;227176;227177;227178;227179;227180,14036
B0K034,D-aminoacyl-tRNA deacylase (EC 3.1.1.96),Dtd2 RGD1309138 RGD1309138_predicted rCG_61368,4,28.6,18.453,168,0.0,11.722,116090.0,104770.0,106040.0,103460.0,101880.0,121680.0,305970000.0,1045,14804;24324;27301;27462,77451;77452;77453;126033;126034;140764;140765;141502;141503;141504;141505,82015
B0LT89,Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (MST3b) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 35 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)],Stk24 Mst3 Stk3,5,10.0,47.989,431,0.0,12.451,59417.0,60955.0,65923.0,58402.0,57556.0,73361.0,207070000.0,1046,775;23595;30744;33377;36600,4017;122500;122501;122502;158941;158942;171169;186067,4267
B1H250,Glycine N-acyltransferase-like protein (EC 2.3.1.-),Glyatl1 RGD1564894,15,57.4,33.986,296,0.0,151.76,2916600.0,2930800.0,2941400.0,2700500.0,2965700.0,3372500.0,20662000000.0,1047,1785;3129;4611;14545;17938;23499;27640;28260;28261;28262;28686;32161;32620;34087;36961;44069;45565,9323;9324;9325;9326;9327;9328;9329;9330;9331;9332;9333;9334;9335;16476;16477;16478;16479;16480;16481;16482;16483;16484;16485;16486;16487;24094;24095;24096;24097;24098;24099;24100;24101;24102;24103;76060;94276;94277;94278;94279;94280;94281;94282;94283;94284;94285;94286;122127;122128;122129;122130;122131;122132;122133;142286;142287;142288;142289;142290;142291;145558;145559;145560;145561;145562;145563;145564;145565;145566;145567;145568;145569;145570;145571;145572;145573;145574;145575;145576;145577;145578;145579;145580;145581;145582;145583;147748;147749;147750;147751;147752;147753;147754;147755;147756;147757;147758;147759;147760;165891;165892;165893;165894;165895;165896;165897;165898;165899;165900;168042;168043;168044;168045;168046;168047;168048;168049;168050;168051;168052;174318;174319;174320;174321;174322;187777;187778;187779;187780;187781;187782;187783;187784;187785;187786;187787;187788;187789;187790;187791;187792;187793;187794;187795;187796;187797;187798;187799;187800;187801;187802;187803;187804;187805;225994;225995;225996;225997;225998;225999;226000;226001;226002;226003;233725;233726,9866
B1H261,Peroxisomal leader peptide-processing protease (EC 3.4.21.-),Tysnd1 Tysnd1_predicted rCG_22034,6,16.4,58.986,567,0.0,46.582,71370.0,69453.0,67814.0,69943.0,79057.0,84115.0,243950000.0,1049,4679;10426;17665;31580;35344;38538,24378;55062;92522;92523;92524;92525;163283;180011;180012;196303;196304;196305;196306,25755
B1H264,"TBC1 domain family, member 17 (TBC1 domain family, member 17 (Predicted))",Tbc1d17 Tbc1d17_predicted rCG_54149,2,3.9,72.795,646,0.00025497,5.4342,4153.1,4672.8,4667.1,3967.4,4237.2,5041.3,13756000.0,1050,18674;45529,98025;98026;98027;233511,103946
B1H267,Sorting nexin-5,Snx5,16,33.9,46.793,404,0.0,95.883,1086900.0,1153000.0,1248900.0,1031500.0,1223500.0,1399400.0,3451599999.9999995,1051,507;2356;9125;12166;13158;13159;23665;25063;29093;29981;30489;32335;34519;39926;40517;43329,2472;2473;2474;12265;12266;12267;12268;48186;48187;48188;48189;63705;63706;63707;63708;63709;63710;63711;63712;63713;63714;63715;63716;63717;63718;63719;63720;69257;69258;69259;122841;122842;122843;122844;122845;122846;129696;129697;129698;150099;150100;150101;155281;155282;157602;157603;157604;157605;166647;166648;166649;166650;166651;166652;166653;166654;175935;175936;175937;175938;175939;175940;203411;203412;203413;203414;206783;206784;206785;222086;222087;222088;222089;222090,2642
B1H269,RNA helicase (EC 3.6.4.13),Ddx27,5,8.0,85.973,761,0.0,8.4736,35979.0,39348.0,47281.0,35943.0,39927.0,53641.0,36842000.0,1052,332;2514;2744;12433;37282,1677;1678;13076;13077;13078;14443;65322;189329,1795
B1H282,Collagen beta(1-O)galactosyltransferase 1 (Glycosyltransferase 25 domain containing 1) (Glycosyltransferase 25 domain containing 1 (Predicted)),Colgalt1 Glt25d1 Glt25d1_predicted rCG_38622,8,14.1,71.114,617,0.0,42.353,113440.0,104280.0,114700.0,105100.0,100490.0,118640.0,199020000.0,1054,2336;7167;9623;29159;31052;31053;39390;42329,12146;38166;50892;50893;150508;150509;160577;160578;200789;200790;216910;216911;216912,12818
B1WBS4,"Similar to Vacuolar protein sorting 26 homolog (VPS26 protein homolog), isoform CRA_a (VPS26 retromer complex component B) (Vps26b protein)",Vps26b LOC300472 rCG_22813,6,21.7,39.124,336,0.0,32.252,164550.0,157660.0,162940.0,145340.0,160030.0,189030.0,465130000.0,1055,12071;13123;24578;24876;39431;45073,63146;63147;63148;69050;127402;127403;127404;127405;127406;128808;200990;200991;200992;231198;231199;231200;231201;231202,66779
B1WBV4,"Pleckstrin homology and FYVE domain-containing 2 (Pleckstrin homology domain containing, family F (With FYVE domain) member 2) (Pleckstrin homology domain containing, family F (With FYVE domain) member 2 (Predicted))",Plekhf2 Plekhf2_predicted rCG_30364,2,7.2,27.74,249,0.0002401,4.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056,13740;34915,72106;72107;177844;177845,76342
B1WBW4,Armadillo repeat-containing protein 10,Armc10,4,20.6,33.421,306,0.0,19.693,122590.0,119700.0,130800.0,113710.0,126040.0,148500.0,245840000.0,1057,2456;23805;26463;34532,12781;12782;12783;12784;12785;123517;136645;136646;136647;136648;136649;176014,13493
B1WBX5,"Solute carrier family 43 member 1 (Solute carrier family 43, member 1) (Solute carrier family 43, member 1 (Predicted))",Slc43a1 Slc43a1_predicted rCG_27051,4,10.7,67.16,606,0.0,13.229,82371.0,67645.0,88012.0,75029.0,81731.0,121220.0,252730000.0,1058,20240;20387;25585;39474,106570;107376;107377;107378;132361;132362;132363;132364;132365;132366;132367;201103;201104;201105,113005
B1WBY3,Mannosyltransferase (EC 2.4.1.-),Alg12,3,6.8,54.708,488,0.00023095,3.4806,23668.0,22832.0,25966.0,23717.0,24385.0,34355.0,28060000.0,1059,13785;14956;16332,72326;72327;78227;78228;78229;78230;85524,76572
B1WBY5,"DnaJ (Hsp40) homolog, subfamily C, member 11 (DnaJ (Hsp40) homolog, subfamily C, member 11 (Predicted)) (DnaJ heat shock protein family (Hsp40) member C11)",Dnajc11 Dnajc11_predicted rCG_30994,16,29.7,63.204,559,0.0,52.108,703970.0,715530.0,781350.0,669260.0,708400.0,881240.0,2107600000.0,1060,1476;1546;2005;3593;11193;14041;16074;16293;17804;20061;23063;25637;31264;33930;39371;41871,7650;7651;7652;7653;7654;7655;7656;8012;8013;8014;8015;8016;8017;10524;10525;58936;73604;73605;73606;84206;85319;93494;93495;93496;93497;93498;105538;105539;105540;105541;120439;120440;120441;120442;120443;132584;132585;132586;161655;161656;173740;200676;200677;200678;200679;200680;214288;214289;214290;214291,8096
B1WBY7,Erlin (SPFH domain-containing protein) (Endoplasmic reticulum lipid raft-associated protein) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein),Erlin1 Spfh1_predicted rCG_57742,11,30.7,39.266,348,0.0,34.258,781300.0,775410.0,699220.0,773840.0,775250.0,756190.0,1898400000.0,1061,629;4009;6697;19433;19592;21185;21760;23514;26154;27907;27908;29941;37377;45815,3098;3099;3100;3101;21003;21004;21005;35415;35416;35417;102157;102158;103009;103010;103011;103012;111703;111704;111705;111706;111707;111708;111709;111710;111711;111712;111713;114618;114619;122179;135166;135167;135168;135169;135170;135171;135172;143612;143613;143614;155083;155084;155085;155086;155087;189844;189845;189846;189847;189848;189849;189850;189851;189852;189853;189854;189855;189856;234971;234972;234973;234974;234975;234976,3301
B1WC06,Vacuolar fusion protein MON1 homolog,Mon1a,2,6.5,62.154,555,0.0,10.287,8217.4,8179.9,8254.0,7788.7,7808.5,8794.5,22946000.0,1062,12691;36855,66730;187278,70618
B1WC34,Glucosidase 2 subunit beta,Prkcsh Prkcsh_predicted rCG_31596,20,40.8,59.218,525,0.0,268.3,3622700.0,3558300.0,3640700.0,3441600.0,3352500.0,4171700.0,14229000000.0,1064,4516;8927;10244;10987;11714;12101;12416;20465;22845;26038;26039;28430;29289;30342;35161;35162;35958;37705;42692;45002,23620;23621;23622;47114;47115;54273;54274;54275;54276;54277;54278;54279;54280;57829;61299;63345;63346;63347;63348;63349;63350;63351;65246;65247;65248;65249;107776;107777;107778;107779;119470;119471;119472;119473;119474;119475;119476;119477;134683;134684;134685;134686;134687;134688;134689;134690;134691;146539;146540;146541;146542;146543;146544;146545;146546;146547;146548;151174;151175;151176;151177;151178;151179;151180;151181;151182;151183;151184;151185;156935;156936;156937;179075;179076;179077;179078;179079;179080;179081;179082;179083;179084;179085;183005;183006;183007;183008;183009;183010;191690;219050;219051;219052;219053;230626;230627;230628;230629;230630;230631,24942
B1WC37,Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14),Trmu Mtu1,13,31.7,49.723,441,0.0,22.129,169760.0,164400.0,181210.0,154490.0,165090.0,213490.0,301790000.0,1065,7278;13556;15156;15221;16210;21219;25412;26297;34267;38702;39761;40834;41821,38650;38651;38652;71251;79161;79162;79483;79484;84903;111920;131485;135928;135929;174936;174937;174938;197225;202589;202590;202591;202592;202593;202594;208539;208540;214049,40854
B1WC40,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20),Ncbp2 Cbp20,4,25.0,18.017,156,0.0,10.856,85259.0,92010.0,92504.0,86127.0,93479.0,103090.0,167970000.0,1066,5511;20138;34916;38030,28515;105960;177846;177847;177848;177849;193428;193429,30129
B1WC43,"LOC681708 protein (RCG36567, isoform CRA_a) (Transmembrane protein 41a)",Tmem41a LOC681708 rCG_36567,2,8.3,29.183,264,0.00023288,3.6185,7823.0,7770.9,6940.9,7078.4,8132.7,9167.3,22217000.0,1067,25291;36260,130933;184530;184531,138868
B1WC56,Ribonucloprotein,Nhp2 Nola2 Nola2_predicted rCG_34668,2,23.5,17.292,153,0.00028106,7.8848,17548.0,16857.0,18717.0,16891.0,18199.0,21138.0,192200000.0,1068,40329;43863,205735;205736;205737;205738;205739;205740;224968,218115
B1WC61,"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)",Acad9,27,51.4,68.842,625,0.0,192.33,3935200.0,3874100.0,3854500.0,3611800.0,3789700.0,4347300.0,18159000000.0,1069,3706;4329;5560;10536;12797;13235;14243;16006;17217;17588;20495;20823;22500;24511;24854;25562;27634;35453;36023;38241;38242;38816;40078;40652;42974;43324;44728,19425;22655;22656;22657;28782;28783;28784;28785;28786;28787;55594;55595;55596;55597;67322;67323;67324;67325;69622;69623;69624;69625;69626;69627;69628;69629;69630;69631;74447;74448;74449;83725;83726;83727;83728;83729;83730;83731;83732;83733;83734;83735;83736;83737;90016;90017;90018;90019;90020;90021;90022;90023;90024;90025;90026;90027;90028;90029;92183;107893;107894;107895;107896;107897;109856;109857;109858;109859;109860;109861;118067;118068;118069;118070;118071;127051;127052;127053;127054;127055;127056;127057;128690;128691;128692;128693;132227;132228;132229;132230;132231;132232;132233;132234;132235;132236;132237;132238;142271;180537;180538;183344;183345;183346;183347;194508;194509;194510;194511;194512;194513;194514;194515;194516;194517;194518;194519;194520;194521;194522;194523;194524;197940;197941;197942;197943;197944;204254;204255;204256;204257;204258;204259;207562;207563;207564;207565;207566;207567;207568;220468;220469;220470;220471;220472;220473;220474;220475;220476;220477;220478;220479;220480;222064;222065;222066;222067;222068;222069;222070;229175;229176;229177;229178,20496
B1WC66,"5'-nucleotidase domain containing 1 (Predicted), isoform CRA_a (5'-nucleotidase domain-containing 1) (Nt5dc1 protein)",Nt5dc1 Nt5dc1_predicted rCG_20010,4,8.7,52.457,461,0.00028369,8.1295,146450.0,146970.0,152370.0,142940.0,147970.0,186380.0,208770000.0,1070,7957;11066;43692;44307,42005;42006;42007;58214;58215;58216;58217;224053;227098;227099,44398
