Gene names,Reporter intensity 3 set1,Reporter intensity 2 set1,Reporter intensity 2 ,Protein names,Reporter intensity 1 set1,Intensity,Reporter intensity 1 set2,Reporter intensity 3 set2,Reporter intensity 4 set3,Reporter intensity 1 ,Reporter intensity 4 ,Reporter intensity 2 set3,Reporter intensity 2 set2,Reporter intensity 3 set3,Best MS/MS,Reporter intensity 3 ,Sequence coverage [%],Reporter intensity 1 set3,Evidence IDs,Reporter intensity 4 set2,Q-value,Mol. weight [kDa],Peptide IDs,Protein IDs,Razor + unique peptides,Score,Reporter intensity 4 set1,Sequence length
CSTB CST6 STFB,933.66,737.82,27398.0,Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B),714.45,65852000.0,636.72,494.24,647.3,38402.0,25808.0,726.02,545.78,460.29,74201,31139.0,58.2,728.22,70771;98017;98018;98019;98020;98861;98862;98863;98864,796.13,0.0,11.139,20308;28316;28535,P04080,3,81.675,974.18,98
APOB,149230.0,134010.0,373610.0,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],123400.0,469190000.0,77926.0,100490.0,79652.0,323780.0,378070.0,79408.0,94993.0,87165.0,2074,430650.0,24.1,63200.0,1989;2821;2822;2823;6280;6281;6282;6283;6362;8146;8831;8832;9004;11429;11775;14042;14043;14044;14045;14046;14047;14982;14983;21637;21638;21639;21640;21641;26184;26185;26186;26187;28307;28308;28881;28882;28883;29165;31027;32084;32834;32835;33403;33404;33405;35648;35649;37263;37264;37265;37266;43133;43134;43135;43136;43137;43157;43158;43159;44265;44266;44267;44614;44615;44689;44690;44691;46042;46043;46044;46045;46102;46103;46104;46105;46106;46107;46108;46109;47174;47175;48115;48789;49691;49994;49995;49996;49997;51234;51235;51236;52160;52161;52162;52163;54301;55521;55522;57521;57522;57988;57989;58323;59287;61267;61268;61269;63926;63927;63928;63929;64510;64511;64512;65204;65355;65356;65357;66619;66678;66679;66680;67357;67358;67359;67993;67994;71341;71342;72555;73047;73733;73894;74738;77090;79021;79290;79291;82657;83327;83328;83329;83945;84187;85454;85455;85456;85881;85882;85883;87980;87981;87982;87983;88007;88008;88009;88010;88011;88012;89841;89842;89843;90441;90442;91137;91138;91139;91140;91553;91554;93001;93002;93531;93532;98717;99096;99097;99098;99099;99779;100786;101105;101106;101107;101844;101845;101846;101847;102369;106210;106319;106320;106753;106754;106755;109010,91097.0,0.0,515.54,570;802;1770;1798;2321;2514;2559;3255;3349;4013;4285;6107;7471;8095;8259;8351;8882;9204;9430;9585;10223;10664;12272;12280;12610;12721;12746;13088;13102;13377;13606;13780;14016;14114;14481;14706;15339;15733;16372;16524;16615;16892;17465;18270;18430;18663;18727;18728;19140;19162;19364;19540;20486;20836;20985;21197;21246;21475;22178;22808;22892;23970;24172;24342;24404;24802;24930;25546;25553;26088;26244;26427;26543;26994;27184;28498;28594;28754;29036;29117;29310;29460;30591;30612;30728;31368,P04114,86,323.31,130160.0,4563
SOD2,128060.0,96903.0,76812.0,"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)",99893.0,822190000.0,50509.0,62182.0,211570.0,80459.0,116570.0,219720.0,53654.0,264530.0,5072,126720.0,54.5,198820.0,4862;4863;4864;4865;4866;4867;12189;12190;12191;12192;12193;31910;31911;31912;34888;34889;34890;34891;34892;34893;34894;34895;34896;34897;34898;34899;34900;34901;34902;35300;35301;35302;35303;35304;35305;35306;35307;35308;35309;35310;42986;42987;42988;42989;42990;42991;67010;67011;67012;67013;67014;67015;75586;75587;108347;108348;108349,46478.0,0.0,24.75,1390;3470;3471;9151;10016;10126;10127;12228;12229;19258;21714;31177,P04179,12,93.424,107580.0,222
OAT,14741.0,12194.0,0.0,"Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]",9932.7,95499000.0,6077.9,9290.5,14933.0,0.0,0.0,12322.0,8056.3,16004.0,3489,0.0,50.6,8281.9,3356;3357;3358;6008;15935;26814;29435;29436;29437;29438;29439;29440;38393;38394;38395;38396;43949;65221;94681;94682;94683;95640;95641;95642;100459;100460;100461;100462;104969;104970;104971;104972;104973;104974;106394;106395;106521;106522;106523,8957.3,0.0,48.534,977;1706;4523;7679;8427;8428;10980;12519;18672;27496;27723;28947;30225;30625;30671,P04181,15,72.817,13874.0,439
TK1,1648.9,1790.3,0.0,"Thymidine kinase, cytosolic (EC 2.7.1.21)",1679.5,3778400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8496,0.0,31.6,0.0,8144;8145;39822;55270;55899,0.0,0.0,25.468,2319;2320;11393;15645;15841,P04183,5,16.235,1483.5,234
CD74 DHLAG,3031.8,2284.3,18002.0,HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)],1723.7,9046600.0,992.26,1136.3,0.0,16797.0,16352.0,0.0,1022.5,0.0,71116,19881.0,7.4,0.0,67801;67802;80354,1702.2,0.0,33.515,19484;23281,P04233,2,6.0483,3010.9,296
TUBB4A TUBB4 TUBB5,0.0,0.0,0.0,Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain),0.0,4154400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6490,0.0,54.7,0.0,6203;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;6214;6215;6216;6217;6218;6219;6220;6221;6222;6223;6224;6225;9774;9775;9776;9777;9778;9779;9780;9781;9782;9783;9784;9785;9786;9787;9788;9789;9790;9791;9792;9793;9794;9795;23585;23586;23587;23588;23589;23590;23591;23592;23593;23594;23595;23596;23597;23598;23599;23600;23601;23602;23603;23604;23605;23606;23607;23608;23609;23610;23611;23612;23613;32093;32094;32095;32096;32097;32098;32099;32100;32101;32102;32103;32104;32105;32106;32107;33463;33464;33465;33466;33467;49394;49395;49396;49397;49398;49399;49400;49401;49402;49403;49404;49405;49406;49407;49408;49409;49410;49411;49412;49413;49414;49415;49416;49417;50649;50650;50651;55059;55060;55061;55062;58414;58415;58416;58417;58418;58419;58420;58421;58422;58423;58424;58425;61615;61616;61617;61618;61619;61620;61621;61622;61623;61624;67713;67714;67715;67716;67717;67718;67719;67720;67721;67722;67723;67724;67725;67726;67727;67728;67729;67730;67731;67732;69285;71099;73863;73864;73865;73866;73867;74915;74916;74917;74918;74919;74920;74921;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;79832;79833;79834;79835;79836;79837;80057;83212;83213;83214;83215;83216;83217;83218;83219;83220;83221;88848;88849;88850;88851;88852;88853;88854;88855;88856;107905;107906;107907;107908,0.0,0.0,49.585,1759;2782;6650;9211;9212;9602;13957;14333;15575;16634;17569;19463;19895;19896;20417;21238;21533;23080;23166;24134;25789;31037,P04350,2,11.195,0.0,444
GAPDH GAPD CDABP0047 OK/SW-cl.12,455140.0,387630.0,430270.0,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),348710.0,14543000000.0,295400.0,389230.0,478030.0,368700.0,456860.0,453880.0,346250.0,514790.0,3583,513930.0,64.8,405030.0,3428;3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;3439;3440;3441;3442;3443;3444;33965;33966;33967;33968;33969;33970;33971;33972;33973;33974;33975;33976;33977;33978;33979;33980;33981;33982;33983;33984;33985;33986;33987;33988;33989;48126;48127;48128;48129;48130;48131;48132;48133;48134;48135;48136;48137;48138;48139;48140;48141;48142;48143;48144;48145;48146;48474;59695;59696;59697;62302;62303;62304;62305;62306;62307;62308;62309;62310;62311;62312;62313;67301;68178;68179;68180;68181;68182;68183;68184;68185;68186;68187;68188;68189;68190;68191;68192;68193;68194;68195;68196;68197;68198;68199;68200;68201;68202;68203;68204;68205;68206;68207;68208;68209;68210;68211;68212;76361;76362;76363;76364;76365;76366;76367;76368;76369;76370;76371;76372;76373;76374;76375;76376;76377;80612;80613;80614;80615;80616;80617;80618;80619;80620;80621;80622;80623;80624;80625;80626;80627;80628;94167;94168;94169;94170;94171;94172;94173;94174;94175;94176;94177;94178;99136;99137;99138;99139;99140;99141;99142;99143;99144;99145;99146;99147;99148;99149;99150;99151;99152;99153;99154;99178;99179;99180;99181;99182;99183;99184;99185;99186;99187;99188;99189;99190;99191;99192;99193;99194;99195;99196;99197;99198;99199;99200;99201;99202;99203;99204;99205;99206;99207;99208;99209;99210;99211;99212;99213;99214;99215;99216;99217;99218;99219;99220;99221;99222;99223;99224;99225;99226;99227;99228;99229;99230;99231;99232;99233;99234;99235;99236;99237;99238;99239;99240;99241;99242;99243;99244;99245;99246;99247;99248;99249;99250;99251;99252;99253;99254;99255;99256;99257;99258;99259;99402;99403;99404;99405;99406;99407;99408;99409;99410;99411;99412;99413;101848;101849;101850;101851;101852;101853;101854;101855;101856;101857;101858;103656;103657;103658;103659;103660;103661;103662;103663;103664;103665;103666;103667;103668;103669;103670;103671;103672;103673;103674;103675;103676;103677;103678;103679;103680;103681;103682;103683;103684;103685;103686;103687;103688;103689;103690;103691;103692;103693;103694;103695;103696;103697;103698;103699;103700;103701;103702;103703;104860;104861;104862;104863;104864;104865;104866;104867;104868;104869;104870;104871;104872;104873;104874;104875;104876;104877;104878;104879;104880;104881;104882;104883;104884;104885;104886,371260.0,0.0,36.053,993;9758;13610;13692;17033;17782;19336;19600;19601;21957;23404;27373;28601;28607;28608;28641;29311;29826;29827;30185,P04406,20,323.31,421310.0,335
ASL,34077.0,29297.0,5928.7,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),32775.0,44697000.0,4279.1,5425.7,41885.0,5665.7,5748.9,30378.0,3889.9,41099.0,2826,7409.5,23.7,24552.0,2722;18145;18146;21645;24625;24626;24627;24628;24629;43527;43528;49745;49746;49747;64717;64718;64719;95447,4720.7,0.0,51.657,774;5160;6110;6963;12403;14036;18497;27675,P04424,8,30.631,29916.0,464
HLA-A HLAA,22277.0,18955.0,44548.0,"HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)",19904.0,140390000.0,5392.3,8311.0,9700.2,48083.0,44557.0,9158.9,6949.3,11269.0,13149,49658.0,19.5,7789.7,12633;12634;12635;12636;12637;12638;12639;12640;12641;12642;12643;29908;29909;29910;29911;29912;29913;30930;30931;30932;30933;104654;107642;107643,8072.8,0.0,40.84,3594;8550;8850;30109;30953,P04439,5,141.19,19896.0,365
ERBB2 HER2 MLN19 NEU NGL,0.0,0.0,0.0,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),0.0,3272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34750,0.0,4.3,0.0,33434;39718;85742,0.0,0.0,137.91,9593;11364;24880,P04626,3,7.7325,0.0,1255
CAPNS1 CAPN4 CAPNS,10137.0,9290.4,25381.0,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit),7699.2,33620000.0,4271.3,5089.4,0.0,18435.0,20272.0,0.0,4877.4,0.0,50958,27073.0,36.2,0.0,48791;48792;48793;48794;48795;48796;70119;70120;70121;70122;85155;89152;89153;90847;90848;107925;108551,5039.3,0.0,28.315,13782;20136;24716;25870;26355;31045;31233,P04632,7,44.498,7899.2,268
MT1F PRO0376,0.0,0.0,0.0,Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF),0.0,60049000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10815,0.0,67.2,0.0,10367;10368;10369;10370;10371;10372;10373;10374;10375;56512;69655;69656;69657;69658;69659;69660;81246;81247;81248,0.0,0.0,6.0863,2955;16050;20007;23592,P04733,3,10.938,0.0,61
HSPB1 HSP27 HSP28,0.0,0.0,0.0,Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27),0.0,15275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61272,0.0,16.1,0.0,58390;58391;58392;58393;102594;102595;102596,0.0,0.0,22.782,16627;29538,P04792,2,14.685,0.0,205
TYMS TS OK/SW-cl.29,1934.3,0.0,0.0,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),0.0,5074500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21900,0.0,11.2,0.0,21066;45308;45309,0.0,0.0,35.716,5930;12918,P04818,2,11.425,2129.3,313
RPN1,295330.0,261420.0,423610.0,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),278540.0,1875800000.0,158470.0,190410.0,239690.0,436990.0,423020.0,242600.0,160890.0,280680.0,6451,483580.0,57.5,230390.0,6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6764;6765;6766;6767;9109;9110;9111;9112;9113;9114;9115;13866;13867;13868;13869;13870;13871;13872;13873;13874;13875;13876;13877;13878;17766;17767;17768;17769;17770;17771;17772;17773;18255;18256;18257;18258;18259;18260;18261;18262;18263;18264;32135;32136;32137;32138;32139;33099;33100;33101;33102;33103;33104;35004;35005;42727;42728;42729;42730;44166;44167;47870;47871;47872;47873;47874;47875;47876;47877;47878;47879;56603;57893;57894;57895;57896;57897;57898;57899;62824;62825;65280;65281;65282;65283;65284;65285;65286;65287;65288;65289;72799;72800;72801;72802;72803;72804;72805;72806;73765;73766;73767;76005;77028;77029;77030;77031;77032;77033;77034;78457;78458;78459;80493;80494;82024;82025;82026;82027;82028;82029;82030;82031;84474;84475;84476;84477;84478;89512;89513;89514;90838;90839;90840;90841;90842;91144;91145;94183;94184;94185;94186;94187;94188;95340;95341;95342;95343;95344;95345;98872;98873;98874;102866;102867;102868;102869;102870;102871,161410.0,0.0,68.569,1756;1926;1927;1928;2593;3965;3966;5054;5188;9219;9509;10044;12152;12587;13560;16077;16492;16493;17929;18700;20917;21208;21853;22157;22593;23345;23804;24508;26000;26353;26429;27376;27647;27648;28538;29622,P04843,36,323.31,260860.0,607
RPN2,57371.0,49411.0,66516.0,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2),46709.0,927480000.0,15418.0,17342.0,35763.0,57628.0,70824.0,35330.0,15012.0,38248.0,21634,77066.0,48.7,37617.0,20809;20810;20811;21347;21348;21349;21350;21351;30191;32066;32067;32068;32069;32070;32071;32072;32073;32074;32075;32076;32785;32786;51020;51021;51022;51023;51024;51025;51026;51027;51028;51029;51030;51031;51032;51033;51034;55622;55623;55624;55625;64152;66177;66178;66179;66180;66181;66182;66183;66184;66581;66582;66583;66584;66585;70534;70535;70536;72452;72453;72454;74194;74195;74196;74197;74198;74199;75690;75691;76734;76735;76736;76737;76738;76739;76740;76741;76742;84008;84009;85267;90560;90561;90562;90563;90564;90565;90566;90567;90568;90569;90570;90571;90572;90573;93337;93338;93339;93340;93341;93342;93343;93344;107055;107056;107057;107058;107059;107060;107061;107062;107063;107064;107065;107091;107092;107093;107094;107095;107096,15276.0,0.0,69.283,5854;6019;8620;9200;9417;14419;15768;18357;18984;19129;20241;20803;21332;21736;22072;22073;24361;24750;26276;26277;27112;30805;30811,P04844,23,294.15,50961.0,631
GNAI2 GNAI2B,3100.6,2406.3,0.0,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),0.0,10662000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24627,0.0,37.2,0.0,23655;23656;23657;29160;44960;47805;51301;60067;60068;60069;63601;63602;63603;63604;63605;63606;63607;63608;77955;93696;93697,0.0,0.0,40.45,6663;8348;12821;13536;14501;17153;18162;22431;27244,P04899,5,27.003,2822.4,355
ATP1A1,296810.0,278620.0,322700.0,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),314850.0,1353000000.0,73525.0,74130.0,140850.0,346070.0,314550.0,142610.0,66515.0,154970.0,1131,352780.0,45.8,159610.0,1088;1089;1090;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1682;1683;1684;1685;9271;9272;9273;9274;9275;9276;9598;9599;9600;9601;9602;9603;9604;9605;9606;10686;12939;12940;12941;12942;12943;12944;14357;14358;14359;14360;14361;14362;14363;14364;14365;14366;14367;14368;14369;15745;15868;15869;15870;15871;15872;15873;15874;16815;16816;26334;26335;26336;28706;28707;28708;28709;28710;28711;28712;28713;28714;36141;37682;41403;41404;41405;41406;41407;41408;41409;41410;41411;41412;48106;48107;51767;51768;51769;51770;51771;51772;51773;51774;51775;51776;51777;51778;51779;51780;52678;52679;52680;52681;52682;52683;52684;52685;52686;62057;62058;62059;62060;62061;62062;64564;64565;64566;64567;64568;66596;66597;66598;66599;66600;66601;66602;66603;66604;66605;66606;66607;71134;71135;71136;71137;71138;71349;71350;72732;72733;72734;72735;73364;73365;73366;73367;73368;73369;74222;74223;74224;74225;74226;74227;74228;74229;74230;74979;76063;76064;76065;76066;76067;77039;77040;77041;77042;77043;77044;77045;77046;77047;77048;85581;85582;85583;85584;85585;85586;85587;85588;85589;85590;85591;89191;96785;96786;96787;96788;96789;96790;96791;96792;96793;96794;96795;96796;99313;99314;99315;99316;99317;99318;99319;104924;106211;106212;106213;106214;106989;106990;106991;106992;106993;108477;108478;108479;108480;108481;108482;108483;108484,66404.0,0.0,112.89,331;386;387;481;2639;2720;3054;3681;4113;4114;4467;4502;4754;7515;8208;10356;10765;11822;13604;14613;14852;17712;18448;19134;19135;20431;20490;20899;21088;21339;21544;21867;22161;22162;24832;25886;28004;28624;30205;30592;30593;30795;31205,P05023,43,323.31,252970.0,1023
ATP1B1 ATP1B,66973.0,59165.0,38375.0,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),65390.0,218890000.0,4033.0,4946.7,30612.0,42463.0,37299.0,38127.0,4284.2,41185.0,10639,43605.0,45.2,43469.0,10209;10210;10211;10212;10213;10214;10215;10216;10217;10218;11791;11792;11793;11794;22109;22110;60006;79738;88199;88200;88201;89563;89564;89565;95869;95870;95871;95872;98517;98518;98519;98520;98521;98522;98523;98524;108112;108113;108114;108115;108116;108117,4511.4,0.0,35.061,2916;2917;3356;6249;17131;23042;25615;26014;27773;28441;31108,P05026,11,63.337,51498.0,303
ALDH2 ALDM,89528.0,76272.0,70715.0,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",62953.0,566770000.0,60829.0,79544.0,51531.0,64576.0,75477.0,52215.0,69891.0,58589.0,6962,83764.0,52.2,48331.0,6670;6671;6672;6673;6674;6675;6676;19429;19430;19431;21091;21092;21093;21094;21095;21096;24496;24497;24498;24499;24500;24501;24502;42163;42164;42165;42166;42167;42168;42169;42170;48840;48841;48842;48843;48844;48845;48846;48847;56767;56768;56769;56770;56771;56772;56773;56774;56775;56776;56777;57686;61285;61286;61287;61288;61289;62951;62952;62953;80633;89751;89752;89753;89754;89755;89756;89757;89758;89759;89760;89761;89762;89763;89764;90092;90093;90094;90095;90096;90097;90098;90212;90213;90214;90215;90216;90991;90992;91181;91182;91183;91184;95483;95484;95485;95486;95487;95488;99465;99466;99467;99468;99469;99470;99471;103171;103172;103173;103174;103175;103858;103859;103860;103861;103862;109301,67587.0,0.0,56.381,1900;5485;5943;6925;11988;13794;16135;16412;17471;17973;23409;26062;26063;26156;26181;26389;26438;27685;28659;28660;29702;29874;31454,P05091,20,228.49,75512.0,517
HMGN1 HMG14,13385.0,14292.0,61644.0,Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1),12207.0,114110000.0,18340.0,24721.0,1679.5,53852.0,57945.0,1708.9,23195.0,1530.4,60067,65404.0,51.0,1326.9,57240;57241;57242;57243;76168;76169;76170;76171;76172;76173;89485;89486;102712;102713;102714;102715;102716;102717;102718;102719,21573.0,0.0,10.659,16277;16278;21897;21898;21899;25988;25989;29571;29572,P05114,9,128.04,11321.0,100
SLC25A5 AAC2 ANT2,59306.0,50182.0,210540.0,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",48769.0,427870000.0,32350.0,42394.0,39032.0,207540.0,229160.0,38112.0,35276.0,43432.0,1216,250980.0,34.9,36561.0,1162;1163;1164;1165;1166;1167;1168;1169;12230;12231;12232;12233;12234;12235;12236;12237;12238;12239;12240;12241;12242;26162;26163;26164;38204;38205;38206;38207;38208;40739;40740;40741;40742;40743;40744;40745;40746;40747;40748;40749;40750;54434;54435;54436;54437;57533;57534;57535;57536;57537;63654;63655;63656;63657;63658;77440;77441;77442;77443;77444;77445;77446;77447;77448;77449;89020;89021;89022;89023;89024;89025;106458;106459;106460;106461;106462;106463;106464,35794.0,0.0,32.852,346;3483;7465;10928;11643;15379;16376;18171;22283;22284;25832;30651,P05141,6,35.449,55685.0,298
SERPINA5 PCI PLANH3 PROCI,4003.3,3387.3,1144.1,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),3063.8,5807600.0,0.0,0.0,1969.0,1275.3,972.84,1850.7,0.0,2145.2,10487,1443.5,11.6,2342.7,10064;20812;35936;71033;71034,0.0,0.0,45.674,2867;5855;10295;20397,P05154,4,12.512,3710.2,406
ISG15 G1P2 UCRP,0.0,0.0,0.0,Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP),0.0,4330500.0,5538.9,3504.9,0.0,0.0,0.0,0.0,5008.4,0.0,61292,0.0,26.1,0.0,58413;101713;101714,2777.1,0.0,17.887,16633;29275,P05161,2,12.374,0.0,165
LGALS2,0.0,0.0,0.0,Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2),0.0,3230300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33838,0.0,32.6,0.0,32571;51294,0.0,0.0,14.644,9350;14498,P05162,2,24.883,0.0,132
PCCA,2431.7,2173.0,0.0,"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)",0.0,13226000.0,0.0,0.0,2495.8,0.0,0.0,3333.0,0.0,3749.2,7624,0.0,13.0,0.0,7319;52877;66796;66797;70988;96870;108744,0.0,0.0,80.058,2075;14890;19199;20377;28031;31294,P05165,6,18.734,3125.7,728
PCCB,11825.0,10266.0,0.0,"Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)",9881.2,27901000.0,5321.1,7497.7,0.0,0.0,0.0,0.0,6037.4,0.0,12670,0.0,21.9,0.0,12174;36877;45127;49309;64119;68351;68352;68353;88056;88057;88058;94378;94379;94380,7080.9,0.0,58.215,3462;10555;12866;13935;18343;19642;25567;27426,P05166,8,28.982,10450.0,539
EIF2S1 EIF2A,66110.0,65415.0,23703.0,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),50157.0,110040000.0,0.0,0.0,26137.0,20968.0,22533.0,19908.0,0.0,28055.0,1731,24440.0,53.3,17347.0,1668;3772;3773;3774;3775;3776;25507;32085;41350;42431;42432;42433;42434;42435;44276;44277;80360;89508;89509;89510;89511;102629;102630;104243;104244;104245,0.0,0.0,36.112,477;1096;7233;9205;11809;12063;12064;12612;23285;25999;29553;29983,P05198,12,243.68,74021.0,315
HMGN2 HMG17,110920.0,95645.0,139070.0,Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2),99408.0,1083900000.0,39528.0,44036.0,77035.0,123990.0,130180.0,66514.0,39067.0,76737.0,2486,151110.0,53.3,67979.0,2395;2396;22297;22298;22299;22300;22301;22302;22303;22304;22305;22306;22307;52796;52797;52798;52799;66288;66289;66290;66291;66292;66293;75853;75854;75855;75856;75857;75858;89294;89295;89296;89297,39908.0,0.0,9.3926,677;6289;14872;19027;21788;21789;25918,P05204,7,20.863,119400.0,90
ICAM1,18058.0,17625.0,92585.0,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),23133.0,126420000.0,8074.4,11131.0,17910.0,86661.0,97037.0,16854.0,7825.4,19481.0,8895,110340.0,26.3,17346.0,8525;8526;8527;8528;10659;10660;10661;14655;14656;14657;25805;25806;25807;25808;36712;36713;36714;36715;36716;36717;41018;53669;53670;63436;63437;63438;63439;63440;79840;79841;97337;97338;97339;97340;97341;97342;104531;104532;104533,10020.0,0.0,57.825,2429;3043;4188;7343;10504;11714;15140;18107;23082;28152;30064,P05362,11,121.72,17113.0,532
RPLP1 RRP1,0.0,0.0,0.0,Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1),0.0,183070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,0.0,66.7,0.0,497;498;499;500;501;5136;5137;5138;5139;5140;5141;5142;5143;5144;5145;5146;5147;5148;5149;5150;5151;53593;53594;53595;53596,0.0,0.0,11.514,158;1475;15116,P05386,2,33.676,0.0,114
RPLP2 D11S2243E RPP2,5005.9,4205.9,9872.3,Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44),5944.9,247550000.0,2173.4,1071.6,2272.5,11680.0,8451.9,2327.2,1280.6,2162.9,50800,10670.0,92.2,3185.9,48637;48638;48639;48640;48641;48642;48643;48644;53593;53594;53595;53596;54799;54800;54801;58308;58309;58310;58311;58312;58313;58314;58315;58316;58317;58318;58319;72786;72787;72788;72789;72790;72791;72792;72793;99480;109055;109056;109057;109058;109059;109060,1042.8,0.0,11.665,13735;15116;15486;16612;20913;28665;31377,P05387,7,126.69,4412.9,115
