Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1 1st,Reporter intensity 1 2nd,Reporter intensity 1 3rd,Reporter intensity 2 1st,Reporter intensity 2 2nd,Reporter intensity 2 3rd,Reporter intensity 3 1st,Reporter intensity 3 2nd,Reporter intensity 3 3rd,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
P06702,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),S100A9 CAGB CFAG MRP14,3,31.6,13.242,114,0.0,7.9165,87649.0,13430.0,63164.0,76131.0,6523.6,45269.0,70984.0,6398.6,42797.0,248220000.0,626,12215;13529;14261,59338;65229;68870;68871;68872,61498
P06730,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),EIF4E EIF4EL1 EIF4F,2,22.6,25.097,217,0.0,33.792,156120.0,118600.0,4945.7,129530.0,87648.0,7410.4,119570.0,66769.0,5797.5,208820000.0,627,1945;11069,9148;9149;9150;9151;9152;9153;53939;53940;53941;53942,9500
P06733,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,28,69.8,47.168,434,0.0,323.31,3088600.0,2780900.0,2624500.0,2864400.0,2432200.0,2366800.0,2274600.0,1915100.0,1758400.0,67955000000.0,628,247;248;249;848;2014;2404;2405;4013;4727;6970;6971;8631;9690;10026;10169;11414;11709;11722;12728;12810;12811;15663;15713;15738;18373;18868;19165;19308,1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;3725;3726;3727;3728;9442;9443;9444;9445;9446;9447;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11236;11237;11238;11239;11240;11241;11242;11243;11244;11245;11246;11247;11248;11249;11250;11251;11252;11253;11254;11255;11256;11257;11258;11259;11260;11261;11262;11263;11264;11265;11266;19230;19231;19232;19233;19234;19235;19236;19237;19238;19239;19240;19241;19242;19243;19244;19245;19246;19247;19248;19249;19250;19251;19252;19253;19254;19255;19256;19257;19258;19259;19260;19261;19262;19263;19264;19265;19266;19267;19268;19269;19270;19271;19272;19273;22638;22639;22640;22641;22642;22643;22644;22645;33286;33287;33288;33289;33290;33291;33292;33293;33294;33295;33296;33297;33298;33299;33300;33301;33302;33303;33304;33305;33306;33307;33308;33309;41720;41721;41722;41723;41724;41725;41726;41727;41728;41729;41730;41731;41732;41733;41734;41735;41736;41737;41738;41739;47323;47324;47325;47326;47327;47328;47329;47330;47331;49017;49018;49019;49020;49021;49022;49023;49024;49025;49026;49027;49028;49029;49030;49679;49680;49681;49682;49683;49684;49685;49686;49687;49688;49689;49690;49691;49692;49693;49694;49695;55462;55463;55464;55465;55466;55467;55468;55469;56742;56743;56744;56745;56746;56747;56748;56749;56750;56751;56752;56753;56754;56755;56756;56757;56758;56759;56760;56761;56844;61598;61599;61600;61601;61602;61603;61604;61605;61606;61963;61964;61965;61966;61967;61968;61969;61970;61971;61972;61973;74726;74727;74728;74729;74730;74731;74732;74733;74734;74735;74736;74737;74738;75015;75016;75017;75018;75088;75089;75090;87415;87416;87417;87418;87419;87420;87421;87422;87423;89551;89552;89553;89554;89555;89556;89557;89558;89559;89560;89561;89562;89563;89564;89565;89566;89567;89568;89569;89570;89571;89572;89573;89574;90930;90931;90932;90933;90934;90935;91616;91617;91618;91619;91620;91621;91622;91623;91624;91625;91626;91627;91628;91629;91630;91631;91632;91633,1096
P06737,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,25,32.7,97.147,847,0.0,101.03,472580.0,389790.0,442910.0,483100.0,369610.0,457080.0,374990.0,286510.0,360030.0,3468799999.9999995,629,1016;2143;2591;2612;2774;2874;3290;4032;6476;7161;8230;9945;10603;10844;12315;12414;12486;13579;14742;14990;16351;18078;18293;19026;19066,4476;4477;4478;4479;10042;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250;12251;12252;12253;12254;12255;12256;12257;12258;12364;12365;12366;13097;13098;13099;13100;13101;13102;13103;13104;13105;13106;13107;13108;13595;13596;13597;13598;13599;13600;15529;15530;19360;30957;30958;34209;34210;34211;34212;34213;34214;34215;34216;34217;34218;34219;34220;34221;34222;39914;39915;39916;39917;39918;48620;51815;51816;52912;52913;52914;59845;59846;59847;59848;60258;60259;60260;60578;60579;60580;65500;65501;65502;70807;70808;71955;77901;77902;86070;86071;86072;86073;86074;86075;86076;86077;86078;87012;90325;90326;90327;90328;90329;90330;90331;90332;90333;90499;90500;90501;90502,4622
P06744,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,19,37.5,63.146,558,0.0,323.31,936460.0,911300.0,793980.0,946000.0,780090.0,786290.0,627710.0,553880.0,535180.0,10819000000.0,630,3874;4583;5377;6397;10077;10475;11333;13477;13950;16127;16128;16168;16877;16878;17004;17029;17650;18112;18956,18445;21911;21912;21913;21914;21915;21916;21917;21918;21919;21920;25741;25742;25743;25744;25745;30527;30528;30529;30530;30531;30532;30533;30534;30535;30536;30537;30538;30539;30540;49254;49255;49256;49257;49258;51259;51260;51261;51262;55120;55121;55122;55123;55124;55125;55126;55127;64973;67377;67378;67379;67380;67381;67382;67383;67384;67385;67386;67387;67388;67389;76938;76939;76940;76941;76942;76943;76944;76945;76946;76947;76948;76949;76950;76951;76952;77138;80349;80350;80351;80352;80353;80354;80355;80356;80357;80358;80359;80360;80914;80915;80916;80917;80918;80919;80920;80921;80922;80923;80924;80925;80926;80927;80928;80929;80930;80931;80932;80933;80934;81040;81041;81042;81043;81044;81045;81046;81047;81048;81049;81050;81051;81052;81053;81054;83875;83876;83877;83878;86205;86206;86207;86208;86209;90020,19094
P06748,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),NPM1 NPM,16,63.9,32.575,294,0.0,207.36,1476900.0,2368900.0,2005000.0,1550600.0,2099200.0,1896800.0,1056800.0,1417500.0,1283500.0,71645000000.0,631,362;363;2503;3643;8808;11643;12685;13837;14081;14086;15422;15917;17455;17456;17692;18767,1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;1586;1587;1588;1589;1590;11784;11785;11786;11787;11788;11789;11790;11791;11792;11793;11794;11795;11796;11797;11798;11799;11800;11801;11802;11803;11804;11805;11806;11807;11808;11809;17331;17332;17333;17334;42602;42603;42604;42605;42606;42607;42608;42609;42610;42611;42612;42613;42614;42615;42616;42617;56430;56431;56432;61430;66903;66904;66905;66906;66907;66908;66909;66910;66911;66912;66913;66914;66915;66916;66917;66918;66919;66920;66921;68121;68122;68123;68124;68125;68126;68127;68128;68129;68130;68131;68132;68133;68134;68135;68136;68137;68138;68139;68140;68141;68142;68143;68144;68145;68146;68147;68148;68149;68150;68151;68152;68153;68154;68155;68156;68157;68158;68159;68160;68161;68169;68170;68171;68172;68173;68174;68175;68176;68177;68178;68179;68180;68181;68182;68183;68184;68185;68186;68187;68188;68189;68190;68191;68192;68193;68194;73752;73753;73754;73755;75933;75934;82994;82995;82996;82997;82998;82999;83000;83001;83002;83003;83004;83005;83006;83007;83008;83009;83010;83011;83012;83013;83014;83015;83016;83017;83018;83019;83020;83021;83022;83023;83024;83025;83026;84069;84070;84071;84072;84073;84074;84075;84076;84077;84078;84079;84080;84081;84082;84083;84084;84085;84086;84087;89117;89118;89119;89120;89121;89122;89123;89124,1597
P06753,Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5),TPM3,8,15.8,32.95,285,0.0,47.269,504630.0,416810.0,391100.0,349600.0,258880.0,245500.0,316570.0,247870.0,228030.0,4372700000.0,632,60;61;1136;10810;10811;11424;11425;11756;13580;13581;13872;15260;15261,229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;5053;52746;52747;52748;52749;52750;52751;52752;52753;52754;52755;52756;52757;52758;52759;52760;55504;55505;55506;55507;55508;55509;55510;55511;56976;56977;56978;65503;65504;65505;65506;65507;65508;65509;65510;65511;65512;65513;65514;65515;67061;67062;67063;67064;67065;67066;67067;73077;73078;73079;73080;73081,235
P06865,Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha),HEXA,2,5.7,60.702,529,0.0,3.9437,10362.0,0.0,0.0,11408.0,0.0,0.0,8465.0,0.0,0.0,71199000.0,633,1239;6245,5651;29810,5836
P07099,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH),EPHX1 EPHX EPOX,7,27.7,52.948,455,0.0,33.901,117480.0,80871.0,45727.0,149700.0,89195.0,46632.0,106750.0,66191.0,36641.0,595060000.0,635,2994;3817;5562;6997;7855;12198;18987,14208;18192;18193;18194;26590;33433;33434;33435;33436;38017;38018;38019;38020;38021;59253;90169;90170;90171;90172;90173,14719
P07108,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),DBI,2,31.0,10.044,87,0.0,3.5973,0.0,44402.0,18484.0,0.0,37938.0,17392.0,0.0,31692.0,14432.0,91650000.0,636,14658;16290,70471;77648;77649,73023
P07195,L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46),LDHB,17,54.8,36.638,334,0.0,120.64,1440600.0,1408100.0,1237600.0,1126200.0,1097700.0,940630.0,869900.0,775180.0,651700.0,15656000000.0,638,4023;5098;6694;7548;8516;8575;9614;10282;11020;11023;12325;12426;12461;14141;15377;15929;15930;18045,19301;19302;24342;24343;24344;24345;32015;32016;32017;32018;32019;32020;32021;36176;36177;36178;36179;36180;36181;36182;36183;36184;36185;36186;36187;36188;36189;36190;36191;36192;36193;36194;36195;36196;36197;41180;41181;41182;41183;41184;41185;41186;41187;41188;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;41478;41479;41480;41481;41482;41483;41484;47003;47004;47005;50235;50236;50237;50238;53733;53734;53745;53746;53747;53748;53749;53750;53751;53752;59889;59890;59891;59892;59893;59894;59895;59896;59897;59898;59899;59900;59901;59902;59903;59904;59905;59906;59907;59908;59909;59910;59911;60308;60309;60310;60311;60312;60313;60456;60457;60458;68345;68346;68347;68348;68349;73587;73588;73589;73590;73591;75971;75972;75973;75974;75975;75976;75977;75978;75979;75980;75981;75982;75983;75984;75985;75986;75987;75988;75989;75990;75991;75992;75993;75994;75995;75996;75997;75998;75999;76000;76001;76002;76003;76004;76005;85852;85853;85854;85855;85856;85857;85858,19981
P07203,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),GPX1,8,53.7,22.088,203,0.0,56.253,538850.0,219760.0,230290.0,554360.0,235610.0,267190.0,399330.0,171210.0,178220.0,2280500000.0,639,4024;4189;6918;8536;14202;14590;15249;19559,19303;19304;19305;19306;20056;20057;20058;20059;20060;20061;20062;20063;20064;20065;20066;33090;33091;33092;33093;41281;41282;68646;68647;68648;68649;70228;70229;70230;70231;70232;73016;73017;73018;73019;73020;73021;73022;73023;73024;73025;73026;73027;73028;73029;73030;73031;73032;73033;73034;73035;73036;73037;92733;92734;92735;92736;92737;92738;92739;92740,19984
P07204,Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141),THBD THRM,4,21.0,60.329,575,0.0,64.117,18346.0,15172.0,20121.0,22255.0,20755.0,21552.0,17390.0,16906.0,21751.0,223160000.0,640,4229;7108;11879;16455,20228;20229;33925;33926;33927;33928;33929;57648;57649;78306;78307;78308;78309,20919
P07237,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),P4HB ERBA2L PDI PDIA1 PO4DB,29,66.9,57.116,508,0.0,290.18,2301900.0,2343400.0,3134400.0,2122200.0,1897300.0,2884300.0,1462900.0,1321300.0,1801100.0,59546000000.0,642,3821;4076;4446;5565;6737;9737;10410;10448;10459;10955;12189;12412;12424;13815;14221;14222;14237;14357;14358;14752;15343;16099;16626;16918;16939;17622;18006;19318;19473,18207;18208;18209;18210;19533;19534;19535;19536;19537;19538;19539;19540;19541;19542;19543;19544;19545;19546;19547;19548;19549;19550;19551;21350;21351;26599;26600;26601;26602;26603;26604;26605;26606;26607;26608;26609;26610;26611;26612;26613;26614;32210;32211;32212;32213;32214;32215;32216;32217;32218;32219;32220;32221;47586;47587;47588;47589;47590;47591;47592;47593;47594;47595;47596;47597;47598;47599;47600;47601;47602;47603;47604;47605;47606;47607;47608;50895;50896;50897;50898;50899;50900;50901;50902;50903;50904;50905;50906;50907;50908;51105;51106;51107;51108;51109;51110;51143;51144;51145;51146;51147;51148;51149;51150;51151;53400;53401;53402;53403;59193;59194;59195;59196;59197;59198;59199;59200;59201;59202;60231;60232;60233;60234;60235;60236;60237;60238;60239;60240;60241;60242;60243;60244;60245;60246;60247;60248;60249;60250;60251;60252;60304;60305;60306;66799;66800;66801;66802;66803;66804;66805;66806;66807;66808;66809;66810;66811;66812;66813;66814;66815;66816;66817;66818;66819;66820;66821;66822;66823;66824;66825;66826;66827;66828;66829;68716;68717;68718;68719;68720;68721;68782;68783;68784;69346;69347;69348;69349;69350;69351;69352;69353;69354;69355;69356;69357;69358;69359;69360;69361;70859;70860;70861;70862;70863;70864;70865;70866;70867;70868;70869;70870;70871;70872;70873;70874;70875;70876;70877;70878;70879;70880;70881;70882;70883;70884;70885;70886;70887;70888;70889;70890;70891;73454;73455;73456;73457;73458;73459;73460;76822;76823;76824;76825;76826;76827;79169;79170;79171;79172;80542;80543;80544;80545;80546;80547;80548;80549;80550;80551;80552;80553;80554;80555;80556;80645;83746;83747;83748;83749;83750;83751;83752;83753;83754;83755;83756;83757;83758;83759;83760;83761;83762;83763;83764;83765;83766;85672;85673;85674;85675;91662;91663;91664;91665;91666;91667;91668;91669;91670;91671;91672;91673;92364;92365;92366;92367;92368;92369;92370,18856
P07305,"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]",H1-0 H1F0 H1FV,4,23.2,20.863,194,0.0,11.797,249090.0,244030.0,247300.0,297530.0,259910.0,314040.0,226970.0,177130.0,188840.0,2079800000.0,643,9386;16838;17917;19485,45488;45489;45490;45491;80143;80144;80145;80146;80147;80148;80149;80150;80151;85262;85263;85264;85265;85266;85267;85268;85269;85270;85271;92407;92408;92409;92410,46940
P07339,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,7,25.2,44.552,412,0.0,29.875,408950.0,357400.0,366250.0,438330.0,380500.0,347810.0,330320.0,276500.0,256070.0,2366900000.0,645,924;3447;4657;10936;13359;15004;18699,4023;4024;4025;4026;4027;4028;4029;4030;4031;4032;16521;16522;16523;16524;16525;16526;16527;16528;16529;22253;22254;22255;22256;22257;22258;22259;22260;53306;53307;53308;53309;53310;53311;53312;53313;53314;53315;64475;64476;71996;71997;71998;71999;72000;72001;72002;72003;72004;72005;72006;72007;88799;88800;88801;88802,4157
P07355,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),ANXA2 ANX2 ANX2L4 CAL1H LPC2D,20,58.1,38.604,339,0.0,323.31,1087700.0,1044700.0,1152000.0,874480.0,795520.0,879350.0,749500.0,613340.0,672830.0,15881000000.0,646,473;2188;2189;2367;2876;3336;6255;7358;7359;8384;9347;13347;15407;15634;16545;16615;16783;16784;17127;17144,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;10241;10242;11086;11087;11088;11089;11090;11091;11092;11093;11094;11095;13602;13603;13604;13605;15845;15846;15847;15848;15849;15850;29837;29838;29839;35290;35291;35292;35293;35294;35295;35296;35297;35298;35299;35300;35301;35302;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;45239;45240;45241;45242;45243;45244;45245;45246;45247;45248;45249;45250;45251;45252;45253;45254;45255;45256;45257;45258;45259;64440;64441;64442;64443;64444;73701;73702;73703;73704;73705;73706;73707;73708;73709;73710;73711;73712;74619;78763;78764;78765;78766;79116;79117;79118;79928;79929;79930;79931;79932;81525;81526;81527;81528;81529;81530;81531;81532;81533;81610;81611;81612;81613;81614;81615;81616,2052
P07384,Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP),CAPN1 CANPL1 PIG30,8,18.9,81.889,714,0.0,36.654,154260.0,207530.0,186240.0,185620.0,223730.0,200730.0,140780.0,181280.0,167890.0,1147800000.0,648,1480;2540;3349;9063;12022;13570;15330;19488,6843;6844;6845;6846;6847;6848;6849;6850;6851;6852;6853;6854;6855;11967;11968;15939;15940;15941;15942;15943;15944;43844;43845;58253;58254;65457;73412;73413;73414;73415;73416;73417;92414;92415;92416;92417;92418,7075
P07437,Tubulin beta chain (Tubulin beta-5 chain),TUBB TUBB5 OK/SW-cl.56,5,16.0,49.67,444,0.0,111.25,584220.0,586850.0,497180.0,386220.0,321960.0,265290.0,352490.0,273630.0,223180.0,15612000000.0,649,947;1231;6174;6829;6830;7057;8058;8059;10557;10848;10874;10940;11772;12295;13515;13760;14478;15757,4127;4128;4129;4130;4131;4132;4133;4134;4135;4136;4137;4138;4139;4140;4141;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;5582;5583;5584;5585;5586;5587;5588;5589;5590;5591;5592;5593;5594;5595;5596;5597;5598;5599;5600;5601;29451;29452;29453;29454;29455;29456;29457;29458;29459;29460;29461;29462;29463;29464;29465;29466;29467;29468;29469;29470;29471;29472;29473;29474;29475;29476;29477;29478;29479;29480;29481;29482;29483;29484;29485;29486;29487;29488;29489;29490;29491;29492;32580;32581;32582;32583;32584;32585;32586;32587;32588;32589;32590;32591;32592;32593;32594;32595;32596;32597;32598;32599;32600;32601;32602;32603;32604;32605;32606;32607;32608;32609;32610;33643;33644;33645;33646;33647;33648;33649;33650;33651;33652;33653;33654;33655;33656;33657;33658;33659;38869;38870;38871;38872;38873;38874;38875;38876;38877;38878;38879;38880;38881;38882;38883;38884;38885;38886;38887;38888;38889;38890;38891;38892;38893;38894;38895;38896;38897;38898;38899;38900;38901;38902;38903;51597;51598;51599;51600;51601;51602;52928;52929;52930;52931;52932;52933;53035;53036;53037;53038;53039;53040;53041;53042;53323;53324;53325;57048;57049;57050;57051;57052;59775;59776;59777;59778;59779;65125;65126;65127;65128;65129;65130;65131;65132;65133;65134;65135;65136;65137;65138;65139;65140;65141;65142;65143;65144;65145;65146;65147;65148;65149;65150;65151;65152;65153;65154;65155;65156;65157;65158;65159;66432;66433;66434;66435;66436;66437;66438;66439;66440;66441;66442;66443;66444;69836;69837;69838;69839;69840;69841;75148;75149;75150;75151;75152;75153;75154;75155;75156;75157;75158;75159;75160;75161;75162;75163;75164;75165,4275
P07686,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],HEXB HCC7,9,20.3,63.137,556,0.0,31.251,227630.0,148990.0,202350.0,250260.0,166780.0,235150.0,203920.0,135110.0,181850.0,1699899999.9999998,650,3210;3601;5016;5690;8063;9053;9153;11714;17795,15170;17205;17206;17207;23884;23885;23886;23887;23888;23889;23890;23891;23892;23893;23894;23895;23896;23897;23898;23899;23900;23901;27177;38918;38919;38920;38921;43805;44343;44344;44345;44346;44347;56778;56779;84524;84525,15692
P07737,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),PFN1,10,77.1,15.054,140,0.0,140.87,991490.0,1145900.0,1019400.0,1116100.0,1239700.0,1111100.0,757350.0,832720.0,762190.0,42937000000.0,651,841;842;3653;3667;4798;4799;16385;16487;16880;16881,3694;3695;3696;3697;3698;3699;3700;3701;3702;3703;3704;3705;17384;17385;17386;17387;17388;17389;17390;17391;17392;17393;17394;17395;17396;17397;17398;17399;17400;17401;17402;17403;17404;17405;17406;17407;17408;17409;17410;17411;17412;17413;17414;17415;17416;17417;17418;17419;17420;17421;17422;17423;17424;17425;17426;17427;17428;17429;17430;17431;17432;17504;17505;17506;17507;17508;17509;17510;17511;17512;17513;17514;17515;17516;17517;22935;22936;22937;22938;22939;22940;22941;22942;22943;22944;22945;22946;22947;22948;22949;22950;22951;22952;22953;22954;22955;22956;78082;78083;78084;78085;78086;78087;78493;78494;78495;78496;78497;78498;78499;78500;78501;78502;78503;78504;78505;78506;78507;78508;78509;78510;78511;78512;78513;78514;78515;78516;78517;78518;80363;80364;80365;80366;80367;80368;80369;80370;80371;80372;80373;80374;80375;80376;80377;80378;80379;80380;80381;80382;80383;80384;80385;80386;80387;80388,3811
P07741,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),APRT,12,78.3,19.608,180,0.0,69.616,229010.0,300220.0,387390.0,226130.0,261950.0,340200.0,185210.0,205400.0,266590.0,5372400000.0,652,407;522;2361;2953;2954;7708;8272;10006;12913;13101;15674;18926,1804;1805;1806;1807;1808;1809;2316;2317;2318;2319;2320;11067;14022;14023;14024;14025;14026;14027;14028;14029;14030;37235;37236;37237;37238;37239;37240;37241;37242;37243;37244;37245;37246;37247;40067;40068;40069;40070;40071;40072;48928;62521;62522;62523;62524;62525;63454;63455;63456;63457;63458;63459;63460;74784;74785;74786;89846;89847;89848;89849;89850;89851;89852;89853;89854;89855;89856;89857;89858;89859;89860;89861;89862;89863;89864;89865;89866;89867;89868;89869;89870;89871,1834
P07814,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],EPRS1 EPRS GLNS PARS QARS QPRS PIG32,35,32.0,170.59,1512,0.0,259.11,1127800.0,966160.0,872740.0,1132000.0,857990.0,830340.0,848510.0,645760.0,589470.0,4874400000.0,653,2192;3439;3570;4225;4424;4515;5121;5843;6248;6249;6437;6490;6853;8577;9102;10577;11096;11097;11120;11242;11546;12277;12773;13377;13520;13530;13531;14385;15937;16926;16950;17590;18024;18057;19389,10247;10248;10249;10250;10251;10252;16478;16479;16480;16481;17049;17050;17051;17052;17053;17054;17055;17056;17057;17058;17059;17060;17061;20218;20219;20220;20221;21229;21230;21231;21232;21635;21636;21637;21638;21639;21640;21641;21642;24441;27870;27871;27872;27873;27874;27875;27876;27877;27878;27879;27880;27881;29815;29816;29817;29818;30824;30825;30826;30827;30828;30829;31008;31009;31010;32723;32724;32725;32726;32727;41488;41489;41490;41491;41492;44023;44024;44025;44026;44027;44028;51705;51706;51707;51708;51709;51710;51711;51712;51713;51714;51715;51716;51717;51718;54073;54074;54075;54076;54077;54078;54183;54740;54741;54742;54743;54744;54745;56054;56055;56056;56057;59689;59690;59691;59692;59693;61824;64546;65185;65186;65187;65230;65231;65232;65233;65234;65235;65236;65237;65238;65239;65240;65241;69486;69487;69488;69489;69490;69491;76046;80593;80594;80595;80686;83605;83606;83607;83608;83609;85760;85761;85978;91969;91970;91971;91972;91973;91974;91975;91976;91977;91978,10642
P07858,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,4,15.6,37.821,339,0.0,71.063,142110.0,179650.0,108480.0,171380.0,198060.0,126660.0,133780.0,157910.0,98968.0,2369200000.0,654,5815;8852;12830;15801,27769;27770;27771;27772;27773;27774;27775;27776;42867;42868;42869;42870;42871;42872;42873;42874;42875;42876;42877;42878;42879;42880;42881;62071;62072;62073;75387,28654
