Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P0A7F6	P0A7F6	2	2	2	S-adenosylmethionine decarboxylase proenzyme;S-adenosylmethionine decarboxylase beta chain;S-adenosylmethionine decarboxylase alpha chain	speD	sp|P0A7F6|SPED_ECOLI S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) OX=83333 GN=speD PE=1 SV=1	1	2	2	2	9.1	9.1	9.1	30.384	264	264	0.0	4.6867	3020400	2	265	1732;8672	True;True	1893;9465	2560;12417	3249;15877	3249;15877		
P0A7F9	P0A7F9	3	3	3	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	sp|P0A7F9|QUEA_ECOLI S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=queA PE=1 SV=1	1	3	3	3	16.6	16.6	16.6	39.43	356	356	0.0	4.6517	7234000	2	266	11015;11213;11725	True;True;True	11994;12204;12767	15680;15973;16734	20110;20479;21466	20110;20479;21466		
P0A7G2	P0A7G2	4	4	4	Ribosome-binding factor A	rbfA	sp|P0A7G2|RBFA_ECOLI 30S ribosome-binding factor OS=Escherichia coli (strain K12) OX=83333 GN=rbfA PE=1 SV=2	1	4	4	4	32.3	32.3	32.3	15.154	133	133	0.0	12.864	78888000	5	267	812;2552;7894;11955	True;True;True;True	887;2776;8591;8592;13015	1235;3680;11285;11286;17038;17039	1567;4694;4695;14403;14404;21869;21870	1567;4694;14404;21869	377	109
P0A7G6	P0A7G6	11	11	11	Protein RecA	recA	sp|P0A7G6|RECA_ECOLI Protein RecA OS=Escherichia coli (strain K12) OX=83333 GN=recA PE=1 SV=2	1	11	11	11	44.5	44.5	44.5	37.973	353	353	0.0	59.742	197470000	20	268	383;668;901;2753;5735;6028;6725;8996;9535;10139;10703	True;True;True;True;True;True;True;True;True;True;True	409;727;998;2987;6215;6520;7256;9807;10395;11045;11654	586;1020;1396;3944;8154;8562;9478;12826;13588;13589;14438;14439;15231;15232	741;1293;1779;5012;10454;10455;10945;12066;16363;17297;17298;17299;17300;18397;18398;18399;19508;19509;19510;19511	741;1293;1779;5012;10454;10945;12066;16363;17297;18399;19509		
P0A7I0	P0A7I0	7	7	7	Peptide chain release factor 1	prfA	sp|P0A7I0|RF1_ECOLI Peptide chain release factor RF1 OS=Escherichia coli (strain K12) OX=83333 GN=prfA PE=1 SV=1	1	7	7	7	26.7	26.7	26.7	40.517	360	360	0.0	26.742	24828000	7	269	487;834;2661;4711;5282;5497;9485	True;True;True;True;True;True;True	525;912;2890;5097;5720;5958;10343	748;1268;3826;6653;7500;7828;13528	953;1605;4868;8494;9606;10047;17223	953;1605;4868;8494;9606;10047;17223		
P0A7I4	P0A7I4	12	12	12	Peptide chain release factor 3	prfC	sp|P0A7I4|RF3_ECOLI Peptide chain release factor RF3 OS=Escherichia coli (strain K12) OX=83333 GN=prfC PE=1 SV=2	1	12	12	12	33.8	33.8	33.8	59.573	529	529	0.0	27.119	55367000	16	270	1814;3599;4270;4614;5207;6066;6464;10229;10499;10725;11378;12324	True;True;True;True;True;True;True;True;True;True;True;True	1980;3893;4624;4995;5634;6561;6984;11145;11426;11680;12380;13413	2672;2673;5082;6034;6510;6511;7387;8622;9160;14555;14912;15267;16226;17558;17559	3391;3392;6480;7684;7685;8296;8297;9459;11022;11666;18549;19053;19562;20820;20821;22533;22534	3391;6480;7685;8296;9459;11022;11666;18549;19053;19562;20821;22534	378	152
P0A7I7	P0A7I7	2	2	2	GTP cyclohydrolase-2	ribA	sp|P0A7I7|RIBA_ECOLI GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) OX=83333 GN=ribA PE=1 SV=1	1	2	2	2	7.7	7.7	7.7	21.836	196	196	0.0	2.5073	3077600	2	271	6967;11573	True;True	7507;12603	9808;16534	12513;21225	12513;21225		
P0A7J0	P0A7J0	2	2	2	3,4-dihydroxy-2-butanone 4-phosphate synthase	ribB	sp|P0A7J0|RIBB_ECOLI 3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribB PE=1 SV=1	1	2	2	2	14.7	14.7	14.7	23.353	217	217	0.0	2.9018	5993400	2	272	61;946	True;True	67;1047	104;1459	134;1863	134;1863		
P0A7J3	P0A7J3	11	11	11	50S ribosomal protein L10	rplJ	sp|P0A7J3|RL10_ECOLI 50S ribosomal protein L10 OS=Escherichia coli (strain K12) OX=83333 GN=rplJ PE=1 SV=2	1	11	11	11	62.4	62.4	62.4	17.711	165	165	0.0	50.439	2179000000	29	273	6;792;1237;1238;1475;2249;3736;5857;6349;8596;9133	True;True;True;True;True;True;True;True;True;True;True	6;866;1366;1367;1622;1623;2451;2452;4046;6339;6862;9382;9960	7;1211;1898;1899;2217;2218;2219;2220;2221;3269;3270;5282;8307;9014;9015;9016;12316;13024;13025	9;10;1536;1537;2427;2428;2429;2812;2813;2814;2815;2816;2817;4163;4164;6739;6740;6741;6742;10638;11492;11493;11494;11495;15762;15763;15764;16619;16620;16621	10;1536;2427;2429;2817;4164;6740;10638;11495;15763;16621	379;380	52;86
P0A7J7	P0A7J7	6	6	6	50S ribosomal protein L11	rplK	sp|P0A7J7|RL11_ECOLI 50S ribosomal protein L11 OS=Escherichia coli (strain K12) OX=83333 GN=rplK PE=1 SV=2	1	6	6	6	43.7	43.7	43.7	14.875	142	142	0.0	28.548	721670000	43	274	21;1028;4279;9517;9756;10591	True;True;True;True;True;True	22;23;24;1134;4634;10375;10631;11532	31;32;33;34;35;36;37;38;39;40;41;42;43;44;1561;1562;6049;6050;13565;13897;15051;15052	38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;1976;1977;1978;1979;7703;7704;7705;7706;7707;17268;17269;17701;17702;17703;17704;19223;19224;19225;19226	53;1977;7704;17269;17701;19224	381;382;383	117;125;136
P0A7K2	P0A7K2	2	2	2	50S ribosomal protein L7/L12	rplL	sp|P0A7K2|RL7_ECOLI 50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) OX=83333 GN=rplL PE=1 SV=2	1	2	2	2	19.0	19.0	19.0	12.295	121	121	0.0	9.6741	14623000	3	275	700;1944	True;True	761;2114	1063;1064;2835	1345;1346;3601	1345;3601		
P0A7K6	P0A7K6	5	5	5	50S ribosomal protein L19	rplS	sp|P0A7K6|RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2	1	5	5	5	44.3	44.3	44.3	13.133	115	115	0.0	42.601	601560000	14	276	7227;8660;11093;11094;11925	True;True;True;True;True	7798;9452;12079;12080;12984	10199;10200;12400;12401;15796;15797;15798;15799;16999	12992;12993;12994;12995;15854;15855;15856;20253;20254;20255;20256;20257;21821;21822	12992;15856;20255;20257;21821		
P0A7L0	P0A7L0	17	17	17	50S ribosomal protein L1	rplA	sp|P0A7L0|RL1_ECOLI 50S ribosomal protein L1 OS=Escherichia coli (strain K12) OX=83333 GN=rplA PE=1 SV=2	1	17	17	17	59.4	59.4	59.4	24.729	234	234	0.0	96.13	1564900000	70	277	44;45;2848;2849;3640;3909;4265;5940;6892;6893;8089;9099;10939;10980;10981;11172;11845	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	47;48;49;3101;3102;3936;4233;4618;4619;6428;6429;6430;7430;7431;8826;9923;11910;11952;11953;12162;12896	71;72;73;74;75;76;77;78;4113;4114;4115;5137;5138;5139;5140;5141;5142;5143;5144;5536;6025;6026;6027;6028;6029;8434;8435;8436;8437;8438;8439;8440;9707;9708;9709;9710;11606;12971;12972;15575;15576;15623;15624;15920;16892;16893	88;89;90;91;92;93;94;95;96;97;98;99;5238;5239;5240;5241;5242;5243;5244;6555;6556;6557;6558;6559;6560;6561;6562;6563;6564;7065;7673;7674;7675;7676;7677;7678;10784;10785;10786;10787;10788;10789;10790;10791;10792;10793;12377;12378;12379;12380;14832;14833;16551;16552;16553;16554;16555;19980;19981;19982;19983;20039;20040;20041;20419;20420;20421;21686;21687;21688;21689;21690;21691	88;99;5239;5243;6561;7065;7675;10786;12377;12379;14832;16551;19981;20039;20041;20420;21687	384;385;386;387	97;109;121;137
P0A7L3	P0A7L3	5	5	5	50S ribosomal protein L20	rplT	sp|P0A7L3|RL20_ECOLI 50S ribosomal protein L20 OS=Escherichia coli (strain K12) OX=83333 GN=rplT PE=1 SV=2	1	5	5	5	29.7	29.7	29.7	13.497	118	118	0.0	8.6409	421230000	13	278	1123;5377;5992;10855;10858	True;True;True;True;True	1237;5823;6484;11819;11822	1700;7633;7634;7635;8518;8519;15447;15451	2144;9765;9766;9767;9768;9769;9770;10896;10897;19805;19806;19810;19811;19812	2144;9765;10897;19806;19810		
P0A7L8	P0A7L8	4	4	4	50S ribosomal protein L27	rpmA	sp|P0A7L8|RL27_ECOLI 50S ribosomal protein L27 OS=Escherichia coli (strain K12) OX=83333 GN=rpmA PE=1 SV=2	1	4	4	4	47.1	47.1	47.1	9.1244	85	85	0.0	18.713	251320000	14	279	1750;3321;3359;5921	True;True;True;True	1914;3592;3634;6407	2596;4712;4713;4763;8405;8406	3295;3296;3297;5977;5978;5979;5980;5981;5982;5983;6050;10750;10751;10752	3295;5978;6050;10751		
P0A7M2	P0A7M2	4	4	4	50S ribosomal protein L28	rpmB	sp|P0A7M2|RL28_ECOLI 50S ribosomal protein L28 OS=Escherichia coli (strain K12) OX=83333 GN=rpmB PE=1 SV=2	1	4	4	4	37.2	37.2	37.2	9.0064	78	78	0.0	8.85	242950000	10	280	3676;4117;5951;9298	True;True;True;True	3977;4456;6441;10138	5194;5819;5820;8455;13251	6631;6632;6633;7405;7406;7407;7408;7409;10810;16877	6631;7406;10810;16877		
P0A7M6	P0A7M6	3	3	3	50S ribosomal protein L29	rpmC	sp|P0A7M6|RL29_ECOLI 50S ribosomal protein L29 OS=Escherichia coli (strain K12) OX=83333 GN=rpmC PE=1 SV=1	1	3	3	3	49.2	49.2	49.2	7.2734	63	63	0.0	42.415	475270000	18	281	2662;7856;9977	True;True;True	2891;8538;8539;10869	3827;3828;11203;11204;11205;11206;11207;11208;11209;11210;14203;14204;14205	4869;4870;4871;14289;14290;14291;14292;14293;14294;14295;14296;14297;18078;18079;18080;18081;18082;18083	4869;14295;18083	388	30
P0A7M9	P0A7M9	4	4	4	50S ribosomal protein L31	rpmE	sp|P0A7M9|RL31_ECOLI 50S ribosomal protein L31 OS=Escherichia coli (strain K12) OX=83333 GN=rpmE PE=1 SV=1	1	4	4	4	64.3	64.3	64.3	7.871	70	70	0.0	20.704	618530000	18	282	1409;9170;9954;12109	True;True;True;True	1550;9997;10846;13180;13181	2126;13072;14175;14176;17260;17261;17262;17263;17264;17265;17266;17267	2701;2702;2703;16673;16674;18039;18040;18041;22169;22170;22171;22172;22173;22174;22175;22176;22177;22178;22179	2701;16674;18040;22171	389	22
P0A7N4	P0A7N4	4	4	4	50S ribosomal protein L32	rpmF	sp|P0A7N4|RL32_ECOLI 50S ribosomal protein L32 OS=Escherichia coli (strain K12) OX=83333 GN=rpmF PE=1 SV=2	1	4	4	4	54.4	54.4	54.4	6.4463	57	57	0.0	57.766	295070000	13	283	4767;9301;9599;9600	True;True;True;True	5158;10141;10461;10462	6736;13255;13256;13257;13672;13673;13674	8601;8602;8603;16881;16882;16883;17398;17399;17400;17401;17402;17403;17404	8601;16883;17403;17404		
P0A7N9	P0A7N9	2	2	2	50S ribosomal protein L33	rpmG	sp|P0A7N9|RL33_ECOLI 50S ribosomal protein L33 OS=Escherichia coli (strain K12) OX=83333 GN=rpmG PE=1 SV=2	1	2	2	2	40.0	40.0	40.0	6.3715	55	55	0.0	10.064	533180000	2	284	5918;7582	True;True	6404;8174	8400;10675;10676	10743;13616;13617	10743;13616		
P0A7P5	P0A7P5	3	3	3	50S ribosomal protein L34	rpmH	sp|P0A7P5|RL34_ECOLI 50S ribosomal protein L34 OS=Escherichia coli (strain K12) OX=83333 GN=rpmH PE=1 SV=1	1	3	3	3	21.7	21.7	21.7	5.3803	46	46	0.0	3.6613	87334000	4	285	9307;10260;10261	True;True;True	10147;11177;11178	13268;14599;14600	16898;18622;18623;18624;18625	16898;18624;18625		
P0A7R1	P0A7R1	12	12	12	50S ribosomal protein L9	rplI	sp|P0A7R1|RL9_ECOLI 50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1	1	12	12	12	76.5	76.5	76.5	15.769	149	149	0.0	63.741	1847200000	78	286	1759;5478;6068;6242;6589;7195;7881;8063;8148;9495;10691;10907	True;True;True;True;True;True;True;True;True;True;True;True	1924;5939;6563;6751;7114;7765;8573;8574;8798;8887;10353;11642;11874	2608;2609;7802;7803;7804;8624;8625;8884;8885;9309;9310;10157;11259;11260;11261;11262;11263;11571;11687;13541;15205;15206;15207;15208;15209;15210;15211;15212;15213;15525;15526	3312;3313;3314;3315;3316;10009;10010;10011;10012;10013;10014;10015;11024;11025;11026;11333;11334;11335;11336;11337;11338;11339;11854;11855;11856;11857;12942;12943;14360;14361;14362;14363;14364;14365;14366;14367;14368;14369;14370;14371;14372;14373;14374;14788;14789;14790;14791;14928;14929;14930;14931;14932;17237;19443;19444;19445;19446;19447;19448;19449;19450;19451;19452;19453;19454;19455;19456;19457;19458;19459;19460;19461;19462;19911;19912;19913;19914;19915	3313;10010;11026;11333;11854;12943;14371;14788;14929;17237;19449;19911	390	1
P0A7R5	P0A7R5	8	8	8	30S ribosomal protein S10	rpsJ	sp|P0A7R5|RS10_ECOLI 30S ribosomal protein S10 OS=Escherichia coli (strain K12) OX=83333 GN=rpsJ PE=1 SV=1	1	8	8	8	52.4	52.4	52.4	11.735	103	103	0.0	36.04	1134100000	34	287	2951;3631;4376;4377;6796;6797;7504;10721	True;True;True;True;True;True;True;True	3211;3927;4745;4746;7331;7332;8094;11675;11676	4248;4249;5124;5125;5126;6210;6211;9576;9577;9578;9579;9580;10579;10580;10581;10582;15261;15262;15263	5396;5397;6532;6533;6534;6535;6536;6537;6538;7932;7933;7934;7935;12197;12198;12199;12200;12201;12202;12203;12204;13495;13496;13497;13498;13499;13500;19548;19549;19550;19551;19552;19553;19554;19555	5397;6536;7933;7935;12198;12204;13497;19551	391	88
P0A7R9	P0A7R9	7	7	7	30S ribosomal protein S11	rpsK	sp|P0A7R9|RS11_ECOLI 30S ribosomal protein S11 OS=Escherichia coli (strain K12) OX=83333 GN=rpsK PE=1 SV=2	1	7	7	7	52.7	52.7	52.7	13.845	129	129	0.0	32.958	588690000	16	288	786;6109;6117;8214;8733;9083;9946	True;True;True;True;True;True;True	860;6609;6619;8957;9531;9904;10838	1204;8697;8698;8699;8714;11769;11770;12491;12492;12946;12947;14166	1527;1528;11106;11107;11108;11109;11128;15051;15052;15053;15962;15963;16520;16521;18028;18029	1527;11107;11128;15051;15963;16521;18028	392	85
P0A7S3	P0A7S3	5	5	5	30S ribosomal protein S12	rpsL	sp|P0A7S3|RS12_ECOLI 30S ribosomal protein S12 OS=Escherichia coli (strain K12) OX=83333 GN=rpsL PE=1 SV=2	1	5	5	5	46.0	46.0	46.0	13.737	124	124	0.0	11.489	416710000	11	289	1197;3729;7451;9794;9795	True;True;True;True;True	1318;4039;8040;10678;10679	1803;5274;5275;10510;13966;13967;13968;13969	2280;2281;6731;6732;13402;17783;17784;17785;17786;17787;17788;17789	2281;6731;13402;17783;17787		
P0A7S9	P0A7S9	9	9	9	30S ribosomal protein S13	rpsM	sp|P0A7S9|RS13_ECOLI 30S ribosomal protein S13 OS=Escherichia coli (strain K12) OX=83333 GN=rpsM PE=1 SV=2	1	9	9	9	66.9	66.9	66.9	13.099	118	118	0.0	56.97	1075500000	34	290	601;2616;3665;3666;4692;4977;5615;5616;7053	True;True;True;True;True;True;True;True;True	650;2845;3965;3966;5078;5388;6079;6080;7600;7601	910;911;912;913;914;3771;5181;5182;5183;6627;6628;7054;7981;7982;7983;7984;9927;9928;9929;9930	1153;1154;1155;1156;1157;1158;1159;4806;6617;6618;6619;6620;8460;8461;8462;8463;8464;8465;8466;9029;9030;10229;10230;10231;10232;10233;12662;12663;12664;12665;12666;12667;12668;12669	1153;4806;6617;6620;8461;9029;10229;10232;12664	393	81
P0A7T3	P0A7T3	7	7	7	30S ribosomal protein S16	rpsP	sp|P0A7T3|RS16_ECOLI 30S ribosomal protein S16 OS=Escherichia coli (strain K12) OX=83333 GN=rpsP PE=1 SV=1	1	7	7	7	58.5	58.5	58.5	9.1904	82	82	0.0	42.766	913400000	16	291	2365;4983;6111;9275;11128;11129;11130	True;True;True;True;True;True;True	2578;5395;6612;10114;12115;12116;12117	3428;7063;7064;8702;8703;8704;13223;15855;15856;15857;15858;15859	4366;9039;9040;9041;11112;11113;11114;11115;16846;20337;20338;20339;20340;20341;20342;20343;20344	4366;9041;11114;16846;20337;20341;20344		
P0A7T7	P0A7T7	5	5	5	30S ribosomal protein S18	rpsR	sp|P0A7T7|RS18_ECOLI 30S ribosomal protein S18 OS=Escherichia coli (strain K12) OX=83333 GN=rpsR PE=1 SV=2	1	5	5	5	50.7	50.7	50.7	8.9863	75	75	0.0	26.741	474370000	19	292	3584;3585;8446;12279;12280	True;True;True;True;True	3877;3878;9223;13358;13359	5061;5062;5063;12122;12123;12124;17475;17476;17477	6451;6452;6453;6454;6455;6456;6457;15517;15518;15519;22428;22429;22430;22431;22432;22433;22434;22435;22436	6451;6456;15517;22429;22436		
P0A7U3	P0A7U3	6	6	6	30S ribosomal protein S19	rpsS	sp|P0A7U3|RS19_ECOLI 30S ribosomal protein S19 OS=Escherichia coli (strain K12) OX=83333 GN=rpsS PE=1 SV=2	1	6	6	6	57.6	57.6	57.6	10.43	92	92	0.0	28.582	846850000	30	293	4369;5960;6648;8750;9303;9929	True;True;True;True;True;True	4738;6451;7175;9549;9550;10143;10819	6200;6201;6202;8465;8466;9381;12514;12515;12516;12517;12518;13260;14144;14145	7919;7920;7921;7922;7923;7924;10820;10821;10822;10823;10824;10825;10826;11947;11948;11949;11950;11951;15986;15987;15988;15989;15990;15991;15992;15993;15994;16886;18004;18005	7921;10821;11947;15993;16886;18004	394	66
P0A7U7	P0A7U7	4	4	4	30S ribosomal protein S20	rpsT	sp|P0A7U7|RS20_ECOLI 30S ribosomal protein S20 OS=Escherichia coli (strain K12) OX=83333 GN=rpsT PE=1 SV=2	1	4	4	4	35.6	35.6	35.6	9.6843	87	87	0.0	12.31	467650000	24	294	358;922;6162;11927	True;True;True;True	382;383;1020;6664;12986	544;545;546;547;548;1425;1426;8771;8772;17002;17003	664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;1819;1820;1821;11188;11189;21825;21826;21827;21828	676;1820;11189;21826	395	54
P0A7V0	P0A7V0	16	16	16	30S ribosomal protein S2	rpsB	sp|P0A7V0|RS2_ECOLI 30S ribosomal protein S2 OS=Escherichia coli (strain K12) OX=83333 GN=rpsB PE=1 SV=2	1	16	16	16	77.2	77.2	77.2	26.743	241	241	0.0	117.13	1297400000	73	295	117;1305;1453;1872;1956;2288;2704;5410;6539;6887;6888;7782;9840;10760;11191;11994	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	127;1441;1600;2041;2130;2131;2495;2935;5858;7062;7425;7426;8436;10727;11717;11718;12181;13054;13055	196;197;198;1993;1994;2190;2191;2755;2855;2856;2857;2858;2859;2860;2861;3320;3883;7685;9245;9246;9698;9699;9700;9701;11062;11063;11064;14030;15317;15318;15319;15320;15321;15322;15323;15324;15945;17084;17085;17086	248;249;250;2547;2548;2549;2776;2777;2778;3502;3627;3628;3629;3630;3631;3632;3633;3634;3635;3636;3637;3638;3639;3640;3641;4225;4939;9835;9836;9837;11765;11766;11767;11768;11769;12364;12365;12366;12367;12368;12369;12370;12371;14121;14122;14123;17866;17867;19631;19632;19633;19634;19635;19636;19637;19638;19639;19640;19641;19642;19643;19644;19645;19646;20446;20447;20448;20449;21920;21921;21922;21923;21924	249;2547;2778;3502;3630;4225;4939;9836;11765;12368;12370;14122;17867;19632;20447;21920	396;397;398;399	27;49;100;154
P0A7V3	P0A7V3	11	11	11	30S ribosomal protein S3	rpsC	sp|P0A7V3|RS3_ECOLI 30S ribosomal protein S3 OS=Escherichia coli (strain K12) OX=83333 GN=rpsC PE=1 SV=2	1	11	11	11	53.2	53.2	53.2	25.983	233	233	0.0	81.961	1499300000	31	296	184;2401;2402;3891;6159;6670;6689;7491;11755;11809;11810	True;True;True;True;True;True;True;True;True;True;True	197;2615;2616;4213;4214;6661;7199;7219;8080;12800;12857;12858	301;302;3471;3472;5511;5512;5513;5514;5515;5516;8765;8766;9410;9436;9437;10558;16774;16843;16844;16845	376;377;378;4423;4424;4425;4426;4427;7034;7035;7036;7037;7038;7039;7040;7041;7042;7043;11181;11182;11183;11990;12020;12021;13464;13465;13466;21515;21625;21626;21627;21628	376;4424;4427;7043;11181;11990;12021;13465;21515;21626;21628	400	211
P0A7V8	P0A7V8	14	14	14	30S ribosomal protein S4	rpsD	sp|P0A7V8|RS4_ECOLI 30S ribosomal protein S4 OS=Escherichia coli (strain K12) OX=83333 GN=rpsD PE=1 SV=2	1	14	14	14	55.8	55.8	55.8	23.469	206	206	0.0	94.751	1319200000	48	297	79;2504;2659;4353;5823;6454;6896;7317;7740;9155;9223;9437;11289;11866	True;True;True;True;True;True;True;True;True;True;True;True;True;True	85;2724;2888;4722;6304;6974;7434;7893;8370;9982;10054;10291;12285;12920	126;127;3611;3823;3824;6175;6176;6177;6178;8262;9148;9713;9714;10317;10955;13055;13149;13457;13458;13459;13460;13461;16093;16921;16922	158;159;160;4596;4597;4598;4862;4863;4864;4865;4866;7887;7888;7889;7890;7891;10582;10583;11652;11653;12384;12385;13155;13156;13976;13977;13978;16655;16760;16761;17122;17123;17124;17125;17126;17127;17128;17129;17130;17131;17132;17133;20653;21725;21726;21727;21728;21729	159;4597;4864;7890;10583;11652;12385;13155;13977;16655;16761;17129;20653;21726	401	105
P0A7W1	P0A7W1	9	9	9	30S ribosomal protein S5	rpsE	sp|P0A7W1|RS5_ECOLI 30S ribosomal protein S5 OS=Escherichia coli (strain K12) OX=83333 GN=rpsE PE=1 SV=2	1	9	9	9	67.7	67.7	67.7	17.603	167	167	0.0	95.178	1174100000	50	298	1163;1275;1354;3085;5183;8259;9263;9975;11087	True;True;True;True;True;True;True;True;True	1279;1280;1281;1408;1492;3349;5606;9010;9011;10098;10099;10867;12071;12072;12073	1750;1751;1752;1753;1754;1755;1756;1757;1951;1952;2055;4412;7347;7348;11837;11838;11839;11840;13204;13205;13206;13207;14201;15780;15781;15782;15783;15784;15785;15786;15787;15788	2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2487;2488;2489;2490;2491;2492;2621;2622;5584;5585;9399;9400;9401;9402;15144;15145;15146;15147;16827;16828;16829;16830;18073;18074;18075;18076;20234;20235;20236;20237;20238;20239;20240;20241;20242;20243;20244	2206;2490;2621;5585;9400;15147;16827;18075;20243	402;403;404;405;406	71;96;111;147;152
P0A7W7	P0A7W7	10	10	10	30S ribosomal protein S8	rpsH	sp|P0A7W7|RS8_ECOLI 30S ribosomal protein S8 OS=Escherichia coli (strain K12) OX=83333 GN=rpsH PE=1 SV=2	1	10	10	10	66.9	66.9	66.9	14.126	130	130	0.0	50.738	493880000	43	299	142;1309;2363;2364;8585;9761;10869;10870;11037;11463	True;True;True;True;True;True;True;True;True;True	153;1445;2576;2577;9371;10639;10640;10641;11833;11834;12016;12474;12475	241;1999;3425;3426;3427;12303;12304;13911;13912;13913;13914;13915;13916;13917;13918;13919;13920;15465;15466;15467;15705;16349;16350;16351;16352;16353;16354;16355;16356	308;2556;2557;4359;4360;4361;4362;4363;4364;4365;15747;15748;15749;17719;17720;17721;17722;17723;17724;17725;17726;17727;17728;17729;17730;17731;17732;17733;17734;19827;19828;19829;19830;19831;20136;20990;20991;20992;20993;20994;20995;20996;20997;20998	308;2556;4359;4362;15747;17728;19828;19830;20136;20995	407;408;409	3;10;96
P0A7X3	P0A7X3	6	6	6	30S ribosomal protein S9	rpsI	sp|P0A7X3|RS9_ECOLI 30S ribosomal protein S9 OS=Escherichia coli (strain K12) OX=83333 GN=rpsI PE=1 SV=2	1	6	6	6	45.4	45.4	45.4	14.856	130	130	0.0	20.376	567030000	25	300	302;782;4027;6445;8923;9691	True;True;True;True;True;True	325;853;854;4359;6964;9733;9734;10561	479;1192;1193;1194;1195;1196;1197;5698;9138;12735;12736;12737;12738;13812	584;1510;1511;1512;1513;1514;1515;1516;1517;1518;1519;7268;7269;7270;11640;11641;11642;16257;16258;16259;16260;16261;17586;17587;17588	584;1517;7269;11640;16257;17587	410;411	57;88
P0A7Y0	P0A7Y0	7	7	7	Ribonuclease 3	rnc	sp|P0A7Y0|RNC_ECOLI Ribonuclease 3 OS=Escherichia coli (strain K12) OX=83333 GN=rnc PE=1 SV=1	1	7	7	7	38.5	38.5	38.5	25.55	226	226	0.0	17.371	27060000	9	301	2411;3866;4354;4814;6029;6405;6747	True;True;True;True;True;True;True	2628;4187;4723;5209;6521;6922;7279	3489;5482;6179;6810;8563;9088;9507;9508	4448;6999;7892;7893;8697;10946;11583;12102;12103	4448;6999;7892;8697;10946;11583;12103		
P0A7Y4	P0A7Y4	1	1	1	Ribonuclease HI	rnhA	sp|P0A7Y4|RNH_ECOLI Ribonuclease HI OS=Escherichia coli (strain K12) OX=83333 GN=rnhA PE=1 SV=1	1	1	1	1	7.1	7.1	7.1	17.597	155	155	0.0	2.3603	2959300	2	302	6381	True	6897	9060;9061	11549;11550	11549		
P0A7Y8	P0A7Y8	3	3	3	Ribonuclease P protein component	rnpA	sp|P0A7Y8|RNPA_ECOLI Ribonuclease P protein component OS=Escherichia coli (strain K12) OX=83333 GN=rnpA PE=1 SV=1	1	3	3	3	29.4	29.4	29.4	13.789	119	119	0.0	4.6557	13405000	3	303	490;825;7033	True;True;True	528;901;7578	752;1255;9894	958;1590;12621	958;1590;12621		
P0A7Z0	P0A7Z0	2	2	2	Ribose-5-phosphate isomerase A	rpiA	sp|P0A7Z0|RPIA_ECOLI Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=rpiA PE=1 SV=1	1	2	2	2	13.7	13.7	13.7	22.86	219	219	0.0	7.9929	5488500	3	304	3705;4410	True;True	4009;4779	5229;6252	6674;6675;7980	6675;7980		
