Peptide IDs,Mol. weight [kDa],Evidence IDs,Protein names,Gene names,Sequence coverage [%],Q-value,Reporter intensity 3,Reporter intensity 6,Reporter intensity 8,Score,Sequence length,Reporter intensity 4,Best MS/MS,Razor + unique peptides,Reporter intensity 5,Reporter intensity 9,Reporter intensity 1,Protein IDs,Intensity,Reporter intensity 0,Reporter intensity 7,Reporter intensity 2
530;1046;2183;2505;2600;4815;4951;8505;10866;11117;11211;13148;13362;13528;13620;13829;14207;14969;15122;15778;15922;16376,267.01,2510;5153;8928;8929;8930;10653;10654;11169;11170;11171;11172;22257;22258;22769;38704;38705;49362;50406;50407;50709;50710;50711;50712;59688;60507;60508;61287;61288;61752;61753;62638;64009;64010;68822;68823;69264;69265;71706;72399;72400;74564,"Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component) [Cleaved into: Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain]",F8 F8C,10.0,0.0,33248.0,40953.0,36272.0,136.83,2351,38495.0,3567,22,39961.0,41244.0,37934.0,P00451,964030000,36785.0,40406.0,41251.0
4740;8384;10700;11991;15500,39.935,22047;38360;38361;48416;54149;70611,"Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)",OTC,15.3,0.0,5582.5,7316.1,5706.8,9.0718,354,6596.7,30627,5,5806.6,7223.0,6746.2,P00480,78291000,6559.0,7003.4,6904.4
997;1296;1597;1673;2318;2543;3294;3483;3753;3754;4151;4255;4256;5018;5019;6267;6462;6493;6540;7056;7641;7999;8117;8158;8309;8391;8620;9190;9855;10533;11011;11253;11254;11738;12291;12292;13249;13250;13515;13610;15067;15068;15214;16635,83.266,4883;4884;4885;6358;6359;6360;6361;6362;6363;6364;6365;7306;7307;7308;7494;7495;9433;9434;9435;9436;9437;9438;9439;10761;10762;15070;15806;15807;17136;17137;17138;17139;19177;19178;19179;19180;19181;19182;19183;19184;19185;19186;19797;19798;19799;19800;19801;19802;19803;19804;19805;19806;23298;23299;23300;23301;23302;23303;23304;23305;23306;23307;23308;23309;29591;29592;30477;30626;30627;30628;30629;30630;30631;30632;30633;30634;30790;30791;33145;33146;33147;33148;33149;33150;33151;33152;33153;33154;33155;33156;33157;33158;33159;35821;37188;37658;37659;37660;37661;37662;37755;37756;38026;38027;38028;38029;38382;39026;39027;39028;39029;39030;39031;39032;39033;39034;39035;39036;39037;39038;39039;39040;39041;41596;41597;43807;43808;43809;43810;43811;43812;47650;49904;49905;49906;49907;49908;50867;50868;50869;50870;50871;50872;50873;53180;53181;53182;53183;53184;53185;53186;53187;53188;53189;53190;55350;55351;55352;55353;60053;60054;60055;60056;60057;60058;60059;60060;60061;60062;60063;61252;61253;61254;61255;61256;61257;61258;61259;61260;61261;61722;61723;61724;61725;61726;61727;61728;61729;61730;61731;69131;69132;69133;69640;69641;69642;69643;69644;69645;69646;76013;76014;76015,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),F13A1 F13A,66.9,0.0,166480.0,208770.0,182180.0,323.31,732,195550.0,6726,44,163380.0,204040.0,181900.0,P00488,36016000000,187280.0,203570.0,212420.0
885;2357;2358;3937;4670;4729;4780;6971;8888;8889;9010;9990;10065;11145;15098;15312,32.118,4584;4585;4586;9587;9588;18205;18206;21780;21781;21782;21783;22027;22162;22163;22164;32687;32688;40080;40081;40082;40083;40084;40085;40086;40685;40686;40687;40688;40689;40690;40691;44476;44477;44764;44765;50493;50494;69214;69215;69216;69217;69218;69866;69867,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),PNP NP,69.9,0.0,42172.0,51138.0,43592.0,103.3,289,48227.0,6319,16,47713.0,50348.0,48150.0,P00491,4699300000,45898.0,51514.0,51088.0
2599;4677;5234;11221;13534;13621;15103;15293,24.579,11168;21824;21825;24623;24624;50737;50738;61302;61303;61754;69227;69818;69819,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8),HPRT1 HPRT,46.8,0.0,11446.0,15374.0,13034.0,61.842,218,14328.0,14980,8,10921.0,14075.0,13186.0,P00492,377130000,13492.0,14652.0,14751.0
133;134;1166;1493;1721;2951;3755;4170;5103;5489;6141;6176;7429;7693;8302;9992;10847;10917;11279;11300;13815;14141;14895;16908,69.227,633;634;635;636;637;5754;7057;7598;13482;17140;17141;17142;17143;19556;24026;24027;25650;25651;25652;28927;29009;35082;35083;35913;38009;38010;44480;44481;49284;49479;49480;49481;50966;50967;51086;51087;62603;62604;62605;62606;63653;63654;63655;63656;63657;68530;68531;77043;77044,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR ERBB ERBB1 HER1,51.4,0.0,50134.0,63463.0,54172.0,323.31,1210,59934.0,903,24,56303.0,64087.0,57302.0,P00533-4,4826300000,57991.0,61086.0,63014.0
124;306;551;718;778;2075;3908;4596;4789;4790;5408;7748;7900;7901;8149;8521;9027;10978;11763;14050;14051;14926;15470;15480;15566;15776;16924,44.614,616;617;618;619;1136;2556;3035;3296;3297;3298;3299;8608;8609;8610;18145;18146;21549;21550;22187;22188;22189;22190;25355;25356;25357;25358;36050;36051;36052;36053;36054;36055;36721;36722;36723;36724;36725;36726;36727;37739;38735;40736;40737;40738;49797;53353;53354;53355;53356;63353;63354;63355;63356;68614;68615;70426;70427;70428;70429;70430;70431;70432;70458;70459;70460;70856;70857;70858;70859;70860;71701;77118;77119,Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2),PGK1 PGKA MIG10 OK/SW-cl.110,72.4,0.0,65786.0,82970.0,70558.0,247.91,417,76318.0,887,27,66599.0,81379.0,72124.0,P00558,7269200000,72672.0,78737.0,80971.0
4419;6254;7442;14923,23.411,20769;29521;35113;35114;68609,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),AK1,21.4,0.0,3772.3,5028.5,4619.6,3.9769,210,4728.4,28879,4,5880.1,5398.2,4482.6,Q5T9B7,35607000,4422.3,4534.4,4856.1
1695;2761;3124;3506;4184;4185;4592;4593;4864;5654;5725;6624;7784;8943;9084;9651;10066;10307;10345;10783;10913;11409;11419;11505;11506;11698;11985;12487;13646;14187;15473;15474;15829;16281;16379;16989;16991,80.118,7545;7546;7547;12374;12375;14483;14484;14485;14486;15856;15857;15858;15859;15860;15861;15862;15863;15864;15865;15866;19608;19609;19610;19611;19612;19613;19614;19615;19616;21532;21533;21534;21535;21536;21537;21538;21539;21540;21541;22523;22524;22525;22526;22527;22528;22529;22530;22531;26182;26183;26184;26185;26186;26187;26188;26189;26190;26191;26192;26193;26194;26195;26196;26197;26198;26199;26200;26201;26202;26620;26621;31416;31417;31418;36173;36174;36175;36176;36177;36178;36179;36180;40418;40419;40420;40421;40422;40423;40424;40425;40988;40989;40990;40991;43176;43177;43178;43179;43180;43181;43182;43183;43184;43185;44766;44767;44768;44769;44770;44771;44772;44773;44774;44775;44776;44777;44778;44779;45798;45799;45800;45801;45802;45803;46313;46314;46315;46316;46317;46318;46319;46320;46321;46322;48693;48694;48695;48696;48697;48698;48699;49473;49474;51435;51436;51500;51501;51502;51503;51504;51792;51793;51794;51795;51796;51797;51798;51799;52969;52970;52971;52972;52973;52974;54128;54129;54130;54131;54132;54133;54134;54135;54136;54137;54138;56053;61820;61821;61822;61823;61824;61825;61826;61827;61828;61829;61830;61831;61832;61833;61834;61835;61836;61837;61838;63752;63753;63754;63755;63756;63757;63758;63759;63760;63761;70438;70439;70440;70441;70442;70443;70444;70445;70446;70447;70448;71965;71966;71967;71968;71969;71970;71971;71972;71973;71974;71975;74149;74150;74151;74152;74153;74154;74155;74156;74157;74158;74159;74160;74570;74571;74572;74573;74574;74575;74576;74577;74578;74579;74580;74581;77388;77389;77390;77391;77394;77395;77396;77397;77398;77399;77400;77401;77402;77403;77404;77405;77406;77407,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain],C1R,59.7,0.0,278340.0,344260.0,301570.0,323.31,705,323880.0,10287,37,265540.0,338600.0,300810.0,P00736,164150000000,305960.0,331150.0,341240.0
1260;1261;2371;3108;6329;7071;7072;7555;8413;9613;9789;9790;10988;11862;12578;13296;13879;13880;13881;15238;15548;15934;16860;17034,45.205,6166;6167;6168;9643;9644;9645;9646;9647;9648;14444;29834;29835;33204;33205;35417;35418;35419;35420;35421;35422;35423;35424;35425;35426;35427;38446;38447;38448;43088;43089;43623;43624;49826;53631;53632;53633;56378;56379;56380;56381;56382;56383;56384;60212;60213;60214;60215;60216;62805;62806;62807;62808;62809;62810;69691;70772;70773;70774;70775;70776;70777;70778;72441;72442;72443;72444;72445;76941;76942;77597;77598;77599;77600;77601,Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain],HP,61.3,0.0,79272.0,97085.0,86563.0,323.31,406,92408.0,8541,24,69485.0,94499.0,83487.0,P00738,13173000000,89365.0,94617.0,100100.0
1261;2371;6329;7555;8413;9613;9789;10460;10988;11276;11809;11862;12578;12658;13297;13879;13880;15237;15548;15935;16859;17035,39.029,6168;9643;9644;9645;9646;9647;9648;29834;29835;35417;35418;35419;35420;35421;35422;35423;35424;35425;35426;35427;38446;38447;38448;43088;43089;43623;47145;47146;49826;50959;50960;50961;53501;53502;53631;53632;53633;56378;56379;56380;56381;56382;56383;56384;56648;56649;56650;60217;60218;60219;60220;62805;62806;62807;62808;69686;69687;69688;69689;69690;70772;70773;70774;70775;70776;70777;70778;72446;76937;76938;76939;76940;77602;77603;77604,Haptoglobin-related protein,HPR,73.6,0.0,15684.0,19581.0,17722.0,323.31,348,18467.0,8542,9,12747.0,19856.0,18402.0,P00739,4084700000,17116.0,18921.0,19503.0
2093;4516;4756;5152;5941;7465;7933;7934;10586;11093;11345;12544;12590;14914;15834;15991;16028;16284;16808;17037,51.778,8655;8656;8657;8658;21166;21167;21168;21169;21170;21171;21172;21173;21174;22102;22103;22104;22105;24169;24170;24171;24172;24173;24174;24175;24176;24177;24178;24179;24180;24181;24182;24183;24184;24185;24186;24187;24188;24189;24190;24191;24192;24193;24194;24195;24196;24197;24198;24199;24200;27373;27374;35188;35189;35190;35191;35192;35193;35194;35195;35196;35197;35198;35199;35200;35201;35202;35203;35204;35205;35206;35207;35208;35209;35210;35211;35212;35213;36876;36877;36878;36879;36880;36881;36882;36883;36884;36885;36886;36887;36888;36889;36890;36891;36892;36893;36894;36895;36896;36897;36898;36899;36900;36901;36902;36903;48094;48095;48096;48097;48098;48099;48100;48101;48102;48103;48104;48105;48106;48107;48108;50337;50338;51192;51193;51194;51195;56233;56234;56235;56236;56237;56238;56239;56240;56241;56242;56243;56244;56245;56246;56445;56446;56447;56448;56449;56450;56451;56452;56453;56454;56455;68573;68574;68575;68576;68577;68578;68579;68580;68581;68582;68583;68584;68585;68586;71984;71985;72746;72747;72748;72749;72750;72751;72752;72753;72754;72755;72756;72869;72870;74164;74165;74166;74167;74168;74169;74170;74171;74172;74173;74174;74175;74176;74177;74178;74179;74180;74181;74182;74183;74184;74185;74186;74187;74188;74189;74190;74191;74192;76695;76696;76697;76698;76699;76700;76701;76702;76703;76704;76705;76706;76707;76708;76709;76710;76711;76712;76713;76714;76715;76716;76717;76718;76719;76720;76721;76722;76723;76724;76725;76726;76727;76728;76729;76730;76731;76732;76733;76734;76735;76736;76737;76738;76739;76740;76741;76742;76743;76744;76745;76746;76747;76748;76749;76750;76751;76752;76753;76754;76755;76756;76757;76758;76759;76760;76761;76762;76763;76764;76765;76766;76767;76768;76769;76770;76771;76772;76773;76774;76775;76776;77608,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain],F9,50.8,0.0,297120.0,351870.0,307000.0,323.31,461,329230.0,11652,19,283580.0,348510.0,306980.0,P00740,168380000000,307050.0,342440.0,345290.0
137;1649;2222;2271;3005;3089;4094;4325;4836;5153;5941;6660;7967;8289;8717;9287;9301;9900;9901;10396;10397;10437;10438;10587;10588;11153;11154;11550;12226;14028;14332;15162;15163;16708,54.731,642;643;644;645;646;647;648;649;650;651;652;653;654;655;7416;9030;9031;9032;9033;9034;9035;9036;9037;9038;9039;9296;9297;9298;13799;13800;13801;13802;13803;13804;13805;13806;13807;13808;13809;13810;13811;13812;13813;13814;13815;13816;13817;14370;14371;14372;14373;14374;14375;14376;14377;14378;14379;14380;14381;14382;14383;18976;18977;18978;20026;20027;20028;20029;20030;20031;20032;20033;20034;20035;20036;20037;20038;20039;20040;20041;20042;20043;20044;20045;20046;20047;20048;20049;20050;20051;20052;20053;20054;20055;20056;22301;22302;22303;22304;22305;22306;22307;22308;22309;22310;22311;22312;22313;22314;22315;22316;22317;22318;22319;22320;22321;22322;22323;22324;22325;22326;22327;22328;22329;22330;22331;22332;22333;22334;22335;22336;22337;22338;22339;22340;22341;22342;22343;22344;22345;22346;22347;22348;22349;22350;22351;22352;22353;22354;22355;22356;22357;22358;22359;22360;22361;22362;22363;22364;22365;22366;22367;22368;22369;22370;22371;22372;22373;22374;22375;22376;22377;22378;22379;22380;22381;22382;22383;22384;22385;22386;22387;22388;22389;22390;22391;22392;22393;22394;22395;22396;22397;22398;22399;22400;24201;24202;24203;24204;27373;27374;31521;31522;31523;31524;31525;31526;31527;31528;31529;31530;31531;31532;31533;37025;37026;37027;37028;37029;37030;37031;37977;37978;39328;39329;41890;41922;41923;43996;43997;43998;43999;44000;44001;44002;44003;44004;44005;44006;44007;44008;44009;44010;44011;44012;44013;44014;44015;44016;44017;44018;44019;44020;44021;44022;44023;44024;44025;44026;44027;44028;44029;44030;44031;44032;44033;44034;44035;44036;44037;44038;44039;44040;44041;44042;44043;46820;46821;46822;46823;46824;46825;46826;46827;46828;46829;46830;46831;47016;47017;47018;47019;47020;47021;47022;47023;47024;47025;47026;47027;47028;47029;47030;47031;47032;47033;47034;47035;47036;47037;47038;47039;47040;47041;47042;47043;47044;47045;47046;47047;47048;47049;47050;47051;47052;47053;47054;47055;47056;47057;47058;47059;47060;47061;47062;47063;47064;47065;47066;47067;47068;47069;47070;47071;47072;47073;47074;47075;47076;47077;47078;47079;47080;47081;47082;47083;48109;48110;48111;48112;50513;50514;50515;50516;50517;50518;50519;50520;50521;50522;50523;50524;50525;50526;50527;50528;50529;50530;50531;50532;50533;50534;50535;50536;50537;50538;50539;50540;50541;50542;50543;50544;50545;50546;52012;52013;52014;52015;52016;52017;52018;52019;52020;52021;55156;63307;63308;63309;63310;64552;64553;69419;69420;69421;69422;69423;69424;69425;69426;69427;69428;76386;76387;76388;76389;76390;76391;76392;76393;76394;76395;76396;76397;76398;76399;76400;76401;76402;76403;76404;76405;76406;76407;76408;76409;76410;76411;76412;76413;76414;76415;76416;76417;76418;76419;76420,Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],F10,55.7,0.0,459640.0,545060.0,491070.0,323.31,488,515080.0,922,34,437760.0,547000.0,478480.0,P00742,303340000000,482520.0,535980.0,541620.0
382;1525;4132;6985;8412;10848;11814;11815,90.568,1395;1396;1397;7121;7122;19117;19118;19119;19120;19121;19122;19123;19124;19125;32710;38444;38445;49285;53511;53512,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]",PLG,7.5,0.0,14130.0,18438.0,15620.0,45.67,810,17376.0,1884,8,13983.0,17854.0,16127.0,P00747,1397400000,15989.0,18273.0,17299.0
270;1039;1571;1672;1776;4130;4691;6173;6300;8695;9137;9182;9694;9979;10737;10763;10833;11006;11264;11308;11343;11395;12228;12369;12385;13177;13912;14352;14565;16030;16268;16706,67.791,1053;1054;1055;1056;1057;1058;1059;1060;1061;5137;7223;7224;7225;7485;7486;7487;7488;7489;7490;7491;7492;7493;7706;7707;7708;19089;19090;19091;19092;21863;21864;21865;21866;21867;21868;28999;29000;29001;29727;29728;29729;29730;29731;29732;29733;29734;29735;39266;39267;39268;39269;39270;41221;41222;41223;41224;41225;41226;41227;41559;43293;43294;43295;43296;43297;43298;43299;43300;43301;43302;43303;43304;43305;43306;44378;44379;44380;44381;44382;44383;44384;44385;44386;44387;44388;44389;44390;44391;44392;44393;44394;44395;44396;44397;44398;44399;48546;48547;48548;48634;48635;48636;48637;48638;49197;49198;49199;49200;49201;49202;49203;49204;49205;49206;49207;49208;49209;49210;49211;49212;49213;49214;49215;49216;49217;49885;49886;49887;49888;49889;49890;49891;49892;49893;49894;50909;50910;50911;50912;50913;50914;50915;50916;50917;50918;50919;50920;51111;51112;51113;51114;51185;51186;51354;51355;51356;51357;51358;51359;51360;51361;51362;51363;51364;51365;51366;51367;51368;51369;51370;51371;51372;55158;55159;55160;55589;55590;55591;55592;55593;55594;55595;55596;55597;55694;55695;55696;59776;59777;59778;62907;64616;64617;64618;64619;64620;64621;64622;64623;64624;64625;64626;64627;65950;65951;65952;65953;65954;65955;65956;65957;72875;72876;72877;72878;72879;72880;72881;72882;72883;72884;74105;74106;74107;74108;74109;74110;74111;74112;74113;76375;76376;76377;76378;76379;76380;76381;76382;76383;76384,Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)],F12,60.2,0.0,206670.0,246230.0,217640.0,323.31,615,245110.0,1435,32,193830.0,248290.0,233810.0,P00748,160860000000,237270.0,243190.0,245090.0
175;1087;3729;4197;5758;6722;10234;10736;13131;15391;16889;16941,28.87,748;749;750;751;752;753;754;755;756;757;758;759;760;761;762;763;764;765;766;767;768;769;5309;5310;16953;16954;16955;16956;16957;19668;19669;19670;19671;19672;19673;26721;26722;26723;26724;31866;45506;45507;45508;45509;48544;48545;59627;59628;59629;59630;59631;59632;70201;70202;70203;70204;70205;70206;70207;76998;77255;77256;77257;77258;77259,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69),CA1,62.8,0.0,71698.0,91359.0,78121.0,323.31,261,84816.0,1082,12,74641.0,89028.0,80095.0,P00915,22386000000,79721.0,86267.0,90346.0
1307;4071;5759;6899;7589;9555;11376;12014;12514;12935;16002;16418;16487,29.246,6398;6399;6400;6401;18716;18717;18718;18719;18720;18721;26725;26726;26727;32414;32415;32416;32417;35645;35646;35647;42824;42825;42826;42827;42828;51300;54270;54271;54272;54273;56139;56140;58276;58277;72779;72780;72781;74916;74917;74918;74919;74920;75294;75295;75296,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),CA2,61.2,0.0,35913.0,45463.0,40337.0,286.65,260,43163.0,8851,13,34592.0,44362.0,40042.0,P00918,8021900000,41574.0,42685.0,44714.0
4530;4661,46.53,21371;21766,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),ASS1 ASS,7.8,0.0,550.65,551.29,396.5,4.2265,412,630.51,29753,2,656.6,663.2,502.7,P00966,11570000,495.52,716.93,401.37
1947;8027;8028;12059;12445,8.5067,8141;37237;37238;37239;37240;37241;54434;54435;54436;55914;55915,Serine protease inhibitor Kazal-type 1 (Pancreatic secretory trypsin inhibitor) (Tumor-associated trypsin inhibitor) (TATI),SPINK1 PSTI,55.7,0.0,7691.0,10176.0,8822.3,67.548,79,8985.7,11016,5,6436.0,9781.2,8246.6,P00995,788390000,8360.1,9400.9,9693.6
368;1145;1146;2421;4570;4634;5106;8096;8097;9739;9740;10623;14485,52.602,1297;1298;5679;5680;5681;10298;10299;10300;10301;10302;21470;21471;21681;24033;37611;37612;37613;37614;43452;43453;43454;43455;48173;48174;48175;48176;48177;65596;65597;65598,Antithrombin-III (ATIII) (Serpin C1),SERPINC1 AT3 PRO0309,27.4,0.0,27920.0,34907.0,29944.0,98.045,464,31573.0,1730,13,29121.0,33835.0,30675.0,P01008,5072100000,30550.0,33177.0,33943.0
224;1290;2962;2999;3828;4860;4862;4863;4969;5938;6425;7908;8336;8353;8354;8410;9081;9082;9723;9724;9856;9904;10043;10217;10218;11327;11745;11746;12348;12558;13276;13547;13841;13842;14249;15137;16059;16234;16235;16751,46.736,893;894;895;896;6313;6314;6315;6316;6317;6318;6319;6320;6321;6322;6323;6324;6325;6326;6327;6328;13672;13673;13674;13783;13784;13785;13786;13787;13788;17515;17516;17517;17518;17519;17520;17521;17522;17523;17524;17525;17526;17527;17528;17529;17530;17531;17532;17533;17534;17535;17536;17537;17538;17539;17540;22495;22496;22497;22498;22500;22501;22502;22503;22504;22505;22506;22507;22508;22509;22510;22511;22512;22513;22514;22515;22516;22517;22518;22519;22520;22521;22522;22939;22940;22941;22942;22943;22944;22945;22946;22947;22948;22949;22950;22951;22952;22953;22954;22955;22956;22957;22958;22959;22960;22961;22962;22963;22964;22965;22966;22967;22968;27368;27369;30165;30166;30167;30168;30169;30170;30171;30172;30173;30174;30175;30176;30177;30178;30179;30180;30181;30182;30183;30184;30185;30186;30187;30188;30189;30190;30191;30192;30193;30194;30195;30196;30197;30198;30199;30200;30201;30202;30203;30204;30205;30206;30207;30208;30209;30210;30211;30212;30213;30214;30215;30216;30217;30218;30219;30220;30221;30222;30223;30224;30225;30226;30227;30228;30229;30230;30231;30232;30233;30234;30235;30236;30237;30238;30239;30240;30241;30242;30243;30244;30245;30246;30247;30248;30249;30250;30251;30252;30253;30254;30255;30256;30257;30258;30259;30260;30261;30262;30263;30264;30265;30266;30267;30268;30269;30270;30271;30272;30273;30274;30275;30276;30277;30278;30279;30280;30281;30282;30283;30284;30285;30286;30287;30288;30289;30290;30291;30292;30293;30294;30295;30296;30297;30298;30299;30300;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317;30318;30319;30320;30321;30322;30323;30324;36751;36752;36753;36754;36755;36756;36757;36758;36759;36760;36761;36762;36763;36764;36765;36766;36767;36768;36769;36770;36771;36772;36773;36774;36775;36776;36777;36778;36779;36780;36781;36782;36783;36784;36785;36786;36787;36788;36789;36790;36791;36792;36793;36794;38116;38117;38118;38119;38120;38121;38122;38123;38124;38125;38126;38127;38128;38255;38256;38257;38258;38259;38260;38261;38262;38263;38264;38265;38266;38423;38424;38425;38426;38427;38428;38429;38430;38431;40957;40958;40959;40960;40961;40962;40963;40964;40965;40966;40967;40968;40969;40970;40971;40972;40973;40974;40975;40976;40977;40978;40979;40980;40981;40982;43376;43377;43378;43379;43380;43381;43382;43383;43384;43385;43386;43387;43388;43389;43390;43391;43392;43393;43394;43395;43396;43397;43398;43399;43400;43401;43402;43403;43404;43405;43406;43407;43408;43409;43410;43411;43412;43413;43414;43415;43416;43417;43418;43419;43420;43421;43422;43423;43424;43425;43426;43427;43428;43429;43430;43431;43432;43433;43434;43435;43813;43814;43815;43816;43817;43818;43819;43820;43821;43822;43823;43824;43825;43826;43827;43828;43829;43830;43831;43832;43833;43834;43835;43836;43837;43838;43839;43840;43841;43842;43843;43844;43845;43846;44065;44066;44067;44068;44069;44070;44071;44072;44073;44074;44075;44076;44077;44078;44079;44080;44081;44082;44708;44709;45213;45214;45215;45216;45217;45218;45219;45220;45221;45222;45223;45224;45225;45226;45227;45228;45229;45230;45231;45232;45233;45234;45235;45236;45237;45238;45239;45240;45241;45242;45243;45244;45245;45246;45247;45248;45249;45250;45251;45252;45253;45254;45255;45256;45257;45258;45259;45260;45261;45262;45263;45264;45265;45266;45267;45268;45269;45270;45271;45272;45273;45274;45275;45276;45277;45278;45279;45280;45281;45282;45283;45284;45285;45286;45287;45288;45289;45290;45291;45292;45293;45294;45295;45296;45297;45298;45299;45300;45301;45302;45303;45304;45305;45306;45307;45308;45309;45310;45311;45312;45313;45314;45315;45316;45317;45318;45319;45320;45321;45322;45323;45324;45325;45326;45327;45328;45329;45330;45331;45332;45333;45334;45335;45336;45337;45338;45339;45340;45341;45342;45343;45344;45345;45346;45347;45348;45349;45350;45351;45352;45353;45354;45355;45356;45357;45358;45359;45360;45361;45362;45363;45364;45365;45366;45367;45368;45369;45370;45371;45372;45373;45374;45375;45376;45377;45378;45379;45380;45381;45382;45383;45384;45385;45386;45387;45388;45389;45390;45391;45392;45393;45394;45395;45396;45397;45398;45399;45400;45401;45402;45403;45404;45405;45406;45407;45408;45409;45410;45411;45412;45413;45414;45415;45416;45417;45418;45419;45420;45421;45422;45423;45424;45425;45426;45427;45428;45429;45430;45431;45432;45433;45434;45435;45436;45437;45438;45439;45440;45441;45442;45443;45444;45445;45446;45447;45448;45449;45450;45451;45452;45453;45454;45455;45456;45457;45458;45459;45460;45461;45462;45463;45464;45465;45466;45467;45468;45469;45470;45471;45472;45473;51146;51147;51148;51149;51150;51151;51152;51153;51154;51155;53202;53203;53204;53205;53206;53207;53208;53209;53210;53211;53212;53213;53214;53215;53216;53217;55535;55536;55537;55538;55539;55540;55541;55542;55543;55544;55545;55546;56291;56292;56293;56294;56295;56296;56297;56298;60124;61337;61338;61339;61340;61341;61342;61343;61344;61345;61346;61347;61348;61349;61350;61351;61352;61353;61354;61355;61356;61357;61358;61359;61360;61361;61362;61363;61364;62659;62660;62661;62662;62663;62664;62665;62666;64176;64177;64178;64179;64180;64181;64182;64183;64184;64185;64186;64187;64188;64189;64190;64191;64192;64193;64194;64195;64196;64197;64198;64199;64200;64201;64202;64203;64204;64205;64206;64207;64208;64209;64210;64211;64212;64213;64214;64215;64216;64217;64218;64219;69298;69299;69300;69301;69302;69303;69304;69305;69306;69307;69308;69309;69310;69311;69312;69313;69314;69315;72946;74034;74035;74036;74037;76558,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],SERPINA1 AAT PI PRO0684 PRO2209,80.4,0.0,939000.0,1135100.0,1018000.0,323.31,418,1070400.0,1236,40,857990.0,1143800.0,990530.0,P01009,441690000000,1015600.0,1099700.0,1107300.0
204;1279;2122;2519;3142;3721;4121;7898;8313;9240;10845;12374,47.65,833;834;6253;6254;6255;8717;10690;10691;14560;14561;16942;16943;19072;19073;36716;36717;36718;38034;41695;49281;49282;55610,Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less],SERPINA3 AACT GIG24 GIG25,35.2,0.0,18273.0,22787.0,20084.0,90.997,423,22347.0,1160,12,20184.0,23412.0,19698.0,P01011,700090000,20186.0,22194.0,21900.0
