Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P29317;P54762;P54764;P54760;Q15375;P54753;Q9UF33;P29323	P29317;P54762;P54764;P54760;Q15375;P54753;Q9UF33;P29323	2;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1	Ephrin type-A receptor 2;Ephrin type-B receptor 1;Ephrin type-A receptor 4;Ephrin type-B receptor 4;Ephrin type-A receptor 7;Ephrin type-B receptor 3;Ephrin type-A receptor 6;Ephrin type-B receptor 2	EPHA2;EPHB1;EPHA4;EPHB4;EPHA7;EPHB3;EPHA6;EPHB2	sp|P29317|EPHA2_HUMAN Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2;sp|P54762|EPHB1_HUMAN Ephrin type-B receptor 1 OS=Homo sapiens OX=9606 GN=EPHB1 PE=1 SV=1;sp|P54764|EPHA4_HUMAN Ephrin type-A receptor 4 OS=Homo sapiens OX=9606 GN=EP	8	2	2	2	3.2	3.2	3.2	108.27	976	976;984;986;987;998;998;1036;1055	0	14.205	4077500	2				747	2962;7600	True;True	3005;7700	3472;8966	4015;10436	4015;10436		
P29350	P29350	1	1	1	Tyrosine-protein phosphatase non-receptor type 6	PTPN6	sp|P29350|PTN6_HUMAN Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens OX=9606 GN=PTPN6 PE=1 SV=1	1	1	1	1	3.4	3.4	3.4	67.56	595	595	0.00086059	7.0051	10510000	2				748	11496	True	11648	13594;13595	15832;15833	15833		
P29353;P98077	P29353	3;1	3;1	3;1	SHC-transforming protein 1	SHC1	sp|P29353|SHC1_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4	2	3	3	3	9.8	9.8	9.8	62.821	583	583;582	0	20.133	18119000	3				749	2614;4633;8123	True;True;True	2654;4695;8226	3091;5464;9569	3591;6383;11136	3591;6383;11136		
P29373	P29373	1	1	1	Cellular retinoic acid-binding protein 2	CRABP2	sp|P29373|RABP2_HUMAN Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2	1	1	1	1	9.4	9.4	9.4	15.693	138	138	0.0019873	6.3668	2032200	1				750	10362	True	10497	12261	14310	14310		
P29401	P29401	12	12	12	Transketolase	TKT	sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	1	12	12	12	34.5	34.5	34.5	67.877	623	623	0	257.94	1796500000	30				751	1099;1247;5100;5169;5888;6172;7709;8906;9343;9907;9998;10495	True;True;True;True;True;True;True;True;True;True;True;True	1109;1264;5168;5237;5968;6253;7809;9021;9466;10038;10130;10634	1276;1466;6032;6033;6116;6117;6994;6995;7322;9092;9093;9094;9095;9096;10485;10486;10487;10995;10996;11739;11842;12418;12419	1471;1691;7071;7072;7173;7174;7175;7176;8196;8197;8566;10581;10582;10583;10584;10585;10586;12171;12172;12173;12174;12175;12176;12177;12178;12771;12772;12773;13680;13807;14495;14496;14497	1471;1691;7072;7173;8197;8566;10582;12176;12771;13680;13807;14495	706	266
P29558	P29558	1	1	1	RNA-binding motif, single-stranded-interacting protein 1	RBMS1	sp|P29558|RBMS1_HUMAN RNA-binding motif, single-stranded-interacting protein 1 OS=Homo sapiens OX=9606 GN=RBMS1 PE=1 SV=3	1	1	1	1	3.7	3.7	3.7	44.505	406	406	0.0020024	6.4219	6305200	1				752	9817	True	9947	11639	13571	13571		
P29590	P29590	2	2	2	Protein PML	PML	sp|P29590|PML_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3	1	2	2	2	2.6	2.6	2.6	97.55	882	882	0	14.542	9626900	2				753	1772;9827	True;True	1802;9957	2084;11650	2405;13583	2405;13583		
P29692	P29692	11	11	10	Elongation factor 1-delta	EEF1D	sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5	1	11	11	10	48.8	48.8	48.8	31.121	281	281	0	92.548	571400000	17				754	3206;3612;4474;4796;6753;6754;8888;8916;9231;10385;10386	True;True;True;True;True;True;True;True;True;True;True	3250;3661;4534;4858;6837;6838;9003;9032;9353;9354;10521;10522	3756;3757;4247;5250;5673;7991;7992;10465;10501;10870;10871;12288;12289	4348;4349;4944;4945;6112;6113;6114;6651;9341;9342;9343;12146;12194;12195;12613;12614;12615;14341;14342	4349;4945;6113;6651;9342;9343;12146;12195;12613;14341;14342	707;708	29;211
P29966	P29966	3	3	3	Myristoylated alanine-rich C-kinase substrate	MARCKS	sp|P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4	1	3	3	3	24.7	24.7	24.7	31.554	332	332	0	21.623	48010000	3				755	2180;2328;3811	True;True;True	2213;2364;3861	2568;2744;4468	2972;3177;5193	2972;3177;5193		
P30040	P30040	6	6	6	Endoplasmic reticulum resident protein 29	ERP29	sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4	1	6	6	6	24.9	24.9	24.9	28.993	261	261	0	37.127	163490000	7				756	1368;2936;3671;5111;5878;9004	True;True;True;True;True;True	1389;2979;3721;5179;5958;9120	1607;3442;4316;6045;6984;10602	1853;3979;3980;5022;7084;8185;12312	1853;3980;5022;7084;8185;12312	709	221
P30041	P30041	13	13	13	Peroxiredoxin-6	PRDX6	sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3	1	13	13	13	69.2	69.2	69.2	25.035	224	224	0	113.7	1378400000	34				757	1352;1370;1491;2572;2573;3297;6228;6620;6844;8023;10920;10931;10932	True;True;True;True;True;True;True;True;True;True;True;True;True	1371;1391;1392;1516;2612;2613;3343;6309;6703;6929;8125;11065;11077;11078	1588;1609;1610;1611;1612;1751;3037;3038;3039;3040;3041;3871;3872;3873;7394;7395;7838;7839;7840;8092;9456;9457;12933;12949;12950	1832;1855;1856;1857;1858;1859;2020;2021;3529;3530;3531;3532;3533;3534;4492;4493;4494;4495;4496;8654;8655;8656;9164;9165;9166;9167;9454;11004;11005;11006;11007;11008;15076;15097;15098	1832;1855;2020;3530;3533;4492;8654;9165;9454;11005;15076;15097;15098	710;711	116;188
P30043	P30043	3	3	3	Flavin reductase (NADPH)	BLVRB	sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3	1	3	3	3	27.7	27.7	27.7	22.119	206	206	0	47.816	177030000	5				758	7981;9960;11500	True;True;True	8083;10091;11652	9410;9411;11794;11795;13603	10950;10951;13751;13752;13753;15843	10950;13753;15843	712	150
P30044	P30044	5	5	5	Peroxiredoxin-5, mitochondrial	PRDX5	sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4	1	5	5	5	31.8	31.8	31.8	22.086	214	214	0	41.24	204480000	11				759	2947;3512;9598;10357;10655	True;True;True;True;True	2990;3560;9724;10492;10794	3456;3457;4118;11367;12255;12597	3997;3998;3999;4000;4780;13243;13244;14300;14301;14302;14703	3998;4780;13243;14302;14703	713	183
P30046;A6NHG4	P30046;A6NHG4	3;2	3;2	3;2	D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein	DDT;DDTL	sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	2	3	3	3	30.5	30.5	30.5	12.712	118	118;134	0	28.768	93983000	5				760	3255;8013;8836	True;True;True	3299;8115;8951	3819;9446;10406	4430;4431;10992;12076;12077	4431;10992;12077		
P30048	P30048	5	5	5	Thioredoxin-dependent peroxide reductase, mitochondrial	PRDX3	sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3	1	5	5	5	29.7	29.7	29.7	27.692	256	256	0	105.84	298860000	5				761	324;1655;2076;4091;4641	True;True;True;True;True	328;1682;2109;4148;4703	378;1941;2439;2440;4807;5475	444;2234;2814;2815;5600;6397	444;2234;2814;5600;6397		
P30049	P30049	2	2	2	ATP synthase subunit delta, mitochondrial	ATP5D	sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2	1	2	2	2	23.8	23.8	23.8	17.49	168	168	0.0005071	11.572	32257000	2				762	8420;8421	True;True	8525;8526	9912;9913	11520;11521	11520;11521		
P30050	P30050	4	4	4	60S ribosomal protein L12	RPL12	sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1	1	4	4	4	40	40	40	17.818	165	165	0	61.451	388590000	9				763	2520;4679;4706;8172	True;True;True;True	2560;4741;4768;8276	2972;2973;5524;5557;5558;5559;5560;9629	3453;3454;6458;6495;6496;6497;6498;6499;6500;11201	3454;6458;6496;11201		
P30084	P30084	5	5	5	Enoyl-CoA hydratase, mitochondrial	ECHS1	sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4	1	5	5	5	27.9	27.9	27.9	31.387	290	290	0	47.501	114890000	9				764	581;788;4823;7738;8917	True;True;True;True;True	586;796;4886;7839;9033	674;675;921;922;5705;5706;9131;10502	786;787;1062;1063;1064;6688;6689;10626;12196;12197	786;1064;6689;10626;12197	714;715	189;191
P30085	P30085	2	2	2	UMP-CMP kinase	CMPK1	sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3	1	2	2	2	10.2	10.2	10.2	22.222	196	196	0	17.234	39767000	3				765	3360;7754	True;True	3407;7855	3940;9148	4574;10649;10650	4574;10650		
P30086	P30086	5	5	5	Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide	PEBP1	sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3	1	5	5	5	50.3	50.3	50.3	21.057	187	187	0	64.004	332660000	9				766	4173;7148;7835;11103;11519	True;True;True;True;True	4230;7233;7937;11251;11671	4901;8427;9239;13145;13626;13627;13628	5705;9817;10755;10756;15313;15870;15871;15872;15873	5705;9817;10756;15313;15871		
P30101	P30101	14	13	13	Protein disulfide-isomerase A3	PDIA3	sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	1	14	13	13	36.6	33.7	33.7	56.782	505	505	0	229.39	1619400000	25				767	1190;1628;1999;2694;3140;3141;3328;3375;3882;3883;7182;9562;10961;11258	True;True;False;True;True;True;True;True;True;True;True;True;True;True	1204;1655;2032;2734;3184;3185;3374;3422;3934;3935;7269;9687;11107;11407	1386;1387;1388;1911;2350;3175;3672;3673;3906;3907;3955;3956;4553;4554;8470;11256;12983;12984;13319	1593;1594;1595;1596;1597;2200;2201;2202;2712;3683;3684;4243;4244;4245;4246;4247;4536;4537;4591;4592;4593;5299;5300;9864;13095;13096;15135;15136;15516	1593;2201;2712;3683;4245;4247;4537;4591;5299;5300;9864;13095;15135;15516	716	434
P30153	P30153	13	13	9	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	PPP2R1A	sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4	1	13	13	9	34.3	34.3	23.4	65.308	589	589	0	103.25	382690000	16				768	458;1738;2365;2773;5009;5763;6542;6563;6881;8327;8600;8714;10481	True;True;True;True;True;True;True;True;True;True;True;True;True	463;1768;2402;2813;5076;5842;6623;6644;6645;6966;8431;8709;8710;8825;10620	531;2041;2042;2787;3260;5923;6843;7750;7751;7772;7773;8130;9806;10127;10128;10258;12402	620;2353;2354;2355;3223;3774;6932;8013;9058;9059;9085;9086;9493;11406;11761;11762;11910;14478	620;2354;3223;3774;6932;8013;9059;9086;9493;11406;11761;11910;14478	717;718;719;720;721	208;323;350;448;489
P30154	P30154	5	1	1	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	PPP2R1B	sp|P30154|2AAB_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens OX=9606 GN=PPP2R1B PE=1 SV=3	1	5	1	1	14	3.3	3.3	66.213	601	601	0.0077178	5.8666	3367600	0				769	5010;6542;6563;6881;8327	True;False;False;False;False	5077;6623;6644;6645;6966;8431	5924;7750;7751;7772;7773;8130;9806	6933;9058;9059;9085;9086;9493;11406	6933;9059;9086;9493;11406	718	460
P30405	P30405	3	3	3	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	PPIF	sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1	1	3	3	3	28.5	28.5	28.5	22.04	207	207	0	18.166	197440000	5				770	3429;4326;10454	True;True;True	3476;4384;10593	4014;5072;12372	4658;4659;5905;14442;14443	4659;5905;14442		
P30419;O60551	P30419	7;1	7;1	7;1	Glycylpeptide N-tetradecanoyltransferase 1	NMT1	sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2	2	7	7	7	21.8	21.8	21.8	56.806	496	496;498	0	61.881	108030000	12				771	429;1503;3844;6133;7008;8218;9388	True;True;True;True;True;True;True	434;1528;3894;3895;6213;7093;8322;9512	500;1763;4505;4506;7278;8269;9684;9685;11052	585;586;2033;5236;5237;5238;8516;9642;11262;11263;11264;12841	585;2033;5237;8516;9642;11263;12841	722	456
P30519	P30519	5	5	5	Heme oxygenase 2	HMOX2	sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2	1	5	5	5	30.7	30.7	30.7	36.032	316	316	0	55.812	56835000	9				772	300;1692;5029;6707;8582	True;True;True;True;True	304;1721;5096;6791;8690	348;349;1989;5946;7941;10103	411;412;2291;2292;6964;9283;9284;9285;9286;11734	411;2292;6964;9285;11734	723;724	113;231
P30520	P30520	7	7	7	Adenylosuccinate synthetase isozyme 2	ADSS	sp|P30520|PURA2_HUMAN Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens OX=9606 GN=ADSS2 PE=1 SV=3	1	7	7	7	24.1	24.1	24.1	50.097	456	456	0	52.105	53118000	8				773	407;1414;5871;7177;8905;10372;10911	True;True;True;True;True;True;True	412;1437;5951;7264;9020;10508;11056	474;475;1664;6976;8465;10484;12273;12923	556;557;558;1922;8173;9859;12170;14324;15066	557;1922;8173;9859;12170;14324;15066	725;726	181;368
P30533	P30533	1	1	1	Alpha-2-macroglobulin receptor-associated protein	LRPAP1	sp|P30533|AMRP_HUMAN Alpha-2-macroglobulin receptor-associated protein OS=Homo sapiens OX=9606 GN=LRPAP1 PE=1 SV=1	1	1	1	1	3.6	3.6	3.6	41.465	357	357	0.0020764	6.6859	8362300	1				774	10394	True	10530	12297	14351	14351		
P30566	P30566	6	6	6	Adenylosuccinate lyase	ADSL	sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2	1	6	6	6	20	20	20	54.889	484	484	0	44.816	58182000	7				775	308;870;4637;5332;5711;10161	True;True;True;True;True;True	312;879;4699;5405;5790;10293	359;1022;5468;6317;6318;6780;12027	422;1177;6388;6389;7406;7407;7940;14031	422;1177;6389;7407;7940;14031	727;728	312;316
P30626	P30626	2	2	2	Sorcin	SRI	sp|P30626|SORCN_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1	1	2	2	2	11.1	11.1	11.1	21.676	198	198	0.00049677	11.281	11080000	2				776	5420;8252	True;True	5494;8356	6419;9720	7520;11302	7520;11302		
P30740	P30740	4	4	4	Leukocyte elastase inhibitor	SERPINB1	sp|P30740|ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1	1	4	4	4	14.8	14.8	14.8	42.741	379	379	0	32.454	53396000	3				777	3157;6178;6195;10041	True;True;True;True	3201;6259;6276;10173	3691;7329;7351;11893	4269;8574;8597;13867	4269;8574;8597;13867		
P30837	P30837	7	7	7	Aldehyde dehydrogenase X, mitochondrial	ALDH1B1	sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4	1	7	7	7	22.6	22.6	22.6	57.249	517	517	0	46.34	78031000	9				778	2313;9560;9570;10070;10074;11003;11250	True;True;True;True;True;True;True	2349;9685;9695;10202;10206;11149;11399	2727;11254;11265;11924;11928;13031;13311	3156;3157;3158;13093;13107;13108;13902;13906;15185;15507	3158;13093;13107;13902;13906;15185;15507		
P30876	P30876	1	1	1	DNA-directed RNA polymerase II subunit RPB2	POLR2B	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	133.9	1174	1174	0.0020072	6.433	7269000	1				779	8226	True	8330	9693	11272	11272		
P31040	P31040	6	6	6	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDHA	sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2	1	6	6	6	18.2	18.2	18.2	72.691	664	664	0	42.633	63981000	6				780	48;366;1433;4436;4740;6122	True;True;True;True;True;True	49;371;1457;4494;4802;6202	59;427;1688;1689;5197;5602;7264	71;503;1949;1950;6049;6562;8501	71;503;1949;6049;6562;8501		
P31150	P31150	8	4	4	Rab GDP dissociation inhibitor alpha	GDI1	sp|P31150|GDIA_HUMAN Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2	1	8	4	4	28.9	14.1	14.1	50.582	447	447	0	27.485	48305000	3				781	2050;3016;3180;3467;7802;7884;9168;11270	False;True;False;True;True;False;False;True	2083;3059;3224;3515;7903;7986;9289;11419	2410;3534;3723;3724;4062;9200;9295;10796;10797;13332	2778;4089;4309;4310;4311;4717;10711;10824;12534;12535;15531	2778;4089;4310;4717;10711;10824;12535;15531	729	66
P31153	P31153	3	3	3	S-adenosylmethionine synthase isoform type-2	MAT2A	sp|P31153|METK2_HUMAN S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1	1	3	3	3	14.9	14.9	14.9	43.66	395	395	0	18.862	75582000	2				782	4813;9449;11300	True;True;True	4875;9573;11449	5692;11124;11125;13365	6674;12930;12931;15572	6674;12930;15572		
P31327	P31327	1	1	1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	CPS1	sp|P31327|CPSM_HUMAN Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	1	1	1	1	0.9	0.9	0.9	164.94	1500	1500	0.0077263	5.8708	5561900	1				783	1026	True	1035	1194	1375	1375		
P31350	P31350	2	2	2	Ribonucleoside-diphosphate reductase subunit M2	RRM2	sp|P31350|RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1	1	2	2	2	7.5	7.5	7.5	44.877	389	389	0	13.428	22633000	2				784	20;10262	True;True	21;10396	27;12141	33;14163	33;14163	730	350
P31483	P31483	2	2	1	Nucleolysin TIA-1 isoform p40	TIA1	sp|P31483|TIA1_HUMAN Cytotoxic granule associated RNA binding protein TIA1 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3	1	2	2	1	9.1	9.1	5.7	42.963	386	386	0	11.878	16221000	2				785	8403;9175	True;True	8508;9296	9890;10806	11497;12544	11497;12544	731	241
P31689	P31689	6	6	6	DnaJ homolog subfamily A member 1	DNAJA1	sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2	1	6	6	6	22.9	22.9	22.9	44.868	397	397	0	46.989	325440000	6				786	2991;2992;5421;7935;8277;9650	True;True;True;True;True;True	3034;3035;5495;8037;8381;9777	3505;3506;6420;9356;9747;11441	4053;4054;7521;10888;11333;13342	4053;4054;7521;10888;11333;13342		
P31930	P31930	7	7	7	Cytochrome b-c1 complex subunit 1, mitochondrial	UQCRC1	sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3	1	7	7	7	26.7	26.7	26.7	52.645	480	480	0	57.256	154730000	7				787	191;985;2032;4831;5273;7397;11290	True;True;True;True;True;True;True	193;994;2065;4894;5344;7495;11439	222;1146;1147;2387;2388;5715;5716;6241;8726;13354	266;1314;1315;2753;2754;6698;6699;7319;10153;15560	266;1314;2754;6698;7319;10153;15560	732;733;734;735	229;368;369;377
P31937	P31937	6	6	6	3-hydroxyisobutyrate dehydrogenase, mitochondrial	HIBADH	sp|P31937|3HIDH_HUMAN 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBADH PE=1 SV=2	1	6	6	6	30.1	30.1	30.1	35.329	336	336	0	41.912	47597000	6				788	1348;2391;4337;4604;5080;9830	True;True;True;True;True;True	1367;2429;4395;4665;5148;9960	1584;2817;5083;5413;6005;11654	1828;3260;5917;6314;7042;13587	1828;3260;5917;6314;7042;13587	736;737;738	50;54;102
P31939	P31939	14	14	14	Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	ATIC	sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3	1	14	14	14	35.1	35.1	35.1	64.615	592	592	0	122.07	251160000	15				789	243;330;530;715;2026;2162;3058;6912;7691;9679;9729;10126;10898;10927	True;True;True;True;True;True;True;True;True;True;True;True;True;True	247;334;535;721;2059;2195;3102;6997;7791;9806;9857;10258;11042;11072	285;286;384;612;613;828;2381;2549;3580;3581;8161;9071;11476;11533;11988;12904;12941	341;342;450;451;715;716;958;2746;2951;4137;4138;4139;9525;10558;13381;13447;13983;15045;15085	341;451;716;958;2746;2951;4138;9525;10558;13381;13447;13983;15045;15085	739;740	60;288
P31942	P31942	3	3	3	Heterogeneous nuclear ribonucleoprotein H3	HNRNPH3	sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2	1	3	3	3	17.3	17.3	17.3	36.926	346	346	0	59.699	117910000	3				790	911;3907;9272	True;True;True	920;3961;9395	1065;1066;4581;10915	1225;1226;5334;12671	1225;5334;12671		
P31943	P31943	10	10	7	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	HNRNPH1	sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	1	10	10	7	33.2	33.2	22.7	49.229	449	449	0	87.631	481380000	15				791	912;1645;2446;3701;4133;7302;8107;9076;9273;11507	True;True;True;True;True;True;True;True;True;True	921;1672;2484;3751;4190;7391;7392;8210;9194;9396;11659	1067;1068;1929;2878;4348;4858;8611;8612;9550;10689;10916;13611;13612	1227;1228;1229;2220;3326;5061;5062;5660;10025;10026;11116;12407;12672;12673;15851;15852;15853	1229;2220;3326;5062;5660;10026;11116;12407;12673;15851	741;742;743	2;93;271
P31946	P31946	5	3	3	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	YWHAB	sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	1	5	3	3	31.7	24.4	24.4	28.082	246	246	0	50.783	149360000	5				792	1729;1906;7668;8414;9407	True;False;False;True;True	1759;1938;1939;7768;8519;9531	2031;2238;2239;2240;2241;2242;2243;2244;9043;9905;11075;11076	2342;2583;2584;2585;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;10521;11513;12870;12871;12872	2342;2583;10521;11513;12872	684	220
P31947	P31947	6	4	4	14-3-3 protein sigma	SFN	sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1	1	6	4	4	34.3	27	27	27.774	248	248	0	64.546	773800000	9				793	1725;1906;2567;7668;9923;10281	True;False;True;False;True;True	1754;1938;1939;2607;7768;10054;10415	2025;2026;2238;2239;2240;2241;2242;2243;2244;3027;3028;3029;3030;3031;3032;9043;11756;12162	2333;2334;2583;2584;2585;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;3517;3518;3519;3520;3521;3522;3523;10521;13700;14187	2334;2583;3520;10521;13700;14187	684;744	202;220
P31948	P31948	6	6	6	Stress-induced-phosphoprotein 1	STIP1	sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	1	6	6	6	15.5	15.5	15.5	62.639	543	543	0	47.387	333780000	8				794	16;615;648;2591;6349;6506	True;True;True;True;True;True	16;620;653;2631;6430;6587	20;710;753;754;3063;7530;7705	26;824;877;878;3559;8807;9006;9007	26;824;878;3559;8807;9007	745;746;747;748;749	259;490;499;504;535
P31949	P31949	1	1	1	Protein S100-A11;Protein S100-A11, N-terminally processed	S100A11	sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2	1	1	1	1	15.2	15.2	15.2	11.74	105	105	0	73.824	340870000	9				795	9501	True	9625	11183;11184;11185	12996;12997;12998;12999;13000;13001;13002;13003;13004	12999	750	43
P32119	P32119	3	2	2	Peroxiredoxin-2	PRDX2	sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5	1	3	2	2	14.6	9.1	9.1	21.892	198	198	0.00050226	11.479	116220000	2				796	2421;5576;8282	True;True;False	2459;5653;8386	2849;6619;9752	3293;7756;11340;11341	3293;7756;11340		
P32320	P32320	1	1	1	Cytidine deaminase	CDA	sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2	1	1	1	1	15.1	15.1	15.1	16.185	146	146	0.0019897	6.375	5847800	1				797	8507	True	8612	10012	11631	11631		
