Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized 1st,LNCaP/RWPE-1 normalized 2nd,LNCaP/RWPE-1 normalized 3rd
P07237,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),P4HB ERBA2L PDI PDIA1 PO4DB,1.1814,1.1803,1.2142
P07288,Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase),KLK3 APS,5.969,3.9631,6.4631
P07305,"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]",H1-0 H1F0 H1FV,0.75764,0.78116,0.75872
P07339,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,1.5768,1.6393,1.5619
P07384,Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP),CAPN1 CANPL1 PIG30,0.49562,0.46866,0.46473
P07437,Tubulin beta chain (Tubulin beta-5 chain),TUBB TUBB5 OK/SW-cl.56,1.0879,1.1038,1.0818
P07602,Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)],PSAP GLBA SAP1,1.8779,1.9907,1.613
P07686,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],HEXB HCC7,1.8973,1.8586,1.9431
P07737,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),PFN1,0.49901,0.50215,0.52395
P07741,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),APRT,2.8727,2.7221,2.7981
P07814,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],EPRS1 EPRS GLNS PARS QARS QPRS PIG32,1.0148,1.0165,1.0451
P07858,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,0.70953,0.8523,0.79572
P07900,Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),HSP90AA1 HSP90A HSPC1 HSPCA,0.79225,0.76751,0.79239
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),HNRNPC HNRPC,0.95278,0.92472,0.93999
P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",UQCRH,1.8958,2.0755,1.9509
P07954,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)",FH,2.038,2,2.0744
P08133,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),ANXA6 ANX6,0.80024,0.77825,0.80228
P08134,Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9),RHOC ARH9 ARHC,0.68061,0.7331,0.64778
P08195,4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),SLC3A2 MDU1,0.095272,0.10156,0.095797
P08237,"ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)",PFKM PFKX,1.3443,1.4278,1.3826
P08238,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84),HSP90AB1 HSP90B HSPC2 HSPCB,0.72058,0.70182,0.6768
P08243,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase),ASNS TS11,1.1152,1.0371,1.1763
P08397,Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),HMBS PBGD UPS,1.8202,1.8043,1.8888
P08473,Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10),MME EPN,3.4516,3.1845,3.6088
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",PDHA1 PHE1A,1.6279,1.5698,1.5657
P08574,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,1.8401,1.7788,1.7938
P08621,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,0.93685,0.9167,0.96615
P08670,Vimentin,VIM,1.0167,0.13846,1.1788
P08708,40S ribosomal protein S17 (Small ribosomal subunit protein eS17),RPS17 RPS17L,0.83191,0.96075,0.86084
P08758,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),ANXA5 ANX5 ENX2 PP4,0.44113,0.4337,0.4415
P08865,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2),RPSA LAMBR LAMR1,0.84073,0.81008,0.85845
P09012,U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A),SNRPA,0.87694,0.8127,0.76872
P09110,"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)",ACAA1 ACAA PTHIO,3.2776,3.5344,3.0674
P09429,High mobility group protein B1 (High mobility group protein 1) (HMG-1),HMGB1 HMG1,0.74928,0.79554,0.75456
P09497,Clathrin light chain B (Lcb),CLTB,0.38707,0.3628,0.37364
P09525,Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II),ANXA4 ANX4,1.0148,1.039,1.0016
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)",DLD GCSL LAD PHE3,2.4265,2.2121,2.3262
P09651,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",HNRNPA1 HNRPA1,0.93031,0.96919,0.93052
P09661,U2 small nuclear ribonucleoprotein A' (U2 snRNP A'),SNRPA1,0.80396,0.79471,0.87979
P09874,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]",PARP1 ADPRT PPOL,1.6556,1.5958,1.6184
P09960,Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4),LTA4H LTA4,0.41537,0.39666,0.42064
P09972,Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase),ALDOC ALDC,0.74836,0.71808,0.78873
P0DMV9,Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2),HSPA1B HSP72,0.66173,0.64395,0.66027
P0DP25,Calmodulin-3,CALM3 CALML2 CAM3 CAMC CAMIII,0.56343,0.55283,0.56815
P0DPI2,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",GATD3 C21orf33 GATD3A,2.7653,2.8498,3.0618
P10155,RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2),RO60 SSA2 TROVE2,1.3119,1.4364,1.2866
P10301,Ras-related protein R-Ras (EC 3.6.5.-) (p23),RRAS,0.45192,0.48869,0.46385
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)",DLAT DLTA,1.5974,1.5503,1.6648
P10599,Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx),TXN TRDX TRX TRX1,0.30573,0.32506,0.27864
P10619,Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain],CTSA PPGB,0.99526,0.92891,0.92413
P10620,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),MGST1 GST12 MGST,0.69131,0.62377,0.65685
P10768,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),ESD,0.96927,1.3503,1.2011
P10809,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)",HSPD1 HSP60,2.6274,2.4289,2.4246
P11021,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),HSPA5 GRP78,0.6005,0.55606,0.57919
P11047,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),LAMC1 LAMB2,2.1951,2.2294,1.552
P11142,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1),HSPA8 HSC70 HSP73 HSPA10,1.0365,1.0161,0.98807
P11172,Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (OMPD) (EC 4.1.1.23) (OMPdecase)],UMPS OK/SW-cl.21,0.56275,0.56292,0.57652
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)",PDHB PHE1B,1.7595,1.6092,1.6684
P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)",DBT BCATE2,3.0189,2.9072,2.8257
P11216,"Glycogen phosphorylase, brain form (EC 2.4.1.1)",PYGB,0.65075,0.67549,0.67252
P11279,Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a),LAMP1,0.36972,0.32151,0.45014
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)",ACADM,2.7693,2.7695,2.8916
P11387,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),TOP1,0.87841,0.8795,0.95259
P11388,"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)",TOP2A TOP2,0.54406,0.59182,0.57018
P11413,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),G6PD,0.61742,0.61346,0.61376
P11441,Ubiquitin-like protein 4A (Ubiquitin-like protein GDX),UBL4A DXS254E GDX UBL4,1.1087,0.96522,1.0164
P11498,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",PC,1.6715,1.6456,1.5803
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) (Epididymis secretory sperm binding protein) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]",MTHFD1 MTHFC MTHFD,0.77366,0.76744,0.81183
P11717,Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222),IGF2R MPRI,2.9475,2.6275,2.8673
P11766,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),ADH5 ADHX FDH,0.37994,0.4109,0.30887
P11908,Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II),PRPS2,1.0727,0.98787,0.88963
P11940,Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1),PABPC1 PAB1 PABP PABP1 PABPC2,0.92526,0.98518,0.95158
P12004,Proliferating cell nuclear antigen (PCNA) (Cyclin),PCNA,0.8985,0.77647,0.82863
P12081,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)",HARS1 HARS HRS,0.82539,0.78626,0.82392
P12235,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",SLC25A4 AAC1 ANT1,3.3606,3.1839,3.3281
P12236,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed]",SLC25A6 AAC3 ANT3 CDABP0051,1.8573,1.9054,1.8564
P12268,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (Inosine-5'-monophosphate dehydrogenase type II) (IMP dehydrogenase II) (IMPDH-II),IMPDH2 IMPD2,0.92012,0.95249,0.95405
P12270,Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein),TPR,1.2151,1.1065,1.1682
P12277,Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B),CKB CKBB,6.1013,6.1251,5.2417
P12532,"Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)",CKMT1A CKMT; CKMT1B CKMT,1.2528,1.2075,1.2593
P12814,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),ACTN1,0.11289,0.1301,0.12624
P12931,Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),SRC SRC1,0.6925,0.65969,0.66475
P12956,X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6),XRCC6 G22P1,0.95643,0.98408,0.98809
P13010,X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)),XRCC5 G22P2,1.0542,1.0191,1.0742
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)",COX4I1 COX4,2.1469,1.997,1.9156
P13473,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),LAMP2,1.2406,1.1944,1.2564
P13489,Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI),RNH1 PRI RNH,0.51289,0.51221,0.49406
P13639,Elongation factor 2 (EF-2),EEF2 EF2,0.82243,0.81472,0.85326
P13667,Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72),PDIA4 ERP70 ERP72,1.1621,1.2009,1.137
P13674,"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",P4HA1 P4HA,1.1291,0.74886,0.85301
P13693,Translationally-controlled tumor protein (TCTP) (Fortilin) (Histamine-releasing factor) (HRF) (p23),TPT1,0.5601,0.61761,0.57311
P13796,Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1) (LCP-1),LCP1 PLS2,3.2592,3.7721,3.5486
P13797,Plastin-3 (T-plastin),PLS3,0.12478,0.13891,0.16001
P13798,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH),APEH D3F15S2 D3S48E DNF15S2,1.6166,1.6092,1.5742
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)",ETFA,2.1515,2.2273,2.2588
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,PRKAR2A PKR2 PRKAR2,1.8104,1.5939,1.7319
P13987,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),CD59 MIC11 MIN1 MIN2 MIN3 MSK21,0.10554,0.12341,0.13024
P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]",MTHFD2 NMDMC,0.94376,0.7717,0.90401
P14174,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),MIF GLIF MMIF,1.271,1.2692,1.2924
P14314,Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH),PRKCSH G19P1,0.72083,0.73773,0.74372
P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial (Cytochrome c oxidase subunit VIIa-liver/heart) (Cytochrome c oxidase subunit VIIa-L) (Cytochrome c oxidase subunit VIIaL)",COX7A2 COX7AL,2.6234,1.0761,2.3449
P14550,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20),AKR1A1 ALDR1 ALR,1.8827,1.7696,1.9179
P14618,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2) (p58),PKM OIP3 PK2 PK3 PKM2,0.36427,0.34723,0.349
P14625,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog),HSP90B1 GRP94 TRA1,1.0962,1.0615,1.0871
P14735,Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin),IDE,1.2545,1.2833,1.2422
P14854,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),COX6B1 COX6B,2.722,2.8117,2.7159
P14866,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),HNRNPL HNRPL P/OKcl.14,0.87221,0.89637,0.89356
P14868,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein)",DARS1 DARS PIG40,0.95732,0.96593,0.90777
P14923,Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3),JUP CTNNG DP3,1.2452,1.1859,1.2292
P15104,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),GLUL GLNS,0.4049,0.38887,0.42004
P15153,Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2),RAC2,0.50592,0.54103,0.5432
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (G1 to S phase transition protein 1 homolog),GSPT1 ERF3A,1.051,1.1106,1.0585
P15289,Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C],ARSA,1.4711,1.5386,1.1486
P15311,Ezrin (Cytovillin) (Villin-2) (p81),EZR VIL2,0.30189,0.31591,0.31927
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3),UCHL3,0.92028,1.2896,0.85834
P15531,Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein),NME1 NDPKA NM23,1.21,1.087,1.1599
P15559,NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1),NQO1 DIA4 NMOR1,1.2349,1.2393,1.1492
P15586,N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S),GNS,2.4451,2.4375,2.0641
P15880,40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5),RPS2 RPS4,0.91666,0.89969,0.90386
P15924,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),DSP,0.34825,0.32352,0.32281
